Seasonal_index,PPG,Date,Year,Month,Week,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 0_Promo.Group 20_display_platinum,Retailer 1_Promo.Group 22_display_bronze,Vol.Sales_pred
8.356351734553161,ppg3_0,2018-08-05,2018,8,31,-11.828606194380988,10.65029,16.010740425774983,-0.0187593909452097,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,,12.519726575001947
23.307991975348973,ppg3_0,2018-08-12,2018,8,32,-11.828606194380988,33.210335,16.022731244292693,-0.0187593909452097,0.0,0.0,-0.0,-0.0,5.037532395865668,0.0,0.0,,32.520890030181135
9.03184669568493,ppg3_0,2018-08-19,2018,8,33,-11.828606194380988,17.469575000000003,15.986758788739555,-0.0187593909452097,0.0,0.0,-0.0,-0.0,0.0,0.827052460311366,0.0,,13.998292359409653
16.793796194666054,ppg3_0,2018-08-26,2018,8,34,-11.828606194380988,23.234465,16.007742721145554,-0.0187593909452097,0.0,0.0,-0.0,-0.3243361097151185,5.037532395865668,0.0,0.0,,25.66736961663596
7.2186372972898685,ppg3_0,2018-09-02,2018,9,35,-11.828606194380988,10.65641,16.043715176698687,-0.0187593909452097,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,,11.414986888662357
36.97602932843929,ppg3_0,2018-09-09,2018,9,36,-11.828606194380988,59.86969,16.079687632251826,-0.0187593909452097,4.553257462308799,0.0,-0.0,-0.0,5.037532395865668,0.0,0.0,0.0,50.79914123353938
5.188510326712963,ppg3_0,2018-09-16,2018,9,37,-11.828606194380988,6.74759,18.352804228395236,-0.021439303937382505,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,11.69126905678983
10.584101988585392,ppg3_0,2018-09-23,2018,9,38,-11.828606194380988,15.41094,16.049710585957545,-0.0187593909452097,0.0,0.0,-0.0,-0.3243361097151185,0.0,0.827052460311366,0.0,0.0,15.289163339812985
22.901194824093018,ppg3_0,2018-09-30,2018,9,39,-11.828606194380988,53.094905,17.96224613953261,-0.021439303937382505,0.0,3.4075075713909984,-0.0,-0.0,5.037532395865668,0.0,0.0,0.0,37.458435432563924
9.011380663488508,ppg3_0,2018-10-07,2018,10,40,-11.828606194380988,15.889305,16.92760979886146,-0.021439303937382505,0.0,0.0,-0.0,-0.0,0.0,0.827052460311366,0.0,0.0,14.915997424342965
