Seasonal_index,PPG,Date,Year,Month,Week,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 1_Promo.Group 19_display_silver,Retailer 1_Promo.Group 20_display_platinum,Vol.Sales_pred
15.64626930261459,ppg3_1,2018-08-05,2018,8,31,-1.666681531898135,20.0822,3.741146268398922,-0.10675480229333317,9.418157609266714,0.0,0.0,0.0,0.0,1.5717167696267795,0.0,1.3817582684005452,29.985611884116082
23.17164667632755,ppg3_1,2018-08-12,2018,8,32,-1.666681531898135,9.762485,3.743651220704512,-0.10675480229333317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.141861562840592
6.8500567057542945,ppg3_1,2018-08-19,2018,8,33,-1.666681531898135,9.177515,4.677998430689646,-0.13344350286666645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.727930101679139
18.327212990088853,ppg3_1,2018-08-26,2018,8,34,-1.666681531898135,48.24491999999999,6.231068860155553,-0.1779246704888886,0.0,1.5162620746348503,0.0,0.0,10.942066720000716,0.0,0.0,0.0,35.17200444249295
6.123553354146903,ppg3_1,2018-09-02,2018,9,35,-1.666681531898135,16.21991,6.231068860155553,-0.1779246704888886,0.0,0.0,0.0,0.0,0.0,1.5717167696267795,0.0,0.0,12.081732781542211
13.40473697189678,ppg3_1,2018-09-09,2018,9,36,-1.666681531898135,42.981625,6.233156320410212,-0.1779246704888886,0.0,0.0,2.350831501691082,0.0,10.942066720000716,0.0,0.0,0.0,31.086185311611764
12.06638935156451,ppg3_1,2018-09-16,2018,9,37,-1.666681531898135,14.142824999999998,4.679564025880639,-0.13344350286666645,0.0,0.0,0.0,0.0,0.0,1.5717167696267795,0.0,0.0,16.517545112307126
9.834955258512714,ppg3_1,2018-09-23,2018,9,38,-1.666681531898135,21.776665,6.241506161428846,-0.1779246704888886,0.0,1.5162620746348503,0.0,0.0,10.942066720000716,0.0,0.0,0.0,26.6901840121901
7.052495145670914,ppg3_1,2018-09-30,2018,9,39,-1.666681531898135,9.11887,4.682695216262628,-0.13344350286666645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.93506532716874
13.137440029241093,ppg3_1,2018-10-07,2018,10,40,-1.666681531898135,41.332845,4.682695216262628,-0.13344350286666645,9.418157609266714,0.0,0.0,0.0,10.942066720000716,0.0,0.0,1.3817582684005452,37.761992808406895
18.15598808099962,ppg3_1,2018-10-14,2018,10,41,-1.666681531898135,18.43033,4.682695216262628,-0.13344350286666645,0.0,0.0,0.0,1.056431635908422,0.0,1.5717167696267795,0.0,0.0,23.66670666803265
7.299530250953729,ppg3_1,2018-10-21,2018,10,42,-1.666681531898135,19.802275,4.6811296210716336,-0.13344350286666645,9.418157609266714,0.0,0.0,0.0,10.942066720000716,0.0,0.0,1.3817582684005452,31.922517434928537
8.558487859845345,ppg3_1,2018-10-28,2018,10,43,-1.666681531898135,15.619175,4.6811296210716336,-0.13344350286666645,0.0,0.0,0.0,0.0,10.942066720000716,0.0,0.0,1.3817582684005452,23.763317434553436
7.089173956397248,ppg3_1,2018-11-04,2018,11,44,-1.666681531898135,8.094355,6.239418701174186,-0.1779246704888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.48398645518441
8.26532752483023,ppg3_1,2018-11-11,2018,11,45,-1.666681531898135,19.207335,6.239418701174186,-0.1779246704888886,9.418157609266714,0.0,0.0,0.0,10.942066720000716,0.0,0.0,1.3817582684005452,34.40212262128537
3.370613026357856,ppg3_1,2018-11-18,2018,11,46,-1.666681531898135,6.233645,6.239418701174186,-0.1779246704888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.765425525145019
7.307010065231674,ppg3_1,2018-11-25,2018,11,47,-1.666681531898135,13.838285,6.239418701174186,-0.1779246704888886,0.0,0.0,0.0,0.0,0.0,1.5717167696267795,0.0,0.0,13.273539333645616
3.753823868528722,ppg3_1,2018-12-02,2018,12,48,-1.666681531898135,7.202735,6.241506161428846,-0.1779246704888886,0.0,0.0,0.0,0.0,10.942066720000716,0.0,0.0,0.0,19.092790547571262
10.144196815221362,ppg3_1,2018-12-09,2018,12,49,-1.666681531898135,22.73448,6.241506161428846,-0.1779246704888886,9.418157609266714,0.0,0.0,0.0,10.942066720000716,0.0,0.0,1.3817582684005452,36.28307937193116
7.706921110374087,ppg3_1,2018-12-16,2018,12,50,-1.666681531898135,18.62457,6.241506161428846,-0.1779246704888886,0.0,0.0,0.0,1.056431635908422,0.0,1.5717167696267795,0.0,0.0,14.73196947495111
12.291981305140181,ppg3_1,2018-12-23,2018,12,51,-1.666681531898135,22.48554,6.2435936216835035,-0.1779246704888886,0.0,0.0,0.0,0.0,0.0,1.5717167696267795,0.0,0.0,18.26268549406344
4.353673386523186,ppg3_1,2018-12-30,2018,12,52,-1.666681531898135,8.840499999999999,4.679564025880639,-0.13344350286666645,0.0,0.0,0.0,0.0,0.0,1.5717167696267795,0.0,0.0,8.804829147265803
2.7279004775242512,ppg3_1,2019-01-06,2019,1,1,-1.666681531898135,5.587045,6.239418701174186,-0.1779246704888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.122712976311414
2.6537088532084967,ppg3_1,2019-01-13,2019,1,2,-1.666681531898135,5.16473,6.239418701174186,-0.1779246704888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.048521351995659
2.752140208198554,ppg3_1,2019-01-20,2019,1,3,-1.666681531898135,5.279695,6.239418701174186,-0.1779246704888886,0.0,0.0,2.350831501691082,0.0,0.0,0.0,0.0,0.0,9.497784208676798
4.364108123359189,ppg3_1,2019-01-27,2019,1,4,-1.666681531898135,11.216375,6.237331240919527,-0.1779246704888886,0.0,0.0,0.0,0.0,0.0,1.5717167696267795,1.2074646370604527,0.0,11.536014568578926
3.9559353834709428,ppg3_1,2019-02-03,2019,2,5,-1.666681531898135,5.1748650000000005,6.237331240919527,-0.1779246704888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.348660422003446
6.237310928996013,ppg3_1,2019-02-10,2019,2,6,-1.666681531898135,12.12442,6.237331240919527,-0.1779246704888886,0.0,0.0,0.0,0.0,10.942066720000716,0.0,0.0,0.0,21.57210268752923
2.8657433855662764,ppg3_1,2019-02-17,2019,2,7,-1.666681531898135,5.584735,6.237331240919527,-0.1779246704888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25846842409878
5.422662733604843,ppg3_1,2019-02-24,2019,2,8,-1.666681531898135,15.75553,3.744903696857307,-0.10675480229333317,0.0,0.0,0.0,1.056431635908422,10.942066720000716,0.0,0.0,0.0,19.39262845217982
2.7347958206218497,ppg3_1,2019-03-03,2019,3,9,-1.666681531898135,4.9350950000000005,6.237331240919527,-0.1779246704888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1275208591543535
6.219397445155646,ppg3_1,2019-03-10,2019,3,10,-1.666681531898135,17.725835,6.237331240919527,-0.1779246704888886,0.0,0.0,0.0,1.056431635908422,10.942066720000716,0.0,0.0,0.0,22.61062083959729
3.3169494469721172,ppg3_1,2019-03-17,2019,3,11,-1.666681531898135,5.75146,6.235243780664869,-0.1779246704888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3817582684005452,9.089345293650508
6.691110358921764,ppg3_1,2019-03-24,2019,3,12,-1.666681531898135,16.8809,6.235243780664869,-0.1779246704888886,0.0,0.0,0.0,0.0,0.0,1.5717167696267795,0.0,0.0,12.65346470682639
3.774373020043634,ppg3_1,2019-03-31,2019,3,13,-1.666681531898135,5.942225,6.235243780664869,-0.1779246704888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.16501059832148
7.001793282411724,ppg3_1,2019-04-07,2019,4,14,-1.666681531898135,6.831125,6.237331240919527,-0.1779246704888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.39451832094423
14.429887647641861,ppg3_1,2019-04-14,2019,4,15,-1.666681531898135,23.35225,4.679564025880639,-0.13344350286666645,0.0,1.5162620746348503,0.0,0.0,10.942066720000716,0.0,0.0,0.0,29.767655433393266
4.801256382269198,ppg3_1,2019-04-21,2019,4,16,-1.666681531898135,9.000585,6.241506161428846,-0.1779246704888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.19815634131102
7.014370317682225,ppg3_1,2019-04-28,2019,4,17,-1.666681531898135,17.82019,6.241506161428846,-0.1779246704888886,0.0,0.0,0.0,0.0,0.0,1.5717167696267795,0.0,0.0,12.982987046350825
9.285569344504031,ppg3_1,2019-05-05,2019,5,18,-1.666681531898135,7.32016,4.682695216262628,-0.13344350286666645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.168139526001857
16.68810128618393,ppg3_1,2019-05-12,2019,5,19,-1.666681531898135,54.203345,6.241506161428846,-0.1779246704888886,0.0,1.5162620746348503,0.0,0.0,10.942066720000716,0.0,0.0,0.0,33.54333003986132
21.47540637467912,ppg3_1,2019-05-19,2019,5,20,-1.666681531898135,17.98788,6.241506161428846,-0.1779246704888886,0.0,1.5162620746348503,0.0,0.0,0.0,1.5717167696267795,0.0,0.0,28.96028517798257
6.78687016368654,ppg3_1,2019-05-26,2019,5,21,-1.666681531898135,7.959095,4.682695216262628,-0.13344350286666645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.669440345184366
10.887133879145638,ppg3_1,2019-06-02,2019,6,22,-1.666681531898135,24.078935,6.241506161428846,-0.1779246704888886,0.0,0.0,0.0,1.056431635908422,0.0,1.5717167696267795,0.0,0.0,17.91218224372266
21.322152242354697,ppg3_1,2019-06-09,2019,6,23,-1.666681531898135,69.99503,4.682695216262628,-0.13344350286666645,9.418157609266714,0.0,0.0,0.0,10.942066720000716,0.0,0.0,0.0,44.56494675311996
10.791108019469943,ppg3_1,2019-06-16,2019,6,24,-1.666681531898135,24.031145,4.684260811453621,-0.13344350286666645,0.0,0.0,0.0,1.056431635908422,10.942066720000716,0.0,0.0,0.0,25.673742152067902
4.630329527617601,ppg3_1,2019-06-23,2019,6,25,-1.666681531898135,8.546155,3.42552227789456,-0.08896233524444427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3002079383695815
28.120658594367573,ppg3_1,2019-06-30,2019,6,26,-1.666681531898135,87.3584,6.212281717863626,-0.10675480229333317,9.418157609266714,0.0,0.0,0.0,10.942066720000716,0.0,0.0,0.0,52.91972830730717
18.857624615734448,ppg3_1,2019-07-07,2019,7,27,-1.666681531898135,50.679475,4.440922587482004,-0.07625343020952366,0.0,0.0,2.350831501691082,0.0,10.942066720000716,0.0,0.0,0.0,34.84851046280059
8.93124704996562,ppg3_1,2019-07-14,2019,7,28,-1.666681531898135,23.73267,6.214786670169216,-0.10675480229333317,0.0,0.0,0.0,1.056431635908422,0.0,1.5717167696267795,0.0,0.0,16.000745791478572
27.319819877472465,ppg3_1,2019-07-21,2019,7,29,-1.666681531898135,8.29291,6.217291622474806,-0.10675480229333317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.763675165755803
