Seasonal_index,PPG,Date,Year,Month,Week,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Vol.Sales_pred
2.7959220566402103,ppg20_0,2018-08-05,2018,8,31,1.9166069044260563,3.71096,1.2620139731945257,-0.05086971026984943,0.0,0.0,0.0,-0.0,0.0,0.0,5.923673223990942
8.127534023825238,ppg20_0,2018-08-12,2018,8,32,1.9166069044260563,11.3003,0.9468310049483478,-0.038152282702387075,0.0,0.0,0.0,-0.0,1.9818556119025592,0.0,12.93467526239981
4.884384847898757,ppg20_0,2018-08-19,2018,8,33,1.9166069044260563,6.6083,0.7718243263086059,-0.03052182616190966,0.0,0.0,0.0,-0.0,0.0,0.2577743826592224,7.800068635130732
6.146938526380003,ppg20_0,2018-08-26,2018,8,34,1.9166069044260563,7.87072,1.0327317190059502,-0.038152282702387075,0.0,0.0,0.0,-0.0,1.9818556119025592,0.0,11.03998047901218
2.7680956224338233,ppg20_0,2018-09-02,2018,9,35,1.9166069044260563,3.66872,1.11158088190957,-0.038152282702387075,0.0,0.0,0.0,-0.0,0.0,0.0,5.758131126067063
11.292583820438358,ppg20_0,2018-09-09,2018,9,36,1.9166069044260563,15.11728,0.9810630805504075,-0.030521826161909644,0.0,0.0,0.0,-0.0,1.9818556119025592,0.0,16.14158759115547
2.552348836050395,ppg20_0,2018-09-16,2018,9,37,1.9166069044260563,3.60338,1.2619071315103743,-0.038152282702387075,0.0,0.0,0.0,-0.0,0.0,0.0,5.692710589284438
5.082581672977339,ppg20_0,2018-09-23,2018,9,38,1.9166069044260563,7.59148,1.0161926262993373,-0.03052182616190966,0.0,0.0,0.0,-0.0,0.0,0.2577743826592224,8.242633760200045
8.40299928705655,ppg20_0,2018-09-30,2018,9,39,1.9166069044260563,18.67024,1.0174747265091522,-0.030521826161909644,0.0,0.0,0.0,-0.0,1.9818556119025592,0.0,13.288414703732407
4.585840558404076,ppg20_0,2018-10-07,2018,10,40,1.9166069044260563,10.2528,1.0074743448725956,-0.03052182616190966,0.0,0.0,0.0,-0.0,0.0,0.2577743826592224,7.73717436420004
4.268315533226668,ppg20_0,2018-10-14,2018,10,41,1.9166069044260563,9.8652,1.0005510037395948,-0.03052182616190966,0.0,0.0,0.0,-0.0,0.0,0.2577743826592224,7.412725997889631
8.07382021582661,ppg20_0,2018-10-21,2018,10,42,1.9166069044260563,4.8708,1.2433166784680574,-0.038152282702387075,0.0,0.0,0.0,-0.0,0.0,0.0,11.195591516018334
9.084483883132762,ppg20_0,2018-10-28,2018,10,43,1.9166069044260563,11.06446,1.2375472275238901,-0.038152282702387075,0.0,0.0,0.0,-0.0,1.9818556119025592,0.0,14.182341344282879
6.603112848885479,ppg20_0,2018-11-04,2018,11,44,1.9166069044260563,10.1332,1.2369061774189825,-0.038152282702387075,0.0,0.0,0.0,-0.0,0.0,0.2577743826592224,9.976248030687351
2.9866977318383134,ppg20_0,2018-11-11,2018,11,45,1.9166069044260563,5.84892,1.2353035521567137,-0.038152282702387075,0.0,0.0,0.0,-0.0,0.0,0.2577743826592224,6.358230288377918
6.21982934630366,ppg20_0,2018-11-18,2018,11,46,1.9166069044260563,10.42268,0.988499261767334,-0.03052182616190966,0.0,0.0,0.0,-0.0480945404762715,1.9818556119025592,0.0,11.02817475776143
1.9551048477923798,ppg20_0,2018-11-25,2018,11,47,1.9166069044260563,3.15854,1.2349830271042601,-0.038152282702387075,0.0,0.0,0.0,-0.0,0.0,0.0,5.068542496620309
4.337092077850435,ppg20_0,2018-12-02,2018,12,48,1.9166069044260563,6.80746,1.2353035521567137,-0.038152282702387075,0.0,0.0,0.0,-0.0,1.9818556119025592,0.0,9.432705863633377
2.631522893339042,ppg20_0,2018-12-09,2018,12,49,1.9166069044260563,3.07274,1.2337009268944452,-0.038152282702387075,0.0,0.0,0.0,-0.0,0.0,0.0,5.743678441957157
3.866765398013301,ppg20_0,2018-12-16,2018,12,50,1.9166069044260563,3.3044,1.2324188266846303,-0.038152282702387075,0.0,0.0,0.0,-0.0,0.0,0.0,6.9776388464216
7.178977191495993,ppg20_0,2018-12-23,2018,12,51,1.9166069044260563,8.00376,0.8228946513329018,-0.025434855134924706,0.0,0.0,0.0,-0.0,1.9818556119025592,0.0,11.874899504022586
4.923169347494859,ppg20_0,2018-12-30,2018,12,52,1.9166069044260563,6.6046,0.9085816820222015,-0.025434855134924706,0.0,0.0,0.0,-0.0,1.9818556119025592,0.0,9.704778690710752
3.062081613189917,ppg20_0,2019-01-06,2019,1,1,1.9166069044260563,5.34402,1.2126103784429891,-0.03052182616190966,0.0,0.0,0.0,-0.0,0.0,0.0,6.160777069897052
12.241986668307845,ppg20_0,2019-01-13,2019,1,2,1.9166069044260563,25.60118,1.2387652227232144,-0.03052182616190966,2.605810905800623,0.0,0.0,-0.0,1.9818556119025592,0.0,19.95450348699839
5.062889037349499,ppg20_0,2019-01-20,2019,1,3,1.9166069044260563,10.74942,1.2405601630169554,-0.03052182616190966,0.0,0.0,0.0,-0.0,0.0,0.0,8.189534278630601
6.2873403259829725,ppg20_0,2019-01-27,2019,1,4,1.9166069044260563,13.18308,1.0359369695304876,-0.025434855134924706,0.0,0.0,0.0,-0.0,0.0,0.0,9.21444934480459
1.902557788974116,ppg20_0,2019-02-03,2019,2,5,1.9166069044260563,3.3143,1.2426115233526591,-0.03052182616190966,0.0,0.0,0.0,-0.0,0.0,0.0,5.031254390590922
