Seasonal_index,PPG,Date,Year,Month,Week,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 0_Promo.Group 22_Wtd.Selling.Dist,Retailer 0_Promo.Group 22_promo_ins,Retailer 0_Promo.Group 20_display_silver,Retailer 0_Promo.Group 19_display_bronze,Retailer 0_Promo.Group 22_display_bronze,Vol.Sales_pred
5.50480786603518,ppg5_0,2018-08-05,2018,8,31,8.688477544660564,23.34048,4.087905531177358,-0.11989835025285175,0.0,0.0,0.0,0.0,0.0,3.163952489416134,,,-0.0,0.0,,21.325245081036382
4.873746562037781,ppg5_0,2018-08-12,2018,8,32,8.688477544660564,27.98976,4.075751203532629,-0.11989835025285175,0.0,0.0,0.0,0.0,0.0,3.163952489416134,,,-0.0,0.0,,20.682029449394257
3.8342306300048308,ppg5_0,2018-08-19,2018,8,33,8.688477544660564,20.90652,4.085204569478529,-0.11989835025285175,0.0,0.0,0.0,0.0,0.0,3.163952489416134,-0.06904881147717513,0.0,-0.0,0.0,0.0,19.58291807183003
4.460383050149125,ppg5_0,2018-08-26,2018,8,34,8.688477544660564,24.15104,4.085204569478529,-0.11989835025285175,0.0,0.0,0.0,0.0,0.0,3.163952489416134,-0.7117339029185745,2.856072549168469,-0.0,0.0,0.0,22.422457949701396
4.690852410655508,ppg5_0,2018-09-02,2018,9,35,8.688477544660564,22.60668,4.085204569478529,-0.11989835025285175,0.0,0.0,0.0,0.0,0.0,3.163952489416134,-1.301304523992916,2.856072549168469,-0.0,0.0,0.0,22.06335668913344
4.389890737849019,ppg5_0,2018-09-09,2018,9,36,8.688477544660564,20.56632,4.082503607779701,-0.11989835025285175,0.0,0.0,0.0,0.0,0.0,3.163952489416134,-2.018349873948196,2.856072549168469,-0.0,0.0,0.0,21.04264870467284
3.321002706660756,ppg5_0,2018-09-16,2018,9,37,8.688477544660564,14.88352,4.075751203532629,-0.11989835025285175,0.0,0.0,0.0,0.0,0.0,3.163952489416134,-2.4963801072517167,2.856072549168469,-0.0,0.0,0.0,19.488978035933986
4.7015129054194675,ppg5_0,2018-09-23,2018,9,38,8.688477544660564,26.32564,4.074400722683214,-0.11989835025285175,0.0,0.0,0.0,0.0,0.0,3.163952489416134,-2.5468388541004217,2.856072549168469,-0.0,0.0,0.0,20.817679006994574
4.610762595988891,ppg5_0,2018-09-30,2018,9,39,8.688477544660564,23.71532,4.070349280134971,-0.11989835025285175,0.0,0.0,0.0,0.0,0.0,3.163952489416134,-2.578707536320656,2.856072549168469,-0.0,0.0,0.0,20.69100857279552
3.9931413841101664,ppg5_0,2018-10-07,2018,10,40,8.688477544660564,20.18584,4.077101684382043,-0.11989835025285175,0.0,0.0,0.0,0.0,0.0,3.163952489416134,-2.6211991126143026,2.856072549168469,-0.0,0.0,0.0,20.03764818887022
4.8687298973712245,ppg5_0,2018-10-14,2018,10,41,8.688477544660564,19.12092,5.39472083312735,-0.15986446700380233,0.0,0.0,0.0,0.0,0.0,3.163952489416134,-2.629166283169361,2.856072549168469,-0.0,0.0,0.0,22.18292256357058
4.032361837174385,ppg5_0,2018-10-21,2018,10,42,8.688477544660564,19.33284,4.0662978375867285,-0.11989835025285175,0.0,0.0,0.0,0.0,0.0,3.163952489416134,-2.629166283169361,2.856072549168469,-0.0,0.0,0.0,20.058097624584068
4.170252783785372,ppg5_0,2018-10-28,2018,10,43,8.688477544660564,18.95448,3.260600962826103,-0.0959186802022814,0.0,0.0,0.0,0.0,0.0,3.163952489416134,-2.629166283169361,2.856072549168469,-0.0,0.0,0.0,19.414271366485
4.9358389741037465,ppg5_0,2018-11-04,2018,11,44,8.688477544660564,22.01072,3.6052436755966553,-0.0959186802022814,0.0,0.0,0.0,0.0,0.0,3.163952489416134,-2.6265105596510083,2.856072549168469,-0.0,0.0,0.0,20.527155993092276
3.650888282028521,ppg5_0,2018-11-11,2018,11,45,8.688477544660564,18.51484,3.782426763039824,-0.0959186802022814,0.0,0.0,0.0,0.0,0.0,3.163952489416134,-2.6265105596510083,2.856072549168469,-0.0,0.0,0.0,19.41938838846022
3.8622916621547523,ppg5_0,2018-11-18,2018,11,46,8.688477544660564,19.09712,3.8623752293251554,-0.0959186802022814,0.0,0.0,0.0,0.0,0.0,3.163952489416134,-2.6265105596510083,2.856072549168469,-0.0,0.0,0.0,19.710740234871786
3.159304264734968,ppg5_0,2018-11-25,2018,11,47,8.688477544660564,16.84232,3.915314078622199,-0.0959186802022814,0.0,0.0,0.0,0.0,0.0,3.163952489416134,-2.6238548361326552,2.856072549168469,-0.0,0.0,0.0,19.063347410267397
3.61100684181508,ppg5_0,2018-12-02,2018,12,48,8.688477544660564,19.274,3.9488060036876758,-0.0959186802022814,0.0,0.0,0.0,0.0,0.0,3.163952489416134,-2.613231942059244,2.856072549168469,-0.0,0.0,0.0,19.559164806486397
4.787116334254929,ppg5_0,2018-12-09,2018,12,49,8.688477544660564,25.829,3.9682529279192438,-0.0959186802022814,0.0,0.0,0.0,0.0,0.0,3.163952489416134,-2.5919861539124205,2.856072549168469,-0.0,0.0,0.0,20.77596701130464
5.25620058089551,ppg5_0,2018-12-16,2018,12,50,8.688477544660564,26.90472,4.9711200066943695,-0.11989835025285175,0.0,0.0,0.0,0.0,0.0,3.163952489416134,-2.5733960892839502,2.856072549168469,-0.0,0.0,0.0,22.242528731298243
