Seasonal_index,PPG,Date,Year,Month,Week,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 1_Promo.Group 6_promo_catalogue,Retailer 0_Promo.Group 6_promo_catalogue,Retailer 1_Promo.Group 3_display_silver,Vol.Sales_pred
3.3835913649860605,ppg20_1,2018-08-05,2018,8,31,1.043500402961017,8.20194,2.1577164967795213,-0.11624672933961484,3.6600571074675936,0.0,-0.0,0.0,0.0,1.908196995135005,0.0,0.8636925978257161,0.0,12.9005082358153
8.477418858062586,ppg20_1,2018-08-12,2018,8,32,1.043500402961017,4.81414,2.1548433722831435,-0.11624672933961484,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.559515903967132
3.0142971173841553,ppg20_1,2018-08-19,2018,8,33,1.043500402961017,4.40646,2.1571418718802455,-0.11624672933961484,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.098692662885803
7.767409365972007,ppg20_1,2018-08-26,2018,8,34,1.043500402961017,19.58976,2.1577164967795213,-0.11624672933961484,0.0,1.246023744726306,-0.0,0.0,3.6664522403933866,0.0,3.666452240393387,0.0,0.0,19.43130776188601
2.8319408683468485,ppg20_1,2018-09-02,2018,9,35,1.043500402961017,7.73358,2.1513956228874904,-0.11624672933961484,0.0,0.0,-0.0,0.0,0.0,1.908196995135005,0.0,0.8636925978257161,0.0,8.682479757816461
8.720339512604317,ppg20_1,2018-09-09,2018,9,36,1.043500402961017,17.806720000000002,2.0657765128954404,-0.11624672933961484,0.0,0.0,-0.3034906529828359,0.0,3.6664522403933866,0.0,3.666452240393387,0.0,1.1570073116136097,19.899790838538706
6.432871687688948,ppg20_1,2018-09-16,2018,9,37,1.043500402961017,7.58434,1.702268801613756,-0.09299738347169188,0.0,0.0,-0.0,0.0,0.0,1.908196995135005,0.0,0.8636925978257161,0.0,11.857533101752752
5.61265166148543,ppg20_1,2018-09-23,2018,9,38,1.043500402961017,11.87648,1.7758207887210207,-0.09299738347169188,0.0,1.246023744726306,-0.0,0.0,3.6664522403933866,0.0,3.666452240393387,0.0,0.0,16.917903695208857
3.0803924252655697,ppg20_1,2018-09-30,2018,9,39,1.043500402961017,4.95288,1.7827162875123268,-0.09299738347169188,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.813611732267221
9.692555670039956,ppg20_1,2018-10-07,2018,10,40,1.043500402961017,31.86698,1.779498388076384,-0.09299738347169188,3.6600571074675936,0.0,-0.0,0.0,3.6664522403933866,0.0,3.666452240393387,0.8636925978257161,0.0,24.279211263685745
8.160156176973961,ppg20_1,2018-10-14,2018,10,41,1.043500402961017,12.84952,1.7666267903326125,-0.09299738347169188,0.0,0.0,-0.0,0.0060769516043394,0.0,1.908196995135005,0.0,0.0,0.0,12.791559933535243
4.7549992027875945,ppg20_1,2018-10-21,2018,10,42,1.043500402961017,14.7774,1.7528357927500005,-0.09299738347169188,3.6600571074675936,0.0,-0.0,0.0,3.6664522403933866,0.0,3.666452240393387,0.8636925978257161,0.0,19.314992201107003
