Seasonal_index,PPG,Date,Year,Month,Week,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 1_Promo.Group 6_promo_catalogue,Retailer 1_Promo.Group 20_promo_ins,Retailer 1_Promo.Group 5_Wtd.Selling.Dist,Retailer 1_Promo.Group 5_promo_catalogue,Retailer 1_Promo.Group 6_display_silver,Vol.Sales_pred
0.2629174643359776,ppg22_1,2018-09-09,2018,9,36,-1.025580037252563,0.04212,0.10874238051351152,0.0,0.0,0.0392161185905557,-0.0,0.0,0.0,0.0,-0.641714633228073,-0.0,1.3850841033294974,0.0,-0.018487396629767,0.11017799965913938
0.4649823634431836,ppg22_1,2018-09-16,2018,9,37,-1.025580037252563,0.75036,1.4079276634907283,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.3863087620229924,1.1031715031785148,0.0,-0.0,1.5641927308368713
0.544519246155651,ppg22_1,2018-09-23,2018,9,38,-1.025580037252563,2.85324,2.6184020571016595,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.641714633228073,-0.0,1.3037039277827502,0.0,-0.0,2.7993305605594245
0.7455748912347371,ppg22_1,2018-09-30,2018,9,39,-1.025580037252563,5.49224,2.807270402204074,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,1.2923560945391799,0.602585396763001,-0.0,4.4222067474884295
0.6995294220216596,ppg22_1,2018-10-07,2018,10,40,-1.025580037252563,2.73884,2.835886818128682,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.641714633228073,-0.0,1.287816961241752,0.0,-0.0,3.155938530911458
0.46580463916516546,ppg22_1,2018-10-14,2018,10,41,-1.025580037252563,3.38364,2.858779950868369,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.3863087620229924,1.2855473945930376,0.0,-0.0,3.198243185351017
0.5553773182303883,ppg22_1,2018-10-21,2018,10,42,-1.025580037252563,3.43512,2.858779950868369,0.0,0.0,0.0,-0.0,0.2236273925118574,0.0,0.0,-0.641714633228073,-0.0,1.281980932716487,0.0,-0.0,3.2524709238464657
0.5694785877186271,ppg22_1,2018-10-28,2018,10,43,-1.025580037252563,3.7024,2.858779950868369,0.0,0.0,0.0,-0.0,0.2236273925118574,0.0,0.0,-0.641714633228073,-0.0,1.0707491224825996,0.0,-0.0,3.055340383100817
0.6414888482017859,ppg22_1,2018-11-04,2018,11,44,-1.025580037252563,4.37684,2.855918309275908,0.0,0.0,0.0,-0.0,0.2236273925118574,0.0,0.0,-0.0,-0.0,1.2169200221200174,0.0,-0.0,3.9123745348570056
0.4833284116119404,ppg22_1,2018-11-11,2018,11,45,-1.025580037252563,3.04772,2.855918309275908,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.641714633228073,-0.0,1.2706871367740766,0.0,-0.0,2.942639187181289
0.6096790870864378,ppg22_1,2018-11-18,2018,11,46,-1.025580037252563,3.89844,2.855918309275908,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,1.298786533377203,0.0,-0.0,3.738803892486986
0.4388209596896012,ppg22_1,2018-11-25,2018,11,47,-1.025580037252563,2.28124,2.855918309275908,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.3863087620229924,1.3152679102309601,0.0,-0.0,3.1981183799209143
0.8324664011091981,ppg22_1,2018-12-02,2018,12,48,-1.025580037252563,3.59008,2.855918309275908,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.641714633228073,-0.0,1.3222927593817415,0.0,-0.0,3.3433827992862115
0.5527956807232889,ppg22_1,2018-12-09,2018,12,49,-1.025580037252563,3.37064,2.855918309275908,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.641714633228073,-0.0,1.5867513112580898,0.0,-0.0,3.3281706307766505
0.681780416563912,ppg22_1,2018-12-16,2018,12,50,-1.025580037252563,3.9936,2.855918309275908,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.3863087620229924,1.5883724302928857,0.0,-0.0,3.71418235685715
0.6718515752506616,ppg22_1,2018-12-23,2018,12,51,-1.025580037252563,4.04664,2.8530566676834477,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.3863087620229924,1.5896693255207224,0.0,-0.0,3.702688769179276
0.5041715436800432,ppg22_1,2018-12-30,2018,12,52,-1.025580037252563,3.41848,2.8530566676834477,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.3863087620229924,1.5841575208024168,0.0,-0.0,3.5294969328903525
0.6709127242886834,ppg22_1,2019-01-06,2019,1,1,-1.025580037252563,4.12984,2.8530566676834477,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,1.3204014538411466,0.0,-0.0,3.8187908085607143
0.6682320611694764,ppg22_1,2019-01-13,2019,1,2,-1.025580037252563,4.14544,2.8530566676834477,0.0,0.0,0.0392161185905557,-0.0,0.0,0.0,0.0,-0.0,-0.0,1.3136467911961642,0.0,-0.0,3.848571601387081
0.4676898271289975,ppg22_1,2019-01-20,2019,1,3,-1.025580037252563,2.24068,2.855918309275908,0.0,0.0,0.0,-0.0055494496586956,0.0,0.0,0.0,-0.641714633228073,-0.0,1.5300121450402382,0.0,-0.0,3.1807761613058125
0.40849613688081887,ppg22_1,2019-01-27,2019,1,4,-1.025580037252563,3.05656,2.855918309275908,0.0,0.0,0.0,-0.0055494496586956,0.0,0.0,0.0,-0.0,-0.3863087620229924,1.170718129628338,0.0,-0.0,3.0176943268508136
0.4286974017734815,ppg22_1,2019-02-03,2019,2,5,-1.025580037252563,3.20528,2.855918309275908,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,1.335477860864747,0.0,-0.0,3.5945135346615733
