Seasonal_index,PPG,Date,Year,Month,Week,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 0_Promo.Group 22_promo_ins,Retailer 1_Promo.Group 3_display_bronze,Vol.Sales_pred
36.52363715099983,ppg6_0,2018-08-05,2018,8,31,14.8851853927152,55.69276,-6.784589458161275,-0.0061030749202707,0.0,0.0,-1.6683421175589344,-0.0,12.637295312338438,0.0,,0.0,55.58708320541299
10.38746374270048,ppg6_0,2018-08-12,2018,8,32,14.8851853927152,15.88608,-6.7811482989717025,-0.0061030749202707,0.0,0.0,-0.0,-0.0,0.0,0.0,,0.0,18.485397761523707
16.203526052805927,ppg6_0,2018-08-19,2018,8,33,14.8851853927152,13.2402,-5.330208106396927,-0.004795273151641263,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,25.75370806597256
9.113956303535467,ppg6_0,2018-08-26,2018,8,34,14.8851853927152,14.11926,-5.87474696843829,-0.004795273151641263,0.0,0.0,-0.0,-0.0,0.0,0.0,1.1384816492334269,0.0,19.258081103894163
39.50572757676101,ppg6_0,2018-09-02,2018,9,35,14.8851853927152,66.57092,-6.561504023842986,-0.004795273151641263,0.0,0.0,-1.6683421175589344,-0.0,12.637295312338438,0.0,1.1384816492334269,0.0,59.93204851649451
12.821167247634953,ppg6_0,2018-09-09,2018,9,36,14.8851853927152,17.54664,-7.3993393121507625,-0.0051641403171521294,0.0,0.0,-0.0,-0.0,0.0,0.0,1.1384816492334269,0.0,21.440330837115667
74.6741024205007,ppg6_0,2018-09-16,2018,9,37,14.8851853927152,141.87044,-6.930297970131175,-0.004795273151641263,12.54060811178541,0.0,-0.0,-0.0,12.637295312338438,0.0,1.1384816492334269,0.0,108.94057964329036
18.286756464151523,ppg6_0,2018-09-23,2018,9,38,14.8851853927152,21.29746,-6.931920230891976,-0.004795273151641263,0.0,0.0,-0.0,-0.0,0.0,0.0,1.1384816492334269,0.0,27.37370800205653
13.68027498816722,ppg6_0,2018-09-30,2018,9,39,14.8851853927152,19.14146,-7.451168463636787,-0.0051641403171521294,0.0,0.0,-0.0,-0.0,0.0,0.0,1.1384816492334269,0.0,22.247609426161908
38.06274636250033,ppg6_0,2018-10-07,2018,10,40,14.8851853927152,59.74638,-7.444762613453121,-0.0051641403171521294,0.0,0.0,-0.0,-0.0,12.637295312338438,0.0,1.1384816492334269,0.0,59.27378196301712
