Seasonal_index,PPG,Date,Year,Month,Week,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 0_Promo.Group 20_promo_ins,Retailer 0_Promo.Group 3_promo_ins,Vol.Sales_pred
5.281633547584558,ppg5_1,2018-08-05,2018,8,31,16.581167536150215,29.80588,1.1190937371369374,-0.13410551314832675,0.0,1.2370423966533002,0.0,0.0,3.8621305407823527,0.0,0.0,0.0,27.946962245159035
4.184165474494888,ppg5_1,2018-08-12,2018,8,32,16.581167536150215,27.10584,1.1193238139743422,-0.13410551314832675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.750551311471117
5.030388901967959,ppg5_1,2018-08-19,2018,8,33,16.581167536150215,27.81804,1.119553890811747,-0.13410551314832675,0.0,0.0,0.0,1.3040826250331543,0.0,0.0,0.3783551860686447,1.789412892827271,26.068855519710667
5.026708153147548,ppg5_1,2018-08-26,2018,8,34,16.581167536150215,18.87818,1.1186335834621277,-0.13410551314832675,0.0,0.0,0.0,1.3040826250331543,0.0,0.0,0.0,0.0,23.896486384644717
4.873219771255304,ppg5_1,2018-09-02,2018,9,35,16.581167536150215,24.74098,1.0682467560704771,-0.13410551314832675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.388528550327667
4.262261242187797,ppg5_1,2018-09-09,2018,9,36,16.581167536150215,21.1335,0.982888249393297,-0.13410551314832675,0.0,1.2370423966533002,0.0,0.0,0.0,0.0,0.0,0.0,22.929253911236284
5.194443222793273,ppg5_1,2018-09-16,2018,9,37,16.581167536150215,22.629685,0.7828364392698252,-0.11175459429027225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.44669260392304
4.9805959709158625,ppg5_1,2018-09-23,2018,9,38,16.581167536150215,22.26258,0.9251389632046928,-0.13410551314832675,0.0,0.0,0.0,0.0,0.0,0.0,0.3783551860686447,1.789412892827271,24.520565036018358
5.468462101281049,ppg5_1,2018-09-30,2018,9,39,16.581167536150215,29.07318,0.9170862738955248,-0.13410551314832675,0.0,0.0,0.0,0.0,3.8621305407823527,0.0,0.0,0.0,26.694740938960813
5.69640848554846,ppg5_1,2018-10-07,2018,10,40,16.581167536150215,16.76646,0.9138651981718577,-0.13410551314832675,0.0,0.0,0.0,0.0,0.0,0.0,0.3783551860686447,1.789412892827271,25.225103785618124
3.5604277130309803,ppg5_1,2018-10-14,2018,10,41,16.581167536150215,19.62392,0.912254660310024,-0.13410551314832675,0.0,0.0,0.0,0.0,0.0,0.0,0.3783551860686447,1.789412892827271,23.087512475238807
4.482285397518914,ppg5_1,2018-10-21,2018,10,42,16.581167536150215,19.56152,0.9097238150985713,-0.13410551314832675,0.0,0.0,0.0,1.3040826250331543,0.0,0.0,0.0,0.0,23.143153860652525
5.887110792934399,ppg5_1,2018-10-28,2018,10,43,16.581167536150215,29.20424,0.7598287555293454,-0.11175459429027225,0.0,0.0,0.0,1.3040826250331543,0.0,0.0,0.0,0.0,24.420435115356838
6.667031925710411,ppg5_1,2018-11-04,2018,11,44,16.581167536150215,31.65588,0.8635550630593419,-0.11175459429027225,0.0,0.0,0.0,1.3040826250331543,0.0,0.0,0.3783551860686447,1.789412892827271,27.471850634558766
4.820730300982918,ppg5_1,2018-11-11,2018,11,45,16.581167536150215,27.06846,0.9017094719289709,-0.11175459429027225,0.0,0.0,0.0,1.3040826250331543,0.0,0.0,0.3783551860686447,1.789412892827271,25.663703418700905
5.154724981403743,ppg5_1,2018-11-18,2018,11,46,16.581167536150215,25.52742,0.9216494645040533,-0.11175459429027225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.54578738776774
5.39407757167342,ppg5_1,2018-11-25,2018,11,47,16.581167536150215,25.78548,0.9333450370721307,-0.11175459429027225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.796835550605493
8.950109229549582,ppg5_1,2018-12-02,2018,12,48,16.581167536150215,33.87012,0.9383300352159011,-0.11175459429027225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.357852206625427
6.4231794764927175,ppg5_1,2018-12-09,2018,12,49,16.581167536150215,32.1595,1.1259960422590813,-0.13410551314832675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.996237541753686
7.384641360408712,ppg5_1,2018-12-16,2018,12,50,16.581167536150215,33.42414,1.1271464264461055,-0.13410551314832675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.958849809856705
8.834928648004178,ppg5_1,2018-12-23,2018,12,51,16.581167536150215,42.5787,1.1280667337957246,-0.13410551314832675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.410057404801787
4.420706131246015,ppg5_1,2018-12-30,2018,12,52,16.581167536150215,27.59996,1.124155427559843,-0.13410551314832675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.991923581807743
6.1842957213949665,ppg5_1,2019-01-06,2019,1,1,16.581167536150215,29.67928,0.9369879203310398,-0.11175459429027225,0.0,1.2370423966533002,0.0,0.0,0.0,0.0,0.0,0.0,24.82773898023925
5.870254663881154,ppg5_1,2019-01-13,2019,1,2,16.581167536150215,27.65944,0.9321946528851065,-0.11175459429027225,0.0,1.2370423966533002,0.0,0.0,0.0,0.0,0.0,0.0,24.5089046552795
4.357633541768432,ppg5_1,2019-01-20,2019,1,3,16.581167536150215,17.110979999999998,1.0857325957132418,-0.13410551314832675,0.0,0.0,0.4198563503270516,0.0,0.0,0.0,0.0,0.0,22.310284510810614
