Features,Coeff
display_gold,0.0
Retailer 0_Promo.Group 22_Wtd.Selling.Dist,-0.006021449102275858
Retailer 1_Promo.Group 3_promo_ins,-0.1072028643115216
promo_ins,1.1544760073644746
Wtd.Selling.Dist,-0.06341534317069808
Retailer 0_Promo.Group 22_promo_ins,0.8477979989052127
Seasonal_index,4.837562886074033
display_silver,-9.284959236701792e-17
display_platinum,-7.278409614528513e-16
promo_catalogue,0.7023392385099956
Weighted_Price,6.564912135294682
display_bronze,0.7023392385099934
