Features,Coeff
const,1.5054139053590614
Retailer 0_Promo.Group 20_display_silver,1.9574408223141029
Retailer 1_Promo.Group 6_promo_catalogue,-1.4817533103758778
display_platinum,3.3763871542458546
Seasonal_index,7.71241443920563
display_silver,1.575096435224573
Retailer 0_Promo.Group 22_Wtd.Selling.Dist,-0.009418664936231532
promo_catalogue,2.2535791852337224
display_bronze,1.0109618539662093
display_gold,0.2763356630446583
Retailer 1_Promo.Group 3_display_bronze,-0.5266931217112302
promo_ins,0.0
