PPG,const,Seasonal_index,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer 1_Promo.Group 3_promo_ins,Retailer 0_Promo.Group 22_Wtd.Selling.Dist,Retailer 0_Promo.Group 22_promo_ins,Retailer 0_Promo.Group 20_display_silver,Retailer 1_Promo.Group 6_promo_catalogue,Retailer 1_Promo.Group 3_display_bronze,Retailer 0_Promo.Group 3_Wtd.Selling.Dist,Retailer 0_Promo.Group 6_promo_catalogue,Retailer 0_Promo.Group 5_promo_catalogue,Wtd.Selling.Dist,Retailer 1_Promo.Group 19_display_bronze,Retailer 1_Promo.Group 20_promo_ins,Retailer 1_Promo.Group 22_display_bronze,Retailer 0_Promo.Group 20_display_platinum,Retailer 0_Promo.Group 19_display_bronze,Retailer 0_Promo.Group 22_display_bronze,Retailer 0_Promo.Group 20_promo_ins,Retailer 0_Promo.Group 3_promo_ins,Retailer 1_Promo.Group 3_display_silver,Retailer 1_Promo.Group 20_promo_catalogue,Retailer 1_Promo.Group 20_display_platinum
ppg19_0,0.236001502227227,4.834263987013423,0.702061234354137,1.2751011572919648,-2.4740178859612423e-15,0.0,-1.3689524294351169e-17,0.7020612343541366,-0.1113579733591635,-0.004921774145224,0.7581412816806629,,,,,,,,,,,,,,,,,,
ppg19_1,1.5054139053590614,7.71241443920563,2.2535791852337224,0.0,3.3763871542458546,0.2763356630446583,1.575096435224573,1.0109618539662093,,-0.0094186649362315,,1.9574408223141029,-1.4817533103758778,-0.5266931217112302,,,,,,,,,,,,,,,
ppg20_0,1.061966757858748,6.907297011099269,0.5055814715061753,0.4975603835313222,6.313641300400959,2.351286039006606,1.482809721191273,0.6115499896565773,,,,,,,,,,,,,,,,,,,,,
ppg20_1,-5.625116520297574,6.033824788587951,3.917583476748618,3.457694699288836,4.62216346141723,4.01795914426386,1.2218586264686828,0.2314256175034494,,,,,3.917583476748603,,0.4285088640827534,1.0460150468383724,,,,,,,,,,,,,
ppg22_0,-2.219958707023229,0.4113847971610135,0.7217341306131719,0.2434999955645851,1.7114449522402763e-14,0.0,6.655505595718836e-19,0.7217341306131715,,,,,,,0.1201113066626981,,2.277402562935387,0.0310894580929051,,,,,,,,,,,
ppg22_1,0.1819414097739324,2.1703334496372584,1.756915170648344,0.0,-0.1044595576800286,0.1069137447380773,0.6689712725303478,0.6864706790350008,,,,,-0.8204247448124518,,0.0816781322873179,,,,-0.4629905955024745,-0.5164192745364599,,,,,,,,,
ppg3_0,2.127590156122467,16.08227412122312,-0.784433481836798,-0.3580294879863446,14.93358681899538,12.91237558539342,5.32098111690846,3.5618001889151936,,,,,,,,,,,,,-2.0095134680627247,1.888536571132768,,,,,,,
ppg3_1,2.127590156122467,16.08227412122312,-0.784433481836798,-0.3580294879863446,14.93358681899538,12.91237558539342,5.32098111690846,3.5618001889151936,,,,,,,,,,,,,-2.0095134680627247,1.888536571132768,,,,,,,
ppg5_0,0.8519258428032437,16.25376504879785,5.953189859152067,5.235899380753031,1.33036429245666e-13,0.0,7.027790844116975e-15,-6.953588766092844,,-0.0268656278576225,1.8219504487085103,,,,,,,,,,,,3.335621392860789,2.6175684662912744,,,,,
ppg5_1,-2.0315728357673413,24.362584923150315,7.378339706242117,0.0,5.04901073590311,1.6253827705486938,3.3891046015301733,1.5955342849315235,,,,,,,,,,,,,,,,,-1.4743183286283372,2.704068805661226,,,
ppg6_0,5.368911406881702,27.44073637593575,14.784487952950728,8.302103671726435,26.606086838377664,10.632736248209412,-1.3595793256219268,-4.033443768123009,,,0.712840768606605,,,-0.4202875102782686,,,,,,,,,,,,,,,
ppg6_1,0.2701735636872318,21.74937171917933,16.26590617514074,11.249146724229458,35.065555335994524,36.38164452007206,-0.6287117445575561,12.20885119046956,,,,,,,,,,,,,-2.3381178352578305,,,,,,49.61106437796705,16.26590617514073,2.1244626671590225
