PPG,Year,Month,Seasonal_index,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 0_Promo.Group 22_Wtd.Selling.Dist,Retailer 0_Promo.Group 22_promo_ins,Retailer 1_Promo.Group 3_promo_ins,Vol.Sales_pred
ppg19_0,2018,8,13.439027706386485,54.88553802821242,26.92248,-45.218856618186095,0.0,0.0,0.0,0.0,0.0,0.0,2.8082952510761765,-0.3073339347257616,0.658301270620093,0.1961927075342926,26.461164410917615
ppg19_0,2018,9,14.154981860721694,68.60692253526553,30.11216,-56.48030189997982,0.0,0.0,0.0,0.0,0.0,0.0,3.5103690638452205,-4.306856500238566,3.2915063531004654,0.3923854150685852,29.169006827783104
ppg19_0,2018,10,10.087365840680134,54.88553802821242,20.97628,-45.184241519983864,0.0,0.0,0.0,0.0,0.0,0.0,2.8082952510761765,-4.136463876564077,2.633205082480372,0.1961927075342926,21.28989151343546
ppg19_0,2018,11,9.397205634324234,54.88553802821242,20.7818,-45.08039622537716,0.0,0.0,0.0,0.0,0.0,0.0,2.8082952510761765,-4.134373169525128,2.633205082480372,0.1961927075342926,20.705667308725218
ppg19_0,2018,12,19.127358298340617,68.60692253526553,42.91352,-56.39953333750794,0.0,0.0,0.0,0.0,0.0,0.0,3.5103690638452205,-5.0626470948192654,3.2915063531004654,0.5885781226028778,33.6625539408275
ppg19_0,2019,1,6.731394690494016,54.88553802821242,12.37912,-45.08039622537716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9911597373570005,0.0,0.1961927075342926,12.741569463506572
ppg19_0,2019,2,6.462605836598856,54.88553802821242,11.39788,-45.103472957511975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.967116606409067,0.0,0.0,12.277554300890232
ppg19_0,2019,3,11.766422063742693,68.60692253526553,17.74188,-56.39953333750794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.95288497527435,0.0,0.1961927075342926,19.217118993760216
ppg19_0,2019,4,12.623888169925696,54.88553802821242,18.76992,-45.253471716388326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.958753778253264,0.0,0.1961927075342926,18.493393411030816
ppg19_0,2019,5,17.408520745252122,54.88553802821242,25.42904,-45.27654844852315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9692073134480177,0.0,0.1961927075342926,23.244495719027668
ppg19_0,2019,6,24.88056557659098,68.60692253526553,35.58412,-56.572608828519115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.970655985105432,0.0,0.1961927075342926,32.140416005766255
ppg19_0,2019,7,15.01251312396748,54.88553802821242,20.39804,-45.34577864492762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9901143838375255,0.0,0.1961927075342926,20.75835083094905
ppg19_0,2019,8,13.439027706386485,54.88553802821242,21.78852,-45.368855377062445,0.0,0.0,0.0,0.0,0.1916999226754619,0.191699922675462,0.0,-3.9995225655128035,0.0,0.3923854150685852,19.73197305244317
ppg19_0,2019,9,14.154981860721694,68.60692253526553,21.0834,-56.69953085526065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.994699116053365,0.0,0.0,21.067674424673218
ppg19_0,2019,10,10.087365840680134,54.88553802821242,14.97392,-45.35731701099503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.022520342941262,0.0,0.0,15.593066514956261
ppg19_0,2019,11,9.397205634324234,54.88553802821242,13.065,-45.34577864492762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.030883171097066,0.0,0.3923854150685852,15.298467261580551
ppg19_0,2019,12,19.127358298340617,68.60692253526553,26.15548,-56.71106922132806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.015606186442874,0.0,0.5885781226028778,26.59618354843809
ppg19_0,2020,1,6.731394690494016,54.88553802821242,8.1614,-45.415008841332096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.998477211993328,0.0,0.1961927075342926,12.399639372915306
ppg19_0,2020,2,6.462605836598856,54.88553802821242,8.359,-45.40347047526468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.993250444395951,0.0,0.3923854150685852,12.34380836021923
ppg19_0,2020,3,11.766422063742693,68.60692253526553,18.45532,-56.86106798020441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.987381641417038,0.0,0.1961927075342926,18.721087684921066
ppg19_0,2020,4,12.623888169925696,54.88553802821242,20.085,-46.038080608972315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2203308753657067,0.0,0.1961927075342926,19.447207421334387
ppg19_0,2020,5,20.563689254199023,68.60692253526553,33.23268,-57.61106177458616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16830191663553612,0.0,0.3923854150685852,31.78363351331144
ppg19_0,2020,6,21.725397067644074,54.88553802821242,36.05524,-46.10731080537679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0355420196621629,0.0,0.3923854150685852,30.86046768588613
ppg19_0,2020,7,15.01251312396748,54.88553802821242,25.9532,-46.10731080537679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1961927075342926,23.986933054337406
ppg19_0,2020,8,17.402671770003245,68.60692253526553,26.41028,-57.63413850672099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020907070389506,0.0,0.1961927075342926,28.569557799043125
