PPG,Year,Month,Seasonal_index,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 0_Promo.Group 22_Wtd.Selling.Dist,Retailer 0_Promo.Group 20_display_silver,Retailer 1_Promo.Group 3_display_bronze,Retailer 1_Promo.Group 6_promo_catalogue,Vol.Sales_pred
ppg19_1,2018,8,18.362967773789197,39.16992144510638,34.46924,-15.233831413135748,0.0188969319180472,0.0,0.1869581220533376,0.0,0.4324608733787666,1.868186969514744,0.0,-0.6690506726420669,0.0,0.0,-1.6815705912524168,42.45493943873024
ppg19_1,2018,9,21.577041810229446,48.96240180638298,37.258520000000004,-19.043247369024286,0.023621164897559,0.0,0.1869581220533376,0.0,0.0,1.868186969514744,0.0,-9.375812147228963,0.0,0.0,-3.3631411825048336,40.836009174319976
ppg19_1,2018,10,13.570847832717442,39.16992144510638,17.00712,-15.237663823554147,0.0188969319180472,0.0,0.0,0.0,0.0,0.0,0.0,-9.004875889947817,0.0,-0.1585034931506554,-5.044711773757251,23.313911229332003
ppg19_1,2018,11,12.742449659122853,39.16992144510638,24.14152,-15.22999900271735,0.0188969319180472,0.0,0.0,0.0,0.4324608733787666,0.0,0.0,-9.000324524827803,0.0,0.0,-1.6815705912524168,26.451834790728476
ppg19_1,2018,12,27.361245645690865,48.96240180638298,46.16872,-19.050912189861084,0.023621164897559,0.0,0.0,0.0,0.0,0.0,0.0,-11.021130638114046,0.0,-0.1585034931506554,-3.3631411825048336,42.753581113340786
ppg19_1,2019,1,10.393711754433703,39.16992144510638,21.51604,-15.26065828606454,0.0188969319180472,0.0,0.5608743661600127,0.2635978640955007,0.0,0.0,0.0,-8.68855601410684,0.0,0.0,-1.6815705912524168,24.776217470289843
ppg19_1,2019,2,8.653879944615527,39.16992144510638,16.60152,-15.272155517319735,0.0188969319180472,0.0,0.0,0.0,0.0,0.0,0.0,-8.636215315226679,0.0,-0.1585034931506554,-3.3631411825048336,20.412682813438053
ppg19_1,2019,3,15.369812630842734,48.96240180638298,24.83468,-19.066241831534676,0.023621164897559,0.0,0.0,0.0,0.2162304366893833,0.0,0.0,-10.782183969313309,0.5594403200596111,-0.1585034931506554,-1.6815705912524168,33.4430064736212
ppg19_1,2019,4,24.759715663296618,39.16992144510638,46.70846,-13.338704461237477,0.0165348154282913,0.0,0.0,0.0,0.4324608733787666,0.0,0.0,-8.618009854746624,0.5594403200596111,0.0,-1.6815705912524168,41.29978821003316
ppg19_1,2019,5,27.833503022315085,39.16992144510638,48.400040000000004,-15.233831413135748,0.0188969319180472,0.0,0.0,0.0,0.0,0.0,0.0,-8.640766680346692,0.0,0.0,-1.6815705912524168,41.46615271460466
ppg19_1,2019,6,35.2256715116517,48.96240180638298,66.15232,-19.035582548187485,0.023621164897559,0.0,0.1869581220533376,0.0,0.0,1.868186969514744,0.0,-10.820870572833428,0.5594403200596111,-0.3170069863013108,-3.3631411825048336,53.28967860473287
ppg19_1,2019,7,23.0498625482295,39.16992144510638,46.21966,-13.33487205081908,0.0165348154282913,0.0,0.0,0.0,0.4324608733787666,0.0,0.0,-8.686280331546833,0.0,-0.1585034931506554,-1.6815705912524168,38.80755321537396
ppg19_1,2019,8,18.362967773789197,39.16992144510638,38.3344,-15.237663823554147,0.0188969319180472,0.0,0.0,0.2635978640955007,0.2162304366893833,1.868186969514744,0.0,-8.706761474586898,0.0,-0.3170069863013108,-1.6815705912524168,33.95679854541848
ppg19_1,2019,9,21.577041810229446,48.96240180638298,31.17608,-19.070074241953076,0.023621164897559,0.0,0.0,0.0,0.0,0.0,0.0,-10.87321127171359,0.0,0.0,-3.3631411825048336,37.25663808533848
ppg19_1,2019,10,13.570847832717442,39.16992144510638,29.86672,-15.283652748574932,0.0188969319180472,1.1330288317822157,0.0,0.0,0.0,1.868186969514744,0.0,-8.756826490907052,0.0,0.0,-3.3631411825048336,28.357261589052015
ppg19_1,2019,11,12.742449659122853,39.16992144510638,18.58948,-15.283652748574932,0.0188969319180472,0.0,0.0,0.0,0.0,0.0,0.0,-8.775031951387108,0.0,-0.1585034931506554,-1.6815705912524168,26.03250925178217
ppg19_1,2019,12,27.361245645690865,48.96240180638298,46.47448,-19.104565935718664,0.023621164897559,1.1330288317822157,0.0,0.0,0.0,1.868186969514744,0.0,-10.91872492291373,0.0,-0.1585034931506554,0.0,49.16669006648531
ppg19_1,2020,1,10.393711754433703,39.16992144510638,18.76264,-15.283652748574932,0.0188969319180472,0.0,0.1869581220533376,0.0,0.0,0.0,0.0,-8.70448579202689,0.5594403200596111,0.0,-1.6815705912524168,24.659219441716836
ppg19_1,2020,2,8.653879944615527,39.16992144510638,17.12152,-15.283652748574932,0.0188969319180472,0.0,0.0,0.0,0.2162304366893833,0.0,0.0,-8.693107379226856,0.0,-0.3170069863013108,0.0,23.76516164422624
ppg19_1,2020,3,15.369812630842734,48.96240180638298,35.720879999999994,-19.104565935718664,0.023621164897559,0.0,0.0,0.0,0.4324608733787666,0.0,0.0,-10.85728149379354,0.0,0.0,-3.3631411825048336,31.463307863484992
ppg19_1,2020,4,24.759715663296618,39.16992144510638,49.88932,-15.279820338156533,0.0188969319180472,0.0,0.3739162441066752,0.0,0.0,0.0,0.0,-4.833549757454931,0.0,0.0,-1.6815705912524168,42.52750959756384
