PPG,Year,Month,Seasonal_index,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 0_Promo.Group 20_display_bronze,Retailer 0_Promo.Group 20_promo_ins,Retailer 0_Promo.Group 3_Weighted_Price,Retailer 0_Promo.Group 3_display_bronze,Retailer 0_Promo.Group 5_promo_catalogue,Retailer 0_Promo.Group 6_Weighted_Price,Retailer 0_Promo.Group 6_Wtd.Selling.Dist,Retailer 1_Promo.Group 19_Weighted_Price,Retailer 1_Promo.Group 19_display_silver,Retailer 1_Promo.Group 20_Weighted_Price,Retailer 1_Promo.Group 20_Wtd.Selling.Dist,Retailer 1_Promo.Group 6_Weighted_Price,Retailer 1_Promo.Group 6_Wtd.Selling.Dist,Vol.Sales_pred
ppg22_0,2018,8,0.1423242568746421,8.050943184578196,0.33956,1.0063732605614024,0.0,0.0,0.0,0.0,0.0,0.0,0.0234587848061148,0.0,0.0265570875445439,-0.0002783761872302,-0.0308427797456308,0.0,7.51089663277714e-05,-5.7751583965626505,-0.0216340875766306,0.0,0.0008027230818502,-4.377689737469786,-9.000721391574282e-05,1.2106323013734492,0.25547332303068426
ppg22_0,2018,9,0.6137380122901571,20.12735796144549,11.2346,14.102917801064551,0.0,0.0,0.0,0.0,0.0,0.0,0.117293924030574,0.0,0.0265570875445439,-0.0007357084948227,-0.0308427797456308,0.0,0.00019355002861387246,-18.180730240326568,-0.0540852189415765,0.0,0.0017659907800705,-9.615992817655364,-0.00022501803478935706,3.5073146849267998,10.614527228912047
ppg22_0,2018,10,0.8520900553029138,16.101886369156393,13.041599999999999,13.544962557964183,0.0,0.0,0.0,0.0,0.0,0.0,0.0938351392244592,0.0,0.0531141750890878,-0.0006164044145812,0.0,0.0,0.00015888435184720874,-15.010720920477315,-0.0432681751532612,0.0,0.0012843569309604,-7.148419294840795,-0.00018001442783148564,2.7700503426934944,11.214177071399554
ppg22_0,2018,11,0.6644197698424041,16.101886369156393,9.91224,13.538116481361723,0.0,0.0,0.0,0.0,0.0,0.0,0.0938351392244592,-0.0295772352343251,0.0531141750890878,-0.0006362884279548,-0.0308427797456308,0.0,0.00015888435184720874,-14.961667888394162,-0.0432681751532612,0.0,0.0012843569309604,-7.068199544158168,-0.00018001442783148564,2.645857269209163,10.964300519624704
ppg22_0,2018,12,0.8041199416656677,20.12735796144549,14.05248,16.577774492853308,0.0,0.0,0.0,0.0,0.0,0.0,0.117293924030574,0.0,0.0,-0.0007953605349435,0.0,0.0,0.00019932764140831642,-18.76570051147554,-0.0540852189415765,0.0,0.0017659907800705,-9.70052671190668,-0.00023886529846870214,3.443879657997987,12.551044628257298
ppg22_0,2019,1,0.7625120798335356,16.101886369156393,8.06676,13.069160234093314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006164044145812,0.0,0.0,0.00016177315824443073,-15.202881028240125,-0.0432681751532612,0.0022459520817739,0.0011773271867136,-7.779139311351289,-0.00019039987559099446,2.7185377139767306,9.629586130451857
ppg22_0,2019,2,0.7657588088150359,16.101886369156393,8.46196,12.990430353165042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0295772352343251,0.0265570875445439,-0.0006628004457862,-0.0616855594912616,0.0,0.00016177315824443073,-15.188773993663759,-0.0432681751532612,0.0,0.0012308420588370002,-8.539905493454842,-0.0001869380596711582,2.6647201452899902,8.686685183685176
ppg22_0,2019,3,0.9866232357718364,20.12735796144549,12.14824,16.218355471224235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008285005572327,0.0,0.0,0.00019643883501109445,-18.423594203367635,-0.0540852189415765,0.0,0.0014984164194537,-10.387136264018736,-0.0002423271143885384,3.449567172209617,11.917712181906076
ppg22_0,2019,4,0.2417464082278643,16.101886369156393,10.35736,12.963046046755206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006628004457862,0.0,0.0,0.00016177315824443073,-14.687524041695172,-0.0378596532591035,0.0,0.0012308420588370002,-7.331789829589162,-0.00019386169151083073,2.6154183773607547,9.865459630036565
ppg22_0,2019,5,0.2319326114366465,16.101886369156393,10.393239999999999,12.997276429767501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0591544704686502,0.0,-0.0006164044145812,-0.0616855594912616,0.0,0.00016177315824443073,-14.191976933491492,-0.0432681751532612,0.0,0.0012843569309604,-7.158679960625781,-0.00019386169151083073,2.5780005207052934,10.394966695818498
ppg22_0,2019,6,0.5935594384927192,20.12735796144549,16.38,16.276547122345132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0295772352343251,0.0,-0.0007202431510877,-0.0308427797456308,0.0132921739534815,0.00019932764140831642,-17.368225078662515,-0.0540852189415765,0.0,0.0016054461637005002,-8.880606236906345,-0.00025040468486815635,3.320475566748277,13.96872983946386
ppg22_0,2019,7,0.5457858318836989,16.101886369156393,12.30788,13.065737195792085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004948909995204,0.0,0.0,0.00016177315824443073,-13.728545840174426,-0.0378596532591035,0.0,0.0011391022780541,-6.2889663845649695,-0.00020597804723025763,2.7349060662805273,12.393543591503752
ppg22_0,2019,8,0.38146373316296367,16.101886369156393,13.87724,13.09654454050315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0295772352343251,0.0265570875445439,-0.0004499009086548,-0.0308427797456308,0.0132921739534815,0.00015349191323906102,-11.823508736579317,-0.0432681751532612,0.0022459520817739,0.0009173978078288,-5.580403005335037,-0.00020597804723025763,2.741062550962239,14.855867486082156
ppg22_0,2019,9,0.6137380122901571,20.12735796144549,16.004559999999998,16.355277003273404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005061385222365,0.0,0.0,0.00018276515139757703,-15.339236165587586,-0.0540852189415765,0.0,0.0012327533042698,-9.813233018600107,-0.00026252104058758325,3.4510090069527406,15.341474439725369
ppg22_0,2019,10,0.8520900553029138,16.101886369156393,21.448439999999998,13.171851383130193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00038803953371476657,0.0,0.0,0.0001502179326555428,-12.164873246212537,-0.0432681751532612,0.0,0.0009269540349935999,-6.02314407118724,-0.00021001683247006658,2.5740042936144905,14.469025724252417
ppg22_0,2019,11,0.6644197698424041,16.101886369156393,17.05912,13.199235689540028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0265570875445439,-0.000415033588234,0.0,0.0,0.0001452106682336913,-11.730661008806772,-0.0432681751532612,0.0,0.0010702974424668,-6.400867606551241,-0.00021478994229893176,2.587264728463408,14.40515253861567
