PPG,Year,Month,Seasonal_index,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 0_Promo.Group 22_promo_ins,Retailer 1_Promo.Group 3_display_bronze,Vol.Sales_pred
ppg6_0,2018,8,72.22858325004171,59.5407415708608,98.9383,-24.770692831968194,-0.021796696143823797,0.0,0.0,-1.6683421175589344,0.0,12.637295312338438,0.0,1.1384816492334269,0.0,119.08427013680341
ppg6_0,2018,9,158.9680286972154,74.425926963576,266.42692,-35.27423000065369,-0.024714100089227798,12.54060811178541,0.0,-1.6683421175589344,0.0,25.274590624676875,0.0,5.692408246167134,0.0,239.93427642511898
ppg6_0,2018,10,111.97060984825342,59.5407415708608,173.86798,-29.123781895739185,-0.020287694103097498,0.0,0.0,0.0,-3.3770426693899407,37.91188593701531,0.0,4.5539265969337075,0.0022619859092986,181.45831367974031
ppg6_0,2018,11,127.8433151074395,59.5407415708608,175.28986,-29.02860926443901,-0.020287694103097498,0.0,4.111278507654205,0.0,0.0,25.274590624676875,0.0,4.5539265969337075,0.0,192.27495544902297
ppg6_0,2018,12,98.57181111592047,74.425926963576,158.25822,-36.40918858676618,-0.0254518344202496,0.0,0.0,-1.6683421175589344,0.0,12.637295312338438,2.9511874002300615,5.692408246167134,0.0022619859092986,156.17790848539605
ppg6_0,2019,1,122.1807607132369,59.5407415708608,179.06472,-29.49661069571449,-0.0206565612686084,12.54060811178541,0.0,-1.6683421175589344,0.0,25.274590624676875,0.0,0.0,0.0,188.35109164601795
ppg6_0,2019,2,118.9706114268867,59.5407415708608,168.70294,-29.469240244929733,-0.0206565612686084,12.54060811178541,0.0,-1.6683421175589344,-1.6885213346949703,25.274590624676875,1.4755937001150308,0.0,0.0022619859092986,184.95764716178184
ppg6_0,2019,3,130.7093213705784,74.425926963576,180.5006,-35.745434357021004,-0.0250829672547387,0.0,0.0,-3.3366842351178687,-1.6885213346949703,37.91188593701531,0.0,0.0,0.0022619859092986,202.25367336299044
ppg6_0,2019,4,120.41055472335711,59.5407415708608,194.1307,-28.496715717045916,-0.0206565612686084,12.54060811178541,0.0,0.0,-1.6885213346949703,12.637295312338438,1.4755937001150308,0.0,0.0,176.3988998054473
ppg6_0,2019,5,75.64454608493284,59.5407415708608,126.11796000000001,-27.53525583947934,-0.0206565612686084,0.0,0.0,-3.3366842351178687,0.0,25.274590624676875,0.0,0.0,0.0,129.56728164460472
ppg6_0,2019,6,126.14989156823154,74.425926963576,212.85863999999998,-33.69780850545519,-0.0254518344202496,12.54060811178541,0.0,0.0,0.0,12.637295312338438,0.0,0.0,0.0045239718185972,192.03498558787456
ppg6_0,2019,7,154.6501427832508,59.5407415708608,249.6535,-26.636107413699335,-0.0206565612686084,0.0,8.22255701530841,0.0,-1.6885213346949703,37.91188593701531,0.0,0.0,0.0022619859092986,231.9823039826817
