PPG,Year,Month,Seasonal_index,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 1_Promo.Group 6_promo_catalogue,Retailer 1_Promo.Group 20_promo_ins,Retailer 1_Promo.Group 5_Wtd.Selling.Dist,Retailer 1_Promo.Group 5_promo_catalogue,Retailer 1_Promo.Group 6_display_silver,Vol.Sales_pred
ppg22_1,2018,9,2.0179939651695493,-4.102320149010252,9.13796,6.942342503309973,0.0,0.0,0.0392161185905557,0.0,0.0,0.0,0.0,-1.283429266456146,-0.3863087620229924,5.084315628829943,0.602585396763001,-0.018487396629767,8.895908038543865
ppg22_1,2018,10,2.2901899671358406,-4.102320149010252,13.26,11.412226670733789,0.0,0.0,0.0,0.0,0.4472547850237148,0.0,0.0,-1.925143899684219,-0.3863087620229924,4.926094411033876,0.0,0.0,12.661993023209757
ppg22_1,2018,11,2.173317306589765,-4.102320149010252,13.604239999999999,11.423673237103632,0.0,0.0,0.0,0.0,0.2236273925118574,0.0,0.0,-0.641714633228073,-0.3863087620229924,5.101661602502257,0.0,0.0,13.791935994446195
ppg22_1,2018,12,3.2430656173271037,-5.127900186262815,18.419439999999998,14.27386826319462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.283429266456146,-1.1589262860689773,7.6712433472558565,0.0,0.0,17.61792148898964
ppg22_1,2019,1,2.2153307494679764,-4.102320149010252,13.572519999999999,11.417949953918711,0.0,0.0,0.0392161185905557,-0.0110988993173912,0.0,0.0,0.0,-0.641714633228073,-0.3863087620229924,5.334778519705887,0.0,0.0,13.86583289810442
ppg22_1,2019,2,1.8767498460790313,-4.102320149010252,12.39472,11.423673237103632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.283429266456146,0.0,4.804996819134633,0.0,-0.018487396629767,12.70118309022113
ppg22_1,2019,3,2.381051164745836,-5.127900186262815,15.019680000000001,14.265283338417238,0.0,0.0,0.0,0.0,0.4472547850237148,0.0,0.0,-0.641714633228073,-0.3863087620229924,5.026441679287734,0.0,0.0,15.964107385960641
ppg22_1,2019,4,1.92836719789049,-4.102320149010252,12.34272,11.423673237103632,0.0,0.0,0.0,0.0,0.4472547850237148,0.0,0.0,-0.641714633228073,-0.3863087620229924,3.9552062210946954,0.0,0.0,12.624157896851216
ppg22_1,2019,5,1.7897494901253543,-4.102320149010252,10.78948,11.417949953918711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.641714633228073,-0.3863087620229924,4.235497702210883,0.0,0.0,12.31285360199363
ppg22_1,2019,6,2.550606655294625,-5.127900186262815,17.66232,14.279591546379539,0.0,0.0,0.0784322371811114,0.0,0.4472547850237148,0.4955820715118447,0.0,-1.283429266456146,-0.3863087620229924,5.132868143922076,0.602585396763001,0.0,16.78928262133396
ppg22_1,2019,7,2.0972856914213325,-4.102320149010252,12.91628,11.423673237103632,0.0,0.0,0.0,0.0,0.4472547850237148,0.0,0.0,-0.641714633228073,-0.3863087620229924,4.6261873895966605,0.0,-0.018487396629767,13.445570162254256
ppg22_1,2019,8,1.972121682774076,-4.102320149010252,14.18924,11.423673237103632,0.0,0.0,0.0,-0.0055494496586956,0.0,0.4955820715118447,0.0,-0.641714633228073,-0.7726175240459848,4.621513163046333,0.602585396763001,0.0,13.59327379525588
ppg22_1,2019,9,2.563909529131478,-5.127900186262815,15.64056,14.279591546379539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.283429266456146,-0.3863087620229924,7.2921986982700275,0.0,0.0,17.33806155903909
ppg22_1,2019,10,2.2901899671358406,-4.102320149010252,15.9016,11.423673237103632,0.0,0.2470983861591417,0.0392161185905557,0.0,0.0,0.4955820715118447,0.0,-1.283429266456146,0.0,6.480153155090251,0.602585396763001,0.0,16.19274891688787
ppg22_1,2019,11,2.173317306589765,-4.102320149010252,14.002559999999999,11.423673237103632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.641714633228073,-0.7726175240459848,5.808874781431907,0.0,0.0,13.889213018840994
ppg22_1,2019,12,3.2430656173271037,-5.127900186262815,22.89872,14.27672990478708,0.0,0.2470983861591417,0.0,0.0,0.0,0.4955820715118447,0.0,0.0,-1.1589262860689773,7.737276929273204,0.602585396763001,0.0,20.315511833489584
ppg22_1,2020,1,2.2153307494679764,-4.102320149010252,15.37952,11.423673237103632,0.0,0.0,0.0392161185905557,0.0,0.0,0.0,0.0,-0.641714633228073,-0.3863087620229924,6.111618761180015,0.0,0.0,14.659495322080861
ppg22_1,2020,2,1.8767498460790313,-4.102320149010252,12.13784,11.417949953918711,0.0,0.0,0.0,0.0,0.2236273925118574,0.0,0.0,0.0,-0.7726175240459848,5.080587055049913,0.0,0.0,13.723976574503274
ppg22_1,2020,3,2.381051164745836,-5.127900186262815,16.10076,14.256698413639857,0.0,0.0,0.0,0.0,0.4472547850237148,0.0,0.0,-1.283429266456146,-0.7726175240459848,6.497580184714306,0.0,0.0,16.398637571358766
ppg22_1,2020,4,1.92836719789049,-4.102320149010252,12.8622,10.971533865494822,0.0,0.0,0.0784322371811114,0.0,0.0,0.0,0.0,-0.641714633228073,-0.3863087620229924,5.613529937739018,0.0,0.0,13.461519694044124
ppg22_1,2020,5,2.2393408003382853,-5.127900186262815,15.41228,12.605531214789956,0.0,0.2470983861591417,0.0,0.0,0.0,0.4955820715118447,0.0,-1.925143899684219,-0.3863087620229924,7.172506076200941,0.602585396763001,-0.018487396629767,15.904803701163377
