PPG,Year,Month,Seasonal_index,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 0_Promo.Group 22_Wtd.Selling.Dist,Retailer 0_Promo.Group 22_promo_ins,Retailer 0_Promo.Group 20_display_silver,Retailer 0_Promo.Group 19_display_bronze,Retailer 0_Promo.Group 22_display_bronze,Vol.Sales_pred
ppg5_0,2018,8,18.673168108226918,34.75391017864226,96.3878,16.334065873667047,-0.4795934010114068,0.0,0.0,0.0,0.0,0.0,12.655809957664536,-0.7807827143957496,2.856072549168469,0.0,0.0,0.0,84.01265055196207
ppg5_0,2018,9,21.714021356573642,43.44238772330282,108.09748,20.388209383609045,-0.5994917512642585,0.0,0.0,0.0,0.0,0.0,15.81976244708067,-10.941580895613907,14.280362745842346,0.0,0.0,0.0,104.10367100953036
ppg5_0,2018,10,17.06448590244115,34.75391017864226,77.59408,16.798721317922226,-0.4955798477117871,0.0,0.0,0.0,0.0,0.0,12.655809957664536,-10.508697962122385,11.424290196673876,0.0,0.0,0.0,81.69293974350987
ppg5_0,2018,11,15.608323183021987,34.75391017864226,76.465,15.165359746583833,-0.3836747208091256,0.0,0.0,0.0,0.0,0.0,12.655809957664536,-10.50338651508568,11.424290196673876,0.0,0.0,0.0,78.72063202669169
ppg5_0,2018,12,24.94465685281908,43.44238772330282,136.5352,20.87114133535963,-0.5035730710619774,0.0,0.0,0.0,0.0,0.0,15.81976244708067,-12.861668999383046,14.280362745842346,0.0,0.0,0.0,105.99306903395953
ppg5_0,2019,1,14.815705812399411,34.75391017864226,61.07808,16.945563602281883,-0.43163406091026624,0.0,0.0,0.0,0.0,0.0,0.0,-10.139552393071334,0.0,0.0,0.0,0.0,55.943993139341956
ppg5_0,2019,2,15.287059067308919,34.75391017864226,64.55892,14.725643182014508,-0.43163406091026624,0.0,0.0,0.0,0.0,0.0,0.0,-10.078470752149217,0.0,0.0,0.0,0.0,54.2565076149062
ppg5_0,2019,3,21.710493279450038,43.44238772330282,85.91476,21.836104918294524,-0.6554443147155894,0.0,0.0,0.0,0.0,0.0,0.0,-12.582818029955991,0.0,-0.6190304427968397,0.0,0.0,73.13169313357896
ppg5_0,2019,4,16.392751912110256,34.75391017864226,45.31644,12.349877271724713,-0.4955798477117871,0.0,0.0,0.0,0.0,0.0,0.0,-10.057224964002394,0.0,-0.6190304427968397,0.0,0.0,52.324704107966205
ppg5_0,2019,5,18.95978915823575,34.75391017864226,42.68052,13.794261556201718,-0.5994917512642586,0.0,0.0,0.0,0.0,0.0,0.0,-10.083782199185922,0.0,0.0,0.0,0.0,56.82468694262954
ppg5_0,2019,6,21.661357485681897,43.44238772330282,71.84896,17.304161283829718,-0.7593562182680609,0.0,0.0,0.0,0.6309388994564064,0.8707227573581263,3.163952489416134,-12.627965329767992,0.0,-0.6190304427968397,0.0,0.5477150286738136,73.61488367688602
