PPG,Year,Month,Seasonal_index,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 1_Promo.Group 19_display_silver,Retailer 1_Promo.Group 20_display_platinum,Vol.Sales_pred
ppg3_1,2018,8,63.99518567478529,-6.66672612759254,87.26711999999999,18.393864779948633,-0.5248777779422212,9.418157609266714,1.5162620746348503,0.0,0.0,10.942066720000716,1.5717167696267795,0.0,1.3817582684005452,100.02740799112877
ppg3_1,2018,9,48.48213008179182,-8.333407659490675,104.239895,28.067990584137878,-0.8006610171999986,0.0,1.5162620746348503,2.350831501691082,0.0,21.88413344000143,3.143433539253559,0.0,0.0,96.31071254481995
ppg3_1,2018,10,47.151446221039784,-6.66672612759254,95.184625,18.727649674668523,-0.5337740114666656,18.83631521853343,0.0,0.0,1.056431635908422,32.826200160002145,1.5717167696267795,0.0,4.145274805201636,117.11453434592153
ppg3_1,2018,11,26.032124572817008,-6.66672612759254,47.37362,24.957674804696744,-0.7116986819555544,9.418157609266714,0.0,0.0,0.0,10.942066720000716,1.5717167696267795,0.0,1.3817582684005452,66.92507393526041
ppg3_1,2018,12,38.25059648578753,-8.333407659490675,79.88782499999999,29.64767613185068,-0.8451421848222208,9.418157609266714,0.0,0.0,1.056431635908422,21.88413344000143,4.715150308880339,0.0,1.3817582684005452,97.17535403578279
ppg3_1,2019,1,12.497857662290492,-6.66672612759254,27.247844999999998,24.955587344442087,-0.7116986819555544,0.0,0.0,2.350831501691082,0.0,0.0,1.5717167696267795,1.2074646370604527,0.0,35.2050331055628
ppg3_1,2019,2,18.481652431638075,-6.66672612759254,38.63955,22.45689741961589,-0.6405288137599989,0.0,0.0,0.0,1.056431635908422,21.88413344000143,0.0,0.0,0.0,56.57185998581128
ppg3_1,2019,3,22.73662609171501,-8.333407659490675,51.235515,31.18039382383366,-0.889623352444443,0.0,0.0,0.0,1.056431635908422,10.942066720000716,1.5717167696267795,0.0,1.3817582684005452,59.64596229755002
ppg3_1,2019,4,33.24730763000501,-6.66672612759254,57.00415,23.399907589657857,-0.6672175143333322,0.0,1.5162620746348503,0.0,0.0,10.942066720000716,1.5717167696267795,0.0,0.0,63.343317141999336
ppg3_1,2019,5,54.235947169053624,-6.66672612759254,87.47048,21.84840275538295,-0.62273634671111,0.0,3.0325241492697006,0.0,0.0,10.942066720000716,1.5717167696267795,0.0,0.0,84.34119508903011
ppg3_1,2019,6,75.75138226295545,-8.333407659490675,214.00966499999998,25.24626618490328,-0.6405288137599987,18.83631521853343,0.0,0.0,2.112863271816844,32.826200160002145,1.5717167696267795,0.0,0.0,147.37080739458727
ppg3_1,2019,7,69.23953778877235,-6.66672612759254,109.39286999999999,21.745133114498913,-0.378725370040634,0.0,0.0,2.350831501691082,1.056431635908422,21.88413344000143,1.5717167696267795,0.0,0.0,110.80233275286581
ppg3_1,2019,8,63.99518567478529,-6.66672612759254,109.96285499999999,20.623063585898418,-0.40922674212444354,9.418157609266714,0.0,0.0,2.112863271816844,10.942066720000716,3.143433539253559,1.2074646370604527,1.3817582684005452,105.74804043676556
ppg3_1,2019,9,48.48213008179182,-8.333407659490675,109.9984,23.534444403070598,-0.49818907736888773,18.83631521853343,0.0,0.0,0.0,21.88413344000143,0.0,0.0,2.7635165368010903,106.6689429433388
ppg3_1,2019,10,47.151446221039784,-6.66672612759254,84.18278,20.16653602820461,-0.40922674212444354,9.418157609266714,0.0,0.0,0.0,21.88413344000143,0.0,0.0,1.3817582684005452,92.9260786971961
ppg3_1,2019,11,26.032124572817008,-6.66672612759254,51.802865,20.49927719279717,-0.4270192091733324,0.0,0.0,0.0,1.056431635908422,10.942066720000716,3.143433539253559,0.0,0.0,54.579588324011
ppg3_1,2019,12,38.25059648578753,-8.333407659490675,65.543525,25.284988572627192,-0.5337740114666655,0.0,0.0,0.0,1.056431635908422,0.0,4.715150308880339,0.0,0.0,60.43998533224615
ppg3_1,2020,1,12.497857662290492,-6.66672612759254,22.320014999999998,18.989834682653626,-0.40922674212444354,0.0,0.0,0.0,0.0,0.0,1.5717167696267795,0.0,1.3817582684005452,27.365214513254458
ppg3_1,2020,2,18.481652431638075,-6.66672612759254,34.763135,19.722741978064217,-0.4270192091733324,0.0,0.0,0.0,2.112863271816844,0.0,3.143433539253559,0.0,0.0,36.366945884006824
ppg3_1,2020,3,22.73662609171501,-8.333407659490675,38.837289999999996,23.293909340012377,-0.503272639382856,0.0,0.0,0.0,0.0,0.0,1.5717167696267795,0.0,1.3817582684005452,40.147330170881176
ppg3_1,2020,4,33.24730763000501,-6.66672612759254,75.817085,20.37580391873412,-0.4359154426977768,18.83631521853343,0.0,0.0,0.0,10.942066720000716,1.5717167696267795,0.0,1.3817582684005452,79.25232695501029
ppg3_1,2020,5,65.12308104819927,-8.333407659490675,148.620495,23.298770140319654,-0.49818907736888773,9.418157609266714,0.0,2.350831501691082,0.0,21.88413344000143,3.143433539253559,2.4149292741209054,1.3817582684005452,120.18349808439359
ppg3_1,2020,6,64.86424838380981,-6.66672612759254,64.323395,22.858733518637646,-0.4892928438444434,0.0,0.0,0.0,0.0,0.0,3.143433539253559,0.0,0.0,83.71039647026404
ppg3_1,2020,7,69.23953778877235,-6.66672612759254,167.79273,23.79203699849545,-0.4537079097466657,9.418157609266714,0.0,0.0,0.0,21.88413344000143,1.5717167696267795,0.0,0.0,118.78514856882353
