PPG,Year,Month,Seasonal_index,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 1_Promo.Group 6_promo_catalogue,Retailer 0_Promo.Group 6_promo_catalogue,Retailer 1_Promo.Group 3_display_silver,Vol.Sales_pred
ppg20_1,2018,8,22.64271670640481,4.174001611844068,37.012299999999996,8.62741823772243,-0.4649869173584592,3.6600571074675936,1.246023744726306,0.0,0.0,3.6664522403933866,1.908196995135005,3.666452240393387,0.8636925978257161,0.0,49.99002456455425
ppg20_1,2018,9,26.678196155391113,5.217502014805086,49.95400000000001,9.477978013630034,-0.511485609094305,0.0,1.246023744726306,-0.3034906529828359,0.0,7.332904480786773,3.81639399027001,7.332904480786774,1.7273851956514321,1.1570073116136097,63.17131912558399
ppg20_1,2018,10,28.603744706361272,4.174001611844068,76.316,7.045820664956532,-0.3719895338867672,10.98017132240278,0.0,0.0,0.0060769516043394,10.99935672118016,1.908196995135005,10.999356721180162,2.5910777934771483,0.0,76.9358139542547
ppg20_1,2018,11,15.941953290761363,4.174001611844068,39.99342,6.966752278816223,-0.3719895338867672,3.6600571074675936,0.0,0.0,0.0,3.6664522403933866,1.908196995135005,3.666452240393387,1.7273851956514321,0.0,41.33926142657569
ppg20_1,2018,12,17.999461304622447,5.217502014805086,46.5807,9.561298624024984,-0.511485609094305,3.6600571074675936,0.0,0.0,0.0060769516043394,7.332904480786773,5.724590985405015,7.332904480786774,0.8636925978257161,0.0,57.18700293823442
ppg20_1,2019,1,18.840178745363193,4.174001611844068,51.848659999999995,7.667488189319391,-0.3409904060628698,0.0,1.246023744726306,0.0,0.0,3.6664522403933866,1.908196995135005,3.666452240393387,1.7273851956514321,1.1570073116136097,43.7121958683769
ppg20_1,2019,2,11.929028157705014,4.174001611844068,30.715040000000002,8.417335374547307,-0.3564899699748185,0.0,0.0,-0.3034906529828359,0.0060769516043394,7.332904480786773,0.0,7.332904480786774,1.7273851956514321,0.0,40.25965562996805
ppg20_1,2019,3,29.20931910690386,5.217502014805086,44.64962,10.238053522065055,-0.4339877895345616,3.6600571074675936,0.0,0.0,0.0060769516043394,3.6664522403933866,1.908196995135005,3.666452240393387,2.5910777934771483,0.0,59.729200182710294
ppg20_1,2019,4,15.458589167098939,4.174001611844068,29.77852,7.226559349941987,-0.3564899699748185,0.0,1.246023744726306,0.0,0.0,3.6664522403933866,1.908196995135005,3.666452240393387,0.8636925978257161,0.0,37.853477977383974
ppg20_1,2019,5,23.00505021951497,4.174001611844068,33.17512,7.055934063183781,-0.3719895338867672,0.0,1.246023744726306,0.0,0.0,3.6664522403933866,1.908196995135005,3.666452240393387,1.7273851956514321,0.0,46.07750677695557
ppg20_1,2019,6,21.509160611380672,5.217502014805086,40.5383,8.753146165683912,-0.464986917358459,0.0,0.0,0.0,0.0182308548130182,7.332904480786773,1.908196995135005,7.332904480786774,0.8636925978257161,0.0,52.4707512838585
ppg20_1,2019,7,19.439195431846514,4.174001611844068,43.68276,6.198703165826494,-0.3299192889829065,0.0,0.0,-0.3034906529828359,0.0060769516043394,3.6664522403933866,1.908196995135005,3.666452240393387,2.5910777934771483,1.1570073116136097,42.17375380016821
ppg20_1,2019,8,22.64271670640481,4.174001611844068,45.62272,5.500309535865134,-0.2657068099191192,3.6600571074675936,0.0,0.0,0.0121539032086788,3.6664522403933866,3.81639399027001,3.666452240393387,0.8636925978257161,0.0,47.736523123753656
ppg20_1,2019,9,26.678196155391113,5.217502014805086,84.99654,9.672387298600158,-0.3570435258288165,7.320114214935187,0.0,0.0,0.0,7.332904480786773,1.908196995135005,7.332904480786774,1.7273851956514321,0.0,66.83254731026271
ppg20_1,2019,10,28.603744706361272,4.174001611844068,49.66982,5.9366961022292175,-0.2684745891891101,3.6600571074675936,0.0,0.0,0.0,7.332904480786773,0.0,7.332904480786774,0.8636925978257161,0.0,57.63552649811231
ppg20_1,2019,11,15.941953290761363,4.174001611844068,29.90724,6.308998310778861,-0.3099912782389724,0.0,0.0,0.0,0.0060769516043394,3.6664522403933866,3.81639399027001,3.666452240393387,1.7273851956514321,0.0,38.997722553457876
ppg20_1,2019,12,17.999461304622447,5.217502014805086,32.51886,7.538159278655785,-0.3808464275507376,0.0,0.0,0.0,0.0060769516043394,0.0,5.724590985405015,0.0,0.0,0.0,36.10494410754193
ppg20_1,2020,1,18.840178745363193,4.174001611844068,32.37804,5.56045360865597,-0.28784904407904577,3.6600571074675936,0.0,0.0,0.0,3.6664522403933866,1.908196995135005,3.666452240393387,0.8636925978257161,0.0,42.05163610299928
ppg20_1,2020,2,11.929028157705014,4.174001611844068,23.2518,5.50379650569042,-0.2692126636611078,0.0,0.0,0.0,0.0121539032086788,0.0,3.81639399027001,0.0,1.7273851956514321,0.0,26.89354670070852
ppg20_1,2020,3,29.20931910690386,5.217502014805086,96.70230000000001,8.630250317583146,-0.2872954882250479,3.6600571074675936,0.0,0.0,0.0121539032086788,7.332904480786773,3.81639399027001,7.332904480786774,2.5910777934771483,0.0,67.51526770706403
ppg20_1,2020,4,15.458589167098939,4.174001611844068,43.17698,7.823066512643712,-0.240796796489202,3.6600571074675936,0.0,0.0,0.0,3.6664522403933866,1.908196995135005,3.666452240393387,0.8636925978257161,0.0,40.979711676312604
