PPG,Year,Month,Seasonal_index,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 0_Promo.Group 20_promo_ins,Retailer 0_Promo.Group 3_promo_ins,Vol.Sales_pred
ppg5_1,2018,8,19.522896077194954,66.32467014460086,103.60794,4.476605025385155,-0.5364220525933068,0.0,1.2370423966533002,0.0,2.6081652500663086,3.8621305407823527,0.0,0.3783551860686447,1.789412892827271,99.66285546098554
ppg5_1,2018,9,24.778982308433285,82.90583768075108,119.839925,4.676196681833817,-0.648176646883579,0.0,1.2370423966533002,0.0,0.0,3.8621305407823527,0.0,0.3783551860686447,1.789412892827271,118.97978104046616
ppg5_1,2018,10,19.62623238903275,66.32467014460086,85.15614,3.4956724291097983,-0.5140711337352523,0.0,0.0,0.0,2.6081652500663086,0.0,0.0,0.7567103721372894,3.578825785654542,95.8762052368663
ppg5_1,2018,11,22.036564779770494,66.32467014460086,110.03724,3.6202590365644967,-0.4470183771610888,0.0,0.0,0.0,2.6081652500663086,0.0,0.0,0.7567103721372894,3.578825785654542,98.4781769916329
ppg5_1,2018,12,36.013564845701204,82.90583768075108,169.63242,5.443694665276656,-0.648176646883579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.71492054484536
ppg5_1,2019,1,20.646638772092057,66.32467014460086,97.1892,3.785684282658546,-0.4693692960191433,0.0,2.4740847933066004,0.8397127006541032,0.0,0.0,0.0,0.0,0.0,93.60142139729302
ppg5_1,2019,2,18.598159187204686,66.32467014460086,85.53168000000001,3.4097387303391065,-0.5364220525933068,0.0,0.0,0.0,0.0,0.0,0.0,0.3783551860686447,1.789412892827271,89.96391408844727
ppg5_1,2019,3,23.143126067784415,82.90583768075108,101.41857999999999,3.5668812102865832,-0.6705275657416334,0.0,0.0,0.0,2.6081652500663086,0.0,0.0,0.0,0.0,111.55348264314674
ppg5_1,2019,4,18.541747605926112,66.32467014460086,86.41108,2.8067073395011306,-0.5364220525933068,0.0,0.0,0.0,2.6081652500663086,0.0,0.0,0.0,0.0,89.7448682875011
ppg5_1,2019,5,18.871265839456356,66.32467014460086,89.227745,3.0056087654375787,-0.5811238903094157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.62042085918537
ppg5_1,2019,6,26.136600180864775,82.90583768075108,132.39939999999999,3.6424039321647084,-0.7040539440287152,0.0,2.4740847933066004,0.0,2.6081652500663086,3.8621305407823527,0.0,0.0,0.0,120.9251684339071
ppg5_1,2019,7,19.37479897609759,66.32467014460086,86.25792,3.28285135451036,-0.6370011874545519,0.0,0.0,0.0,2.6081652500663086,0.0,0.0,0.0,0.0,90.95348453782056
ppg5_1,2019,8,19.522896077194954,66.32467014460086,98.57618000000001,3.2795344134377746,-0.6370011874545518,0.0,0.0,0.4198563503270516,0.0,3.8621305407823527,0.0,0.3783551860686447,1.789412892827271,94.93985441778436
ppg5_1,2019,9,24.778982308433285,82.90583768075108,106.3592,5.174715669280664,-1.0057913486124503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.85374430985257
ppg5_1,2019,10,19.62623238903275,66.32467014460086,111.99242000000001,4.598469056930563,-0.894036754322178,1.4711585803976843,1.2370423966533002,0.0,0.0,3.8621305407823527,0.0,0.0,0.0,96.22566635407534
ppg5_1,2019,11,22.036564779770494,66.32467014460086,112.2555,4.122114138153712,-0.6705275657416336,0.0,1.2370423966533002,0.0,0.0,0.0,0.0,0.3783551860686447,1.789412892827271,95.21763197233264
ppg5_1,2019,12,36.013564845701204,82.90583768075108,192.99364,5.490553647828099,-0.8046330788899603,1.4711585803976843,0.0,0.0,0.0,3.8621305407823527,0.0,0.0,1.789412892827271,130.72802510939772
ppg5_1,2020,1,20.646638772092057,66.32467014460086,83.96742,4.336948385080442,-0.6705275657416336,0.0,1.2370423966533002,0.0,0.0,0.0,0.0,0.0,0.0,91.87477213268502
ppg5_1,2020,2,18.598159187204686,66.32467014460086,77.25664,3.605304042133185,-0.6705275657416336,0.0,0.0,0.0,1.3040826250331543,0.0,0.0,0.0,0.0,89.16168843323024
ppg5_1,2020,3,23.143126067784415,82.90583768075108,100.16918,4.610835686941071,-0.8940367543221781,0.0,0.0,0.0,2.6081652500663086,0.0,0.0,0.0,0.0,112.37392793122069
ppg5_1,2020,4,18.541747605926112,66.32467014460086,76.10654,3.983492843617321,-0.7822821600319059,0.0,2.4740847933066004,0.0,0.0,0.0,0.0,0.0,0.0,90.541713227419
ppg5_1,2020,5,23.87044271148899,82.90583768075108,95.93688,5.089778970138726,-1.0057913486124503,1.4711585803976843,0.0,0.0,0.0,3.8621305407823527,0.0,0.0,1.789412892827271,117.98297002777365
ppg5_1,2020,6,21.13742330883214,66.32467014460086,79.2539,4.237536018251786,-0.8381594571770419,0.0,0.0,0.0,0.0,0.0,0.0,0.7567103721372894,3.578825785654542,95.19700617229958
ppg5_1,2020,7,19.37479897609759,66.32467014460086,82.77091999999999,4.521009855004281,-0.894036754322178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.32644222138055
ppg5_1,2020,8,24.396115848450258,82.90583768075108,92.80488,5.083931183854688,-1.0057913486124503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.38009336444358
ppg5_1,2020,9,19.90576253717798,66.32467014460086,96.12708,4.520242932212931,-0.894036754322178,0.0,0.0,0.0,1.3040826250331543,3.8621305407823527,0.0,0.0,0.0,95.02285202548511
