PPG,Year,Month,Seasonal_index,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 0_Promo.Group 20_display_platinum,Retailer 1_Promo.Group 22_display_bronze,Vol.Sales_pred
ppg3_0,2018,8,57.48998660025312,-47.31442477752395,84.564665,64.0279731799528,-0.0750375637808388,0.0,0.0,0.0,-0.3243361097151185,10.075064791731336,0.827052460311366,0.0,0.0,84.7062785812287
ppg3_0,2018,9,82.86847376512053,-59.14303097190494,145.779535,84.48816376283591,-0.0991567807103941,4.553257462308799,3.4075075713909984,0.0,-0.3243361097151185,10.075064791731336,0.827052460311366,0.0,0.0,126.65299595136847
ppg3_0,2018,10,56.6151262749342,-47.31442477752395,47.913645,63.286683649447085,-0.0830773027573572,0.0,0.0,0.0,0.0,5.037532395865668,1.654104920622732,0.0,0.0653567967159548,79.26130195730433
ppg3_0,2018,11,38.16228103043263,-47.31442477752395,49.837375,60.56048541074156,-0.08575721574953,0.0,0.0,0.0,-0.3243361097151185,5.037532395865668,1.654104920622732,0.0,0.0326783983579774,57.722564053031974
ppg3_0,2018,12,61.52351229266654,-59.14303097190494,71.15872,74.41159377277292,-0.1071965196869125,0.0,0.0,0.0,0.0,15.112597187597004,0.0,0.0,0.0,91.7974757614446
ppg3_0,2019,1,44.336267549460004,-47.31442477752395,68.72206,57.35294145725359,-0.0830773027573572,4.553257462308799,0.0,0.0,0.0,5.037532395865668,0.0,3.646202585662739,0.0,67.52869937026949
ppg3_0,2019,2,41.75229438302541,-47.31442477752395,67.85069,61.834367130408964,-0.089330433072427,0.0,3.4075075713909984,0.0,-0.648672219430237,10.075064791731336,0.827052460311366,0.0,0.0,69.84385890684146
ppg3_0,2019,3,46.48221734113332,-59.14303097190494,70.21215,78.0342484435169,-0.1116630413405337,0.0,0.0,-0.3882891385407912,0.0,10.075064791731336,0.0,0.0,0.0653567967159548,75.01390422131125
ppg3_0,2019,4,51.98289584562841,-47.31442477752395,71.19717,63.50051991301295,-0.089330433072427,0.0,0.0,-0.1941445692703956,0.0,5.037532395865668,0.0,0.0,0.0653567967159548,72.9884051713562
ppg3_0,2019,5,43.04695400688641,-47.31442477752395,51.51521,60.81057962553955,-0.0830773027573572,0.0,0.0,0.0,-0.648672219430237,10.075064791731336,0.0,0.0,0.0,65.88642412444575
ppg3_0,2019,6,85.51463994793589,-59.14303097190494,107.954645,75.205890334345,-0.0970724039387041,0.0,0.0,-0.1941445692703956,-0.3243361097151185,10.075064791731336,0.0,0.0,0.0653567967159548,111.10236781589902
ppg3_0,2019,7,90.77157850688516,-47.31442477752395,155.40155,70.25020875576885,-0.0667000566940788,4.553257462308799,3.4075075713909984,0.0,0.0,10.075064791731336,0.0,3.646202585662739,0.0653567967159548,135.38805163624582
ppg3_0,2019,8,57.48998660025312,-47.31442477752395,77.266105,66.80436242416373,-0.0606364151764352,0.0,0.0,0.0,-0.3243361097151185,0.0,0.827052460311366,0.0,0.0,77.4220041823127
ppg3_0,2019,9,82.86847376512053,-59.14303097190494,117.23705000000001,86.56934940023801,-0.06821596707348951,4.553257462308799,0.0,0.0,0.0,5.037532395865668,0.0,3.646202585662739,0.0,123.46356867021731
ppg3_0,2019,10,56.6151262749342,-47.31442477752395,116.08873,63.600391492355286,-0.0522989080896752,9.106514924617597,0.0,0.0,0.0,10.075064791731336,0.0,7.292405171325478,0.0,99.32277896935027
ppg3_0,2019,11,38.16228103043263,-47.31442477752395,58.429115,67.31776324772815,-0.0559370930002614,4.553257462308799,0.0,0.0,0.0,0.0,0.827052460311366,3.646202585662739,0.0,67.13619491591948
ppg3_0,2019,12,61.52351229266654,-59.14303097190494,104.578735,84.83286086399117,-0.07094460575642911,0.0,6.815015142781997,0.0,-0.3243361097151185,10.075064791731336,0.827052460311366,0.0,0.0,104.53519386410592
ppg3_0,2020,1,44.336267549460004,-47.31442477752395,70.89541,73.48799621818482,-0.061697552442022796,4.553257462308799,0.0,-0.1941445692703956,0.0,10.075064791731336,0.0,3.646202585662739,0.0,88.52852170811133
ppg3_0,2020,2,41.75229438302541,-47.31442477752395,63.32388,75.44543072554288,-0.0633650538593748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0326783983579774,69.85261367554294
ppg3_0,2020,3,46.48221734113332,-59.14303097190494,76.342225,82.96076707105311,-0.06958028641495931,0.0,0.0,0.0,-0.648672219430237,10.075064791731336,0.0,0.0,0.0653567967159548,79.7221225228836
ppg3_0,2020,4,51.98289584562841,-47.31442477752395,93.41507,72.03189904424609,-0.060333233100553,0.0,0.0,0.0,-0.3243361097151185,5.037532395865668,0.0,0.0,0.0,81.35323316540055
ppg3_0,2020,5,79.57025214402921,-59.14303097190494,155.656025,93.23202954169787,-0.0770082472740727,0.0,6.815015142781997,0.0,-0.3243361097151185,10.075064791731336,0.827052460311366,0.0,0.0,130.97503875165762
ppg3_0,2020,6,48.99134181079309,-47.31442477752395,93.60624,75.24585021288141,-0.062000734517905,0.0,0.0,0.0,-0.9730083291453555,5.037532395865668,1.654104920622732,0.0,0.0,82.57939549897569
ppg3_0,2020,7,90.77157850688516,-47.31442477752395,129.008505,76.90324779466295,-0.0633650538593748,0.0,3.4075075713909984,-0.1941445692703956,0.0,10.075064791731336,0.0,0.0,0.0,133.5854642640167
ppg3_0,2020,8,64.70862389754299,-59.14303097190494,105.97237,93.49427722103675,-0.0783725666155425,0.0,3.4075075713909984,0.0,-0.3243361097151185,10.075064791731336,0.0,0.0,0.0,112.13973383346648
