PPG,Year,Month,Seasonal_index,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Vol.Sales_pred
ppg20_0,2018,8,21.95477945474421,7.666427617704225,29.49028,4.01340102345743,-0.157696101836533,0.0,0.0,0.0,0.0,3.9637112238051184,0.2577743826592224,37.69839760053367
ppg20_0,2018,9,30.098609238956467,9.583034522130282,48.6511,5.388218446778842,-0.1678700438905028,0.0,0.0,0.0,0.0,3.9637112238051184,0.2577743826592224,49.12347777043942
ppg20_0,2018,10,26.012460190590115,7.666427617704225,36.05326,4.488889254604137,-0.13734821772859318,0.0,0.0,0.0,0.0,1.9818556119025592,0.5155487653184448,40.52783322239089
ppg20_0,2018,11,17.76474477481983,7.666427617704225,29.56334,4.69569201844729,-0.1449786742690706,0.0,0.0,0.0,-0.0480945404762715,1.9818556119025592,0.5155487653184448,32.431195573447006
ppg20_0,2018,12,22.937526908193632,9.583034522130282,27.79296,5.432899639090892,-0.16532655837701038,0.0,0.0,0.0,0.0,5.945566835707678,0.0,43.73370134674547
ppg20_0,2019,1,26.654297644830233,7.666427617704225,54.877700000000004,4.727872733713647,-0.1170003336206535,2.605810905800623,0.0,0.0,0.0,1.9818556119025592,0.0,43.51926418033064
ppg20_0,2019,2,18.781653876133227,7.666427617704225,38.09254,4.758557665401884,-0.1170003336206535,0.0,0.4934984045958845,0.0,-0.0480945404762715,1.9818556119025592,0.2577743826592224,33.77467268430008
ppg20_0,2019,3,20.250106714903826,9.583034522130282,32.6715,5.983177049143475,-0.14752215978256308,0.0,0.0,0.1606489419678041,0.0,1.9818556119025592,0.0,37.81130068026538
ppg20_0,2019,4,21.40971906647783,7.666427617704225,32.7393,4.712145637806582,-0.1170003336206535,0.0,0.0,0.1606489419678041,0.0,1.9818556119025592,0.0,35.81379654223835
ppg20_0,2019,5,14.934108305084184,7.666427617704225,22.71344,4.32822378259704,-0.1082798118601079,0.0,0.0,0.0,-0.096189080952543,3.9637112238051184,0.0,30.688002036377924
ppg20_0,2019,6,28.692659396440526,9.583034522130282,48.03612,5.491235198637473,-0.1373482177285933,0.0,0.0,0.1606489419678041,-0.0480945404762715,3.9637112238051184,0.0,47.70584652477634
ppg20_0,2019,7,25.83166373038721,7.666427617704225,50.942099999999996,4.554203102435568,-0.087205217605456,2.605810905800623,0.4934984045958845,0.0,0.0,3.9637112238051184,0.0,45.02810976712317
ppg20_0,2019,8,21.95477945474421,7.666427617704225,39.62926,3.8684626473573953,-0.087205217605456,0.0,0.0,0.0,-0.0480945404762715,0.0,0.2577743826592224,33.612144344383324
ppg20_0,2019,9,30.098609238956467,9.583034522130282,54.2641,4.582775621397159,-0.10900652200682001,2.605810905800623,0.0,0.0,0.0,1.9818556119025592,0.0,48.74307937818027
ppg20_0,2019,10,26.012460190590115,7.666427617704225,49.24458,3.547388123385163,-0.087205217605456,5.211621811601246,0.0,0.0,0.0,3.9637112238051184,0.0,46.31440374948041
ppg20_0,2019,11,17.76474477481983,7.666427617704225,27.5484,3.6653718688836117,-0.0908387683390167,2.605810905800623,0.0,0.0,0.0,0.0,0.2577743826592224,31.869290781528495
ppg20_0,2019,12,22.937526908193632,9.583034522130282,48.345,4.796733725458899,-0.1199071742075021,0.0,0.986996809191769,0.0,0.0,3.9637112238051184,0.0,42.1480960145722
ppg20_0,2020,1,26.654297644830233,7.666427617704225,35.96692,3.3770519526526046,-0.087205217605456,2.605810905800623,0.0,0.1606489419678041,0.0,3.9637112238051184,0.0,44.34074306915515
ppg20_0,2020,2,18.781653876133227,7.666427617704225,25.84868,3.117219082035867,-0.103192840833123,0.0,0.0,0.0,0.0,0.0,0.0,29.462107735040192
ppg20_0,2020,3,20.250106714903826,9.583034522130282,35.22816,3.480961595728786,-0.11500188071719511,0.0,0.0,0.0,-0.096189080952543,3.9637112238051184,0.0,37.066623094898276
ppg20_0,2020,4,21.40971906647783,7.666427617704225,38.82516,3.090525450405565,-0.081754891505115,0.0,0.0,0.0,-0.0480945404762715,1.9818556119025592,0.0,34.0186783145088
ppg20_0,2020,5,26.499541516493146,9.583034522130282,46.419560000000004,3.5673064659305025,-0.1062813589566495,0.0,0.4934984045958845,0.0,-0.0480945404762715,3.9637112238051184,0.0,43.95271623352201
ppg20_0,2020,6,17.127226185031564,7.666427617704225,29.15858,2.8488495608554447,-0.08811360528884621,0.0,0.0,0.0,-0.096189080952543,0.0,0.5155487653184448,27.97374944266829
ppg20_0,2020,7,25.83166373038721,7.666427617704225,36.82096,3.4106429781497565,-0.10682639156668369,0.0,0.4934984045958845,0.1606489419678041,0.0,3.9637112238051184,0.0,41.41976650504331
ppg20_0,2020,8,24.72287507717803,9.583034522130282,41.81364,4.365081111009673,-0.1373482177285933,0.0,0.4934984045958845,0.0,0.0,1.9818556119025592,0.0,41.00899650908784
ppg20_0,2020,9,27.330513616522644,7.666427617704225,37.860020000000006,3.5536826248914455,-0.1119133625936686,0.0,0.0,0.0,0.0,0.0,0.0,38.43871049652464
