PPG,Year,Month,Seasonal_index,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 1_Promo.Group 3_display_silver,Retailer 1_Promo.Group 22_display_bronze,Retailer 1_Promo.Group 20_display_platinum,Retailer 1_Promo.Group 20_promo_catalogue,Vol.Sales_pred
ppg6_1,2018,8,118.82376752005182,-106.66255869008475,247.66652000000002,133.3847926816734,-0.107187321618355,10.716713469653582,10.800929750210994,0.0,0.0,19.11943767542718,7.261537581280217,0.0,0.0,10.716713469653577,19.11943767542718,223.17358381167483
ppg6_1,2018,9,96.08553900528975,-133.32819836260595,339.2254,181.58542940150954,-0.11790605378019049,0.0,10.800929750210994,6.123238353756991,0.0,38.23887535085436,14.523075162560435,13.293514145578731,0.0,0.0,38.23887535085436,265.443372104229
ppg6_1,2018,10,113.7275914807252,-106.66255869008475,335.8763,143.4147848505059,-0.0943248430241524,21.433426939307164,0.0,0.0,5.108836804723649,57.358313026281536,7.261537581280217,0.0,-4.080199273806686,32.15014040896073,57.358313026281536,326.9758613111503
ppg6_1,2018,11,61.14797520173278,-106.66255869008475,135.32496,136.98489343692256,-0.0943248430241524,10.716713469653582,0.0,0.0,0.0,19.11943767542718,7.261537581280217,0.0,-2.040099636903343,10.716713469653577,19.11943767542718,156.26972534008485
ppg6_1,2018,12,71.42508831888107,-133.32819836260595,190.33916,178.30118557432493,-0.1251618109358945,10.716713469653582,0.0,0.0,5.108836804723649,38.23887535085436,14.523075162560435,0.0,0.0,10.716713469653577,38.23887535085436,233.8160033279641
ppg6_1,2019,1,93.76430487391315,-106.66255869008475,204.28158000000002,140.74780351423342,-0.09976666089093039,0.0,10.800929750210994,0.0,0.0,19.11943767542718,7.261537581280217,13.293514145578731,0.0,0.0,19.11943767542718,197.3446398650952
ppg6_1,2019,2,53.76503847367518,-106.66255869008475,115.95957999999999,137.9614877150479,-0.0979527216020044,0.0,0.0,6.123238353756991,5.108836804723649,38.23887535085436,0.0,0.0,0.0,0.0,38.23887535085436,172.6758406372257
ppg6_1,2019,3,131.30424151122392,-133.32819836260595,251.9596,178.59564723605848,-0.1269757502248205,10.716713469653582,0.0,0.0,5.108836804723649,19.11943767542718,7.261537581280217,0.0,-4.080199273806686,10.716713469653577,19.11943767542718,244.40719203681033
ppg6_1,2019,4,59.486974080461835,-106.66255869008475,143.0478,135.4089700472839,-0.1015806001798564,0.0,10.800929750210994,0.0,5.108836804723649,19.11943767542718,7.261537581280217,0.0,-4.080199273806686,0.0,19.11943767542718,145.46178505074366
ppg6_1,2019,5,110.48295590040951,-106.66255869008475,221.00294,133.47172227272105,-0.1015806001798564,0.0,21.601859500421988,0.0,0.0,19.11943767542718,7.261537581280217,0.0,0.0,0.0,19.11943767542718,204.29281131542248
ppg6_1,2019,6,87.71892973636338,-133.32819836260595,198.4717,171.91214241381667,-0.1312082752323145,0.0,0.0,0.0,15.326510414170947,38.23887535085436,7.261537581280217,0.0,-4.080199273806686,0.0,38.23887535085436,221.15726493569497
ppg6_1,2019,7,84.31525550738691,-106.66255869008475,228.9015,141.59524794072126,-0.1079293876910974,0.0,0.0,6.123238353756991,5.108836804723649,19.11943767542718,7.261537581280217,13.293514145578731,-4.080199273806686,0.0,19.11943767542718,185.08581833271958
ppg6_1,2019,8,118.82376752005182,-106.66255869008475,268.15576,141.91398977456265,-0.1079293876910974,10.716713469653582,0.0,0.0,10.217673609447298,19.11943767542718,14.523075162560435,0.0,0.0,10.716713469653577,19.11943767542718,238.38032027900786
ppg6_1,2019,9,96.08553900528975,-133.32819836260595,231.01085999999998,178.67029585030497,-0.1375570627435555,21.433426939307164,0.0,0.0,0.0,38.23887535085436,0.0,0.0,0.0,21.433426939307154,38.23887535085436,260.63468401056826
ppg6_1,2019,10,113.7275914807252,-106.66255869008475,226.02643999999998,133.26482421039776,-0.1100456501948444,10.716713469653582,0.0,0.0,0.0,38.23887535085436,0.0,0.0,0.0,10.716713469653577,38.23887535085436,238.13098899185923
ppg6_1,2019,11,61.14797520173278,-106.66255869008475,158.43583999999998,133.9513613399116,-0.1125466876992727,0.0,0.0,0.0,5.108836804723649,19.11943767542718,14.523075162560435,0.0,0.0,0.0,19.11943767542718,146.19501848199877
ppg6_1,2019,12,71.42508831888107,-133.32819836260595,158.75216,172.7727923287709,-0.145560382757726,0.0,0.0,0.0,5.108836804723649,0.0,21.784612743840654,0.0,0.0,0.0,0.0,137.6175714508526
ppg6_1,2020,1,93.76430487391315,-106.66255869008475,178.84140000000002,139.6469637242912,-0.11754876270812929,10.716713469653582,0.0,0.0,0.0,19.11943767542718,7.261537581280217,0.0,0.0,10.716713469653577,19.11943767542718,193.5650010168532
ppg6_1,2020,2,53.76503847367518,-106.66255869008475,103.56126,149.79464797246894,-0.1260522902231854,0.0,0.0,0.0,10.217673609447298,0.0,14.523075162560435,0.0,-2.040099636903343,0.0,0.0,119.47172460094059
ppg6_1,2020,3,131.30424151122392,-133.32819836260595,279.79084,176.17012848785748,-0.15056245776658259,10.716713469653582,0.0,0.0,5.108836804723649,38.23887535085436,7.261537581280217,0.0,-4.080199273806686,10.716713469653577,38.23887535085436,280.1969619319219
ppg6_1,2020,4,59.486974080461835,-106.66255869008475,101.89417999999999,115.27547562679179,-0.12055000771344321,10.716713469653582,0.0,0.0,0.0,19.11943767542718,7.261537581280217,0.0,0.0,10.716713469653577,19.11943767542718,134.91318088089716
