PPG,Intercept,Seasonal_index,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 0_Promo.Group 22_Wtd.Selling.Dist,Retailer 0_Promo.Group 22_promo_ins,Retailer 1_Promo.Group 3_promo_ins,Retailer 0_Promo.Group 20_display_silver,Retailer 1_Promo.Group 3_display_bronze,Retailer 1_Promo.Group 6_promo_catalogue,Retailer 0_Promo.Group 6_promo_catalogue,Retailer 1_Promo.Group 3_display_silver,Retailer 0_Promo.Group 20_display_bronze,Retailer 0_Promo.Group 20_promo_ins,Retailer 0_Promo.Group 3_Weighted_Price,Retailer 0_Promo.Group 3_display_bronze,Retailer 0_Promo.Group 5_promo_catalogue,Retailer 0_Promo.Group 6_Weighted_Price,Retailer 0_Promo.Group 6_Wtd.Selling.Dist,Retailer 1_Promo.Group 19_Weighted_Price,Retailer 1_Promo.Group 19_display_silver,Retailer 1_Promo.Group 20_Weighted_Price,Retailer 1_Promo.Group 20_Wtd.Selling.Dist,Retailer 1_Promo.Group 6_Weighted_Price,Retailer 1_Promo.Group 6_Wtd.Selling.Dist,Retailer 1_Promo.Group 20_promo_ins,Retailer 1_Promo.Group 5_Wtd.Selling.Dist,Retailer 1_Promo.Group 5_promo_catalogue,Retailer 1_Promo.Group 6_display_silver,Retailer 0_Promo.Group 20_display_platinum,Retailer 1_Promo.Group 22_display_bronze,Retailer 1_Promo.Group 20_display_platinum,Retailer 0_Promo.Group 19_display_bronze,Retailer 0_Promo.Group 22_display_bronze,Retailer 0_Promo.Group 3_promo_ins,Retailer 1_Promo.Group 20_promo_catalogue
ppg19_0,13.721384507053106,3.0953779527536125,-0.1153836606741161,0.0,0.0,0.0,0.0,0.1916999226754619,0.191699922675462,0.7020738127690441,-0.0104535351947538,0.658301270620093,0.1961927075342926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppg19_1,9.792480361276596,4.581782559096354,-0.0383241041839893,0.0047242329795118,1.1330288317822157,0.1869581220533376,0.2635978640955007,0.2162304366893833,1.868186969514744,0.0,-0.0227568256000703,,,0.5594403200596111,-0.1585034931506554,-1.6815705912524168,,,,,,,,,,,,,,,,,,,,,,,,,,
ppg20_0,1.9166069044260563,5.333611038024984,0.0128210020981496,-0.1526091308095483,2.605810905800623,0.4934984045958845,0.1606489419678041,-0.0480945404762715,1.9818556119025592,0.2577743826592224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppg20_1,1.043500402961017,4.883487611225702,0.0229849959710202,-0.4649869173584594,3.6600571074675936,1.246023744726306,-0.3034906529828359,0.0060769516043394,3.6664522403933866,1.908196995135005,,,,,,3.666452240393387,0.8636925978257161,1.1570073116136097,,,,,,,,,,,,,,,,,,,,,,,,
ppg22_0,4.025471592289098,0.1402591914250501,0.0342303830122926,0.0,0.0,0.0,0.0,0.0,0.0,0.0234587848061148,,,,,,,,,-0.0295772352343251,0.0265570875445439,-0.001113504748921,-0.0308427797456308,0.0132921739534815,0.0005257627642944,-0.0390194573388722,-0.0108170437883153,0.0022459520817739,0.0016054461637006,-0.0233196949658798,-0.0006300504974102,0.0077829141843359,,,,,,,,,,,
ppg22_1,-1.025580037252563,0.5201989237142164,0.0286164159246083,0.0,0.2470983861591417,0.0392161185905557,-0.0055494496586956,0.2236273925118574,0.4955820715118447,0.0,,,,,,-0.641714633228073,,,,,,,,,,,,,,,,-0.3863087620229924,0.0162111903479576,0.602585396763001,-0.018487396629767,,,,,,,
ppg3_0,-11.828606194380988,13.641158543841565,0.2398163703542405,-0.1500751275616776,4.553257462308799,3.4075075713909984,-0.1941445692703956,-0.3243361097151185,5.037532395865668,0.827052460311366,,,,,,,,,,,,,,,,,,,,,,,,,,3.646202585662739,0.0326783983579774,,,,,
ppg3_1,-1.666681531898135,10.023724813290974,0.0626238076397543,-0.5337740114666658,9.418157609266714,1.5162620746348503,2.350831501691082,1.056431635908422,10.942066720000716,1.5717167696267795,,,,,,,,,,,,,,,,,1.2074646370604527,,,,,,,,,,,1.3817582684005452,,,,
ppg5_0,8.688477544660564,4.27457195417173,0.0540192339765756,-0.479593401011407,0.0,0.0,0.0,0.3154694497282032,0.8707227573581263,3.163952489416134,-0.0265572351835289,2.856072549168469,,-0.6190304427968397,,,,,,,,,,,,,,,,,,,,,,,,,0.3230077286843124,0.5477150286738136,,
ppg5_1,16.581167536150215,5.122858694201288,0.0115038418702399,-0.6705275657416337,1.4711585803976843,1.2370423966533002,0.4198563503270516,1.3040826250331543,3.8621305407823527,0.0,,,,,,,,,,0.3783551860686447,,,,,,,,,,,,,,,,,,,,,1.789412892827271,
ppg6_0,14.8851853927152,27.148610312618995,-0.0757055021705965,-0.0671338241229777,12.54060811178541,4.111278507654205,-1.6683421175589344,-1.6885213346949703,12.637295312338438,1.4755937001150308,,1.1384816492334269,,,0.0022619859092986,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppg6_1,-26.665639672521188,21.053138316332483,0.4029475371090717,-0.3301369505845339,10.716713469653582,10.800929750210994,6.123238353756991,5.108836804723649,19.11943767542718,7.261537581280217,,,,,,,,13.293514145578731,,,,,,,,,,,,,,,,,,,-2.040099636903343,10.716713469653577,,,,19.11943767542718
