PPG,Year,Month,Seasonal_index,const,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer 1_Promo.Group 22_display_bronze,Retailer 0_Promo.Group 20_display_platinum,Vol.Sales,Vol.Sales_pred
ppg3_1,2018,8,102.67520308,8.510360624,-0.784433482,-0.358029488,14.93358682,12.91237559,0.0,0.0,0.0,0.0,87.26724999999999,137.88906314
ppg3_1,2018,9,77.785728759,10.63795078,-1.568866964,-0.716058976,0.0,12.91237559,5.320981117,0.0,0.0,0.0,104.239895,104.3721103
ppg3_1,2018,10,75.65070739,8.510360624,-2.353300446,-0.358029488,29.86717364,0.0,0.0,3.561800189,-4.019026936,0.0,95.184625,110.85968497
ppg3_1,2018,11,41.766508713,8.510360624,-0.784433482,-0.358029488,14.93358682,0.0,0.0,0.0,-2.009513468,0.0,47.37375,62.058479719000005
ppg3_1,2018,12,61.370064293,10.63795078,-1.568866964,-1.074088464,14.93358682,0.0,0.0,3.561800189,0.0,0.0,79.887955,87.860446646
ppg3_1,2019,1,20.051815979,8.510360624,0.0,-0.358029488,0.0,0.0,5.320981117,0.0,0.0,1.888536571,27.247844999999998,35.413664801
ppg3_1,2019,2,29.652391851,8.510360624,-1.568866964,0.0,0.0,0.0,0.0,3.561800189,0.0,0.0,38.63968,40.155685699
ppg3_1,2019,3,36.479157109,10.63795078,-0.784433482,-0.358029488,0.0,0.0,0.0,3.561800189,-4.019026936,0.0,51.235645,45.51741817
ppg3_1,2019,4,53.342764915,8.510360624,-0.784433482,-0.358029488,0.0,12.91237559,0.0,0.0,-4.019026936,0.0,57.00441,69.60401122100001
ppg3_1,2019,5,87.01725837000001,8.510360624,-0.784433482,-0.358029488,0.0,25.82475118,0.0,0.0,0.0,0.0,87.47048,120.2099072
ppg3_1,2019,6,121.537042243,10.63795078,-2.353300446,-0.358029488,29.86717364,0.0,0.0,7.123600378,-4.019026936,0.0,214.00966499999998,162.435410161
ppg3_1,2019,7,111.08937924,8.510360624,-1.568866964,-0.358029488,0.0,0.0,5.320981117,3.561800189,-4.019026936,1.888536571,109.393,124.42513435000001
ppg3_1,2019,8,102.67520308,8.510360624,-0.784433482,-0.716058976,14.93358682,0.0,0.0,7.123600378,0.0,0.0,109.96285499999999,131.74225844
ppg3_1,2019,9,77.785728759,10.63795078,-1.568866964,0.0,29.86717364,0.0,0.0,0.0,0.0,1.888536571,109.9984,118.61052280000001
ppg3_1,2019,10,75.65070739,8.510360624,-1.568866964,0.0,14.93358682,0.0,0.0,0.0,0.0,3.777073142,84.18278,101.30286101
ppg3_1,2019,11,41.766508713,8.510360624,-0.784433482,-0.716058976,0.0,0.0,0.0,3.561800189,0.0,1.888536571,51.802865,54.226713638999996
ppg3_1,2019,12,61.370064293,10.63795078,0.0,-1.074088464,0.0,0.0,0.0,3.561800189,0.0,0.0,65.543525,74.495726787
ppg3_1,2020,1,20.051815979,8.510360624,0.0,-0.358029488,0.0,0.0,0.0,0.0,0.0,1.888536571,22.320014999999998,30.092683687
ppg3_1,2020,2,29.652391851,8.510360624,0.0,-0.716058976,0.0,0.0,0.0,7.123600378,-2.009513468,0.0,34.763135,42.560780412
ppg3_1,2020,3,36.479157109,10.63795078,0.0,-0.358029488,0.0,0.0,0.0,0.0,-4.019026936,0.0,38.837289999999996,42.74005146
ppg3_1,2020,4,53.342764915,8.510360624,-0.784433482,-0.358029488,29.86717364,0.0,0.0,0.0,0.0,0.0,75.817085,90.577836211
ppg3_1,2020,5,104.48479642000001,10.63795078,-1.568866964,-0.716058976,14.93358682,0.0,5.320981117,0.0,0.0,0.0,148.620495,133.0923892
ppg3_1,2020,6,104.069504193,8.510360624,0.0,-0.716058976,0.0,0.0,0.0,0.0,0.0,0.0,64.323395,111.86380583900001
ppg3_1,2020,7,111.08937924,8.510360624,-1.568866964,-0.358029488,14.93358682,0.0,0.0,0.0,0.0,0.0,167.79273,132.60643023
ppg3_1,2020,8,112.499987989,10.63795078,-2.353300446,-0.358029488,14.93358682,12.91237559,0.0,3.561800189,0.0,0.0,192.7394698,151.83437143
ppg3_1,2020,9,67.96094384999999,8.510360624,-0.784433482,-0.358029488,14.93358682,0.0,0.0,0.0,-2.009513468,0.0,56.404545,88.25291485
