Features,Coeff
const,-21.370708879141446
display_gold,32.519036475426255
Retailer 1_Promo.Group 3_display_silver,50.20765145438631
Retailer 1_Promo.Group 20_display_platinum,-3.7276039524757643
promo_ins,13.599621586899175
Retailer 1_Promo.Group 20_promo_catalogue,17.942040240682203
Wtd.Selling.Dist,0.4014137911008884
Seasonal_index,22.067527184521598
display_silver,-5.425856764246916
display_platinum,37.50035057466308
promo_catalogue,17.942040240682047
Retailer 1_Promo.Group 22_display_bronze,-3.6279147814334065
Weighted_Price,-140.8074834796024
display_bronze,8.537769810179364
