Features,Coeff
const,0.8203272259549976
display_gold,-2.631088509988018e-13
Retailer 0_Promo.Group 22_Wtd.Selling.Dist,-0.0004941504630181261
promo_ins,6.720137822863784
promo_catalogue,8.11417585163364
Retailer 0_Promo.Group 22_display_bronze,2.518272026946688
Wtd.Selling.Dist,0.08415206363323038
Retailer 0_Promo.Group 22_promo_ins,-1.1164037950624732
Retailer 0_Promo.Group 19_display_bronze,5.595903824686948
display_silver,-5.370572419708168e-16
Seasonal_index,16.125811121544167
display_platinum,0.0
Retailer 0_Promo.Group 20_display_silver,-1.761015672647064
display_bronze,-6.720671342572178
Weighted_Price,-30.776698569828817
