Features,Coeff
const,2.0189142602649923
display_gold,0.27586217092957777
Retailer 0_Promo.Group 22_Wtd.Selling.Dist,-0.009788108160082222
promo_ins,6.43732624596364e-14
Retailer 1_Promo.Group 6_promo_catalogue,-1.504258297795999
promo_catalogue,2.2432152710968176
Wtd.Selling.Dist,-0.20557349635284194
Seasonal_index,7.6684010231926525
display_silver,1.5370134274778726
display_platinum,3.4300075234442264
display_bronze,0.9820150300316173
Retailer 1_Promo.Group 3_display_bronze,-0.5227321902128403
Retailer 0_Promo.Group 20_display_silver,1.916955653146506
Weighted_Price,20.029558962894384
