Features,Coeff
display_gold,0.0
Weighted_Price,1.584310265278468
Retailer 0_Promo.Group 3_display_bronze,-0.21487026904535944
Retailer 0_Promo.Group 6_Wtd.Selling.Dist,-0.10063336489358654
promo_ins,0.41410753941876355
Retailer 1_Promo.Group 6_Weighted_Price,-3.4300955929691384
promo_catalogue,1.0271835602902726
Retailer 0_Promo.Group 20_display_bronze,0.15257198144717443
Wtd.Selling.Dist,0.03313482815447133
Seasonal_index,1.3261079264373181
display_silver,2.5031885414924204e-14
display_platinum,2.5331835508681888e-15
Retailer 0_Promo.Group 6_Weighted_Price,131.0365236502534
Retailer 0_Promo.Group 3_Weighted_Price,-7.948761919844016
Retailer 1_Promo.Group 6_Wtd.Selling.Dist,-0.014596944649704732
Retailer 1_Promo.Group 19_Weighted_Price,-1.5912309867758703
display_bronze,1.0271835602903492
