PPG,Date,Year,Month,Week,Seasonal_index,const,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer 0_Promo.Group 22_Wtd.Selling.Dist,Retailer 0_Promo.Group 22_promo_ins,Retailer 0_Promo.Group 19_display_bronze,Retailer 0_Promo.Group 22_display_bronze,Vol.Sales,Vol.Sales_pred
ppg5_0,07-04-2019,2019,4,14,12.69054626,0.851925843,0,0,0,0,0,0,-2.538801833,0,0,0,11.5776,11.00367027
ppg5_0,14-04-2019,2019,4,15,16.07419186,0.851925843,0,0,0,0,0,0,-2.549548084,0,0,0,15.53492,14.37656962
ppg5_0,21-04-2019,2019,4,16,18.40809491,0.851925843,0,0,0,0,0,0,-2.546861521,0,0,0,10.33632,16.71315923
ppg5_0,28-04-2019,2019,4,17,15.15947555,0.851925843,0,0,0,0,0,0,-2.538801833,0,0,0,7.8676,13.47259956
ppg5_0,05-05-2019,2019,5,18,17.00013377,0.851925843,0,0,0,0,0,0,-2.546861521,0,0,0,9.2128,15.30519809
ppg5_0,12-05-2019,2019,5,19,16.29020647,0.851925843,0,0,0,0,0,0,-2.549548084,0,0,0,8.40892,14.59258423
ppg5_0,19-05-2019,2019,5,20,21.05622363,0.851925843,0,0,0,0,0,0,-2.554921209,0,0,0,10.92884,19.35322827
ppg5_0,26-05-2019,2019,5,21,17.74672679,0.851925843,0,0,0,0,0,0,-2.549548084,0,0,0,14.12996,16.04910455
ppg5_0,02-06-2019,2019,6,22,14.64020118,0.851925843,0,0,0,0,0,0,-2.552234646,0,0,0,10.43696,12.93989237
ppg5_0,09-06-2019,2019,6,23,11.88277779,0.851925843,0,0,0,0,0,0,-2.552234646,0,0,0,8.01372,10.18246898
ppg5_0,16-06-2019,2019,6,24,15.21882614,0.851925843,0,5.235899381,0,0,0,-6.953588766,-2.554921209,0,0,0,12.2044,11.79814139
ppg5_0,23-06-2019,2019,6,25,22.98099237,0.851925843,5.953189859,0,0,0,0,-6.953588766,-2.557607772,0,0,2.617568466,22.89248,22.89248
ppg5_0,30-06-2019,2019,6,26,17.64302043,0.851925843,0,0,0,0,0,0,-2.557607772,0,0,0,18.3014,15.9373385
ppg5_0,07-07-2019,2019,7,27,14.61876035,0.851925843,0,0,0,0,0,0,-2.557607772,0,0,0,13.754,12.91307843
ppg5_0,14-07-2019,2019,7,28,13.88717151,0.851925843,0,0,0,0,0,0,-2.560294335,0,0,0,13.34632,12.17880302
ppg5_0,21-07-2019,2019,7,29,11.57579909,0.851925843,0,0,0,0,0,0,-2.568354023,0,0,0,10.79416,9.859370906
ppg5_0,28-07-2019,2019,7,30,15.00754215,0.851925843,0,0,0,0,0,0,-2.568354023,0,0,0,14.09876,13.29111397
ppg5_0,04-08-2019,2019,8,31,20.93165226,0.851925843,5.953189859,0,0,0,0,-6.953588766,-2.571040586,0,3.335621393,0,21.54776,21.54776
ppg5_0,11-08-2019,2019,8,32,18.53208517,0.851925843,0,0,0,0,0,0,-2.571040586,0,0,0,16.48868,16.81297043
ppg5_0,18-08-2019,2019,8,33,14.57939753,0.851925843,0,0,0,0,0,0,-2.571040586,0,0,0,12.43132,12.86028279
ppg5_0,25-08-2019,2019,8,34,16.96029893,0.851925843,0,0,0,0,0,0,-2.56566746,0,0,0,16.34192,15.24655731
ppg5_0,01-09-2019,2019,9,35,17.83664277,0.851925843,0,0,0,0,0,0,-2.562980898,0,0,0,15.75534,16.12558772
ppg5_0,08-09-2019,2019,9,36,16.69225677,0.851925843,0,0,0,0,0,0,-2.562980898,0,0,0,15.49242,14.98120172
ppg5_0,15-09-2019,2019,9,37,12.62788375,0.851925843,0,0,0,0,0,0,-2.568354023,0,0,0,11.27078,10.91145557
ppg5_0,22-09-2019,2019,9,38,17.87717857,0.851925843,0,0,0,0,0,0,-2.568354023,0,0,0,14.5864,16.16075039
ppg5_0,29-09-2019,2019,9,39,17.53210678,0.851925843,0,0,0,0,0,0,-2.573727149,0,0,0,15.81612,15.81030547
ppg5_0,06-10-2019,2019,10,40,15.18364472,0.851925843,0,0,0,0,0,0,-2.579100274,0,0,0,14.41104,13.45647028
ppg5_0,13-10-2019,2019,10,41,18.51300965,0.851925843,0,0,0,0,0,0,-2.581786837,0,0,0,21.19128,16.78314866
ppg5_0,20-10-2019,2019,10,42,15.33277778,0.851925843,0,0,0,0,0,0,-2.587159963,0,0,0,15.24568,13.59754366
ppg5_0,27-10-2019,2019,10,43,15.8570986,0.851925843,0,0,0,0,0,0,-2.589846525,0,0,0,16.45234,14.11917792
ppg5_0,03-11-2019,2019,11,44,18.76818729,0.851925843,0,0,0,0,0,0,-2.592533088,0,0,0,19.7519,17.02758004
ppg5_0,10-11-2019,2019,11,45,13.8822509,0.851925843,0,0,0,0,0,0,-2.589846525,0,0,0,13.13688,12.14433022
ppg5_0,17-11-2019,2019,11,46,14.68609767,0.851925843,0,0,0,0,0,0,-2.589846525,0,0,0,14.2205,12.94817699
ppg5_0,24-11-2019,2019,11,47,12.01303658,0.851925843,0,0,0,0,0,0,-2.587159963,0,0,0,10.8271,10.27780246
ppg5_0,01-12-2019,2019,12,48,13.73060447,0.851925843,0,0,0,0,0,0,-2.5844734,0,0,0,12.35952,11.99805692
ppg5_0,08-12-2019,2019,12,49,18.20267971,0.851925843,0,0,0,0,0,0,-2.581786837,0,0,0,16.20212,16.47281871
ppg5_0,15-12-2019,2019,12,50,19.9863402,0.851925843,0,0,0,0,0,0,-2.576413712,0,0,0,18.74918,18.26185233
ppg5_0,22-12-2019,2019,12,51,28.26704372,0.851925843,0,0,0,0,0,0,-2.581786837,0,0,0,23.20502,26.53718273
ppg5_0,29-12-2019,2019,12,52,14.66366921,0.851925843,0,0,0,0,0,0,-2.56566746,0,0,0,12.6272,12.94992759
ppg5_0,05-01-2020,2020,1,1,12.11744734,0.851925843,0,0,0,0,0,0,-2.568354023,0,0,0,11.431,10.40101916
ppg5_0,12-01-2020,2020,1,2,12.5018394,0.851925843,0,0,0,0,0,0,-2.571040586,0,0,0,8.21612,10.78272465
