PPG,Date,Year,Month,Week,Seasonal_index,const,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer 1_Promo.Group 22_display_bronze,Retailer 0_Promo.Group 20_display_platinum,Vol.Sales,Vol.Sales_pred
ppg3_1,23-06-2019,2019,6,25,7.428994793,2.127590156,0,0,0,0,0,0,-2.009513468,0,8.546155,7.547071481
ppg3_1,30-06-2019,2019,6,26,45.117349,2.127590156,-0.784433482,0,14.93358682,0,0,0,0,0,87.3584,61.3940925
ppg3_1,07-07-2019,2019,7,27,30.25560698,2.127590156,-0.784433482,0,0,0,5.320981117,0,0,0,50.679605,36.91974477
ppg3_1,14-07-2019,2019,7,28,14.32947281,2.127590156,0,-0.358029488,0,0,0,3.561800189,0,0,23.73267,19.66083367
ppg3_1,21-07-2019,2019,7,29,43.83248268,2.127590156,0,0,0,0,0,0,-2.009513468,0,8.29291,43.95055937
ppg3_1,28-07-2019,2019,7,30,22.67181677,2.127590156,-0.784433482,0,0,0,0,0,-2.009513468,1.888536571,26.687815,23.89399654
ppg3_1,04-08-2019,2019,8,31,25.1031913,2.127590156,0,-0.358029488,0,0,0,3.561800189,0,0,18.502135,30.43455216
ppg3_1,11-08-2019,2019,8,32,37.17705851,2.127590156,-0.784433482,0,14.93358682,0,0,0,0,0,65.25059,53.45380201
ppg3_1,18-08-2019,2019,8,33,10.99036818,2.127590156,0,-0.358029488,0,0,0,3.561800189,0,0,18.746395,16.32172903
ppg3_1,25-08-2019,2019,8,34,29.40458509,2.127590156,0,0,0,0,0,0,0,0,7.463735,31.53217524
ppg3_1,01-09-2019,2019,9,35,9.824784909,2.127590156,0,0,0,0,0,0,0,0,8.276975,11.95237507
ppg3_1,08-09-2019,2019,9,36,21.50682688,2.127590156,0,0,0,0,0,0,0,1.888536571,7.132525,25.52295361
ppg3_1,15-09-2019,2019,9,37,19.35955528,2.127590156,-0.784433482,0,14.93358682,0,0,0,0,0,47.399355,35.63629877
ppg3_1,22-09-2019,2019,9,38,15.77939746,2.127590156,-0.784433482,0,14.93358682,0,0,0,0,0,25.619585,32.05614096
ppg3_1,29-09-2019,2019,9,39,11.31516423,2.127590156,0,0,0,0,0,0,0,0,21.56996,13.44275439
ppg3_1,06-10-2019,2019,10,40,21.07796521,2.127590156,0,0,0,0,0,0,0,0,8.218165,23.20555537
ppg3_1,13-10-2019,2019,10,41,29.12982656,2.127590156,-0.784433482,0,14.93358682,0,0,0,0,0,51.1588,45.40657005
ppg3_1,20-10-2019,2019,10,42,11.71150921,2.127590156,0,0,0,0,0,0,0,1.888536571,7.820365,15.72763594
ppg3_1,27-10-2019,2019,10,43,13.73140641,2.127590156,-0.784433482,0,0,0,0,0,0,1.888536571,16.98545,16.96309965
ppg3_1,03-11-2019,2019,11,44,11.37401087,2.127590156,-0.784433482,0,0,0,0,3.561800189,0,1.888536571,19.051615,18.1675043
ppg3_1,10-11-2019,2019,11,45,13.26110923,2.127590156,0,-0.358029488,0,0,0,0,0,0,12.16223,15.0306699
ppg3_1,17-11-2019,2019,11,46,5.407877883,2.127590156,0,0,0,0,0,0,0,0,6.604765,7.535468039
ppg3_1,24-11-2019,2019,11,47,11.72351073,2.127590156,0,-0.358029488,0,0,0,0,0,0,13.984255,13.4930714
ppg3_1,01-12-2019,2019,12,48,6.022708868,2.127590156,0,0,0,0,0,0,0,0,7.08783,8.150299024
ppg3_1,08-12-2019,2019,12,49,16.27554854,2.127590156,0,-0.358029488,0,0,0,0,0,0,15.790055,18.0451092
