PPG,Date,Year,Month,Week,Seasonal_index,const,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer 1_Promo.Group 22_display_bronze,Retailer 0_Promo.Group 20_display_platinum,Vol.Sales,Vol.Sales_pred
ppg3_0,05-08-2018,2018,8,31,9.851734564,2.127590156,0,0,0,0,0,0,0,0,10.65029,11.97932472
ppg3_0,12-08-2018,2018,8,32,27.47899618,2.127590156,-0.784433482,0,0,0,0,0,0,0,33.210335,28.82215285
ppg3_0,19-08-2018,2018,8,33,10.64811174,2.127590156,0,-0.358029488,0,0,0,0,0,0,17.469575,12.41767241
ppg3_0,26-08-2018,2018,8,34,19.79907405,2.127590156,-0.784433482,0,0,0,0,3.561800189,0,0,23.234465,24.70403092
ppg3_0,02-09-2018,2018,9,35,8.51042431,2.127590156,0,0,0,0,0,0,0,0,10.65641,10.63801447
ppg3_0,09-09-2018,2018,9,36,43.59294651,2.127590156,-0.784433482,0,14.93358682,0,0,0,0,0,59.86969,59.86969
ppg3_0,16-09-2018,2018,9,37,6.11700256,2.127590156,0,0,0,0,0,0,0,0,6.74759,8.244592716
ppg3_0,23-09-2018,2018,9,38,12.47814425,2.127590156,0,-0.358029488,0,0,0,3.561800189,0,0,15.41094,17.8095051
ppg3_0,30-09-2018,2018,9,39,26.99940677,2.127590156,-0.784433482,0,0,12.91237559,0,0,0,0,53.094905,41.25493903
ppg3_0,07-10-2018,2018,10,40,10.62398178,2.127590156,0,-0.358029488,0,0,0,0,0,0,15.889305,12.39354244
ppg3_0,14-10-2018,2018,10,41,8.81938187,2.127590156,0,-0.358029488,0,0,0,0,0,0,12.269255,10.58894254
ppg3_0,21-10-2018,2018,10,42,23.53816179,2.127590156,0,0,0,0,0,0,-2.009513468,0,5.78062,23.65623848
ppg3_0,28-10-2018,2018,10,43,23.76493411,2.127590156,-0.784433482,0,0,0,0,0,-2.009513468,0,13.974465,23.09857732
ppg3_0,04-11-2018,2018,11,44,15.05983794,2.127590156,0,-0.358029488,0,0,0,0,-2.009513468,0,12.601095,14.81988514
ppg3_0,11-11-2018,2018,11,45,7.154953273,2.127590156,0,-0.358029488,0,0,0,0,0,0,10.09148,8.924513941
ppg3_0,18-11-2018,2018,11,46,17.6661264,2.127590156,-0.784433482,0,0,0,0,3.561800189,0,0,21.173755,22.57108326
ppg3_0,25-11-2018,2018,11,47,5.110553451,2.127590156,0,0,0,0,0,0,0,0,5.971045,7.238143607
ppg3_0,02-12-2018,2018,12,48,14.124259,2.127590156,-0.784433482,0,0,0,0,0,0,0,15.88778,15.46741568
ppg3_0,09-12-2018,2018,12,49,6.202634499,2.127590156,0,0,0,0,0,0,0,0,7.227795,8.330224655
ppg3_0,16-12-2018,2018,12,50,10.95381116,2.127590156,0,0,0,0,0,0,0,0,8.964905,13.08140132
ppg3_0,23-12-2018,2018,12,51,29.2590804,2.127590156,-0.784433482,0,0,0,0,0,0,0,26.77642,30.60223708
ppg3_0,30-12-2018,2018,12,52,11.99343392,2.127590156,-0.784433482,0,0,0,0,0,0,0,12.30182,13.3365906
ppg3_0,06-01-2019,2019,1,1,3.665498905,2.127590156,0,0,0,0,0,0,0,0,4.777105,5.793089061
ppg3_0,13-01-2019,2019,1,2,27.83680789,2.127590156,-0.784433482,0,14.93358682,0,0,0,0,1.888536571,39.50798,46.00208795
ppg3_0,20-01-2019,2019,1,3,7.914095873,2.127590156,0,0,0,0,0,0,0,0,9.7713,10.04168603
ppg3_0,27-01-2019,2019,1,4,12.85389737,2.127590156,0,0,0,0,0,0,0,0,14.665675,14.98148753
ppg3_0,03-02-2019,2019,2,5,3.837516234,2.127590156,0,0,0,0,0,0,0,0,5.05701,5.96510639
ppg3_0,10-02-2019,2019,2,6,23.53461597,2.127590156,-0.784433482,0,0,12.91237559,0,0,0,0,33.93186,37.79014823
ppg3_0,17-02-2019,2019,2,7,8.322574852,2.127590156,0,-0.358029488,0,0,0,3.561800189,0,0,11.39704,13.65393571
ppg3_0,24-02-2019,2019,2,8,13.5292126,2.127590156,-0.784433482,0,0,0,0,3.561800189,0,0,17.46478,18.43416946
