PPG,Date,Year,Month,Week,Seasonal_index,const,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer 1_Promo.Group 22_display_bronze,Retailer 1_Promo.Group 3_display_silver,Retailer 1_Promo.Group 20_promo_catalogue,Retailer 1_Promo.Group 20_display_platinum,Vol.Sales,Vol.Sales_pred
ppg6_1,26-05-2019,2019,5,21,20.80102826,0.270173564,0,0,0,0,0,0,0,0,0,0,16.79672,21.07120182
ppg6_1,02-06-2019,2019,6,22,22.22993441,0.270173564,0,11.24914672,0,0,0,12.20885119,0,0,0,0,55.92286,45.95810588
ppg6_1,09-06-2019,2019,6,23,12.55484277,0.270173564,0,0,0,0,0,0,-2.338117835,0,0,0,14.93244,10.4868985
ppg6_1,16-06-2019,2019,6,24,20.63246441,0.270173564,16.26590618,0,0,0,0,12.20885119,0,0,16.26590618,0,55.28984,65.64330151
ppg6_1,23-06-2019,2019,6,25,11.06906221,0.270173564,0,0,0,0,0,0,-2.338117835,0,0,0,13.89916,9.001117935
ppg6_1,30-06-2019,2019,6,26,24.13351645,0.270173564,16.26590618,0,0,0,0,12.20885119,0,0,16.26590618,0,58.4274,69.14435355
ppg6_1,07-07-2019,2019,7,27,44.7265071,0.270173564,16.26590618,0,0,0,-0.628711745,0,0,49.61106438,16.26590618,0,143.54788,126.5108456
ppg6_1,14-07-2019,2019,7,28,17.59483435,0.270173564,0,11.24914672,0,0,0,12.20885119,0,0,0,0,56.76094,41.32300583
ppg6_1,21-07-2019,2019,7,29,17.75750556,0.270173564,0,0,0,0,0,0,-2.338117835,0,0,0,13.9787,15.68956129
ppg6_1,28-07-2019,2019,7,30,7.024738507,0.270173564,0,0,0,0,0,0,-2.338117835,0,0,0,14.61398,4.956794235
ppg6_1,04-08-2019,2019,8,31,15.02108512,0.270173564,0,11.24914672,0,0,0,12.20885119,0,0,0,0,43.85816,38.7492566
ppg6_1,11-08-2019,2019,8,32,50.79247511,0.270173564,16.26590618,0,35.06555534,0,0,0,0,0,16.26590618,2.124462667,164.8292,120.784479
ppg6_1,18-08-2019,2019,8,33,12.37402931,0.270173564,0,11.24914672,0,0,0,12.20885119,0,0,0,0,45.65472,36.10220078
ppg6_1,25-08-2019,2019,8,34,44.56571451,0.270173564,0,0,0,0,0,0,0,0,0,0,13.81368,44.83588808
ppg6_1,01-09-2019,2019,9,35,10.43929566,0.270173564,0,0,0,0,0,0,0,0,0,0,14.50054,10.70946923
ppg6_1,08-09-2019,2019,9,36,32.12784183,0.270173564,0,0,0,0,0,0,0,0,0,0,15.37444,32.39801539
ppg6_1,15-09-2019,2019,9,37,24.74327819,0.270173564,16.26590618,0,35.06555534,0,0,0,0,0,16.26590618,2.124462667,110.58488,94.73528211
ppg6_1,22-09-2019,2019,9,38,24.00377863,0.270173564,16.26590618,0,35.06555534,0,0,0,0,0,16.26590618,2.124462667,74.35776,93.99578255
ppg6_1,29-09-2019,2019,9,39,7.948921386,0.270173564,0,0,0,0,0,0,0,0,0,0,16.19324,8.219094949
ppg6_1,06-10-2019,2019,10,40,35.29310187,0.270173564,0,0,0,0,0,0,0,0,0,0,16.30336,35.56327543
ppg6_1,13-10-2019,2019,10,41,42.66005082,0.270173564,16.26590618,0,35.06555534,0,0,0,0,0,16.26590618,2.124462667,140.31678,112.6520547
ppg6_1,20-10-2019,2019,10,42,16.18949404,0.270173564,0,0,0,0,0,0,0,0,0,0,15.68128,16.4596676
ppg6_1,27-10-2019,2019,10,43,23.34594925,0.270173564,16.26590618,0,0,0,0,0,0,0,16.26590618,0,53.72502,56.14793517
ppg6_1,03-11-2019,2019,11,44,19.8590031,0.270173564,16.26590618,0,0,0,0,12.20885119,0,0,16.26590618,0,66.16548,64.86984021
ppg6_1,10-11-2019,2019,11,45,20.37022641,0.270173564,0,11.24914672,0,0,0,0,0,0,0,0,34.8444,31.88954669
ppg6_1,17-11-2019,2019,11,46,6.096767066,0.270173564,0,0,0,0,0,0,0,0,0,0,14.8349,6.366940629
ppg6_1,24-11-2019,2019,11,47,16.84415994,0.270173564,0,11.24914672,0,0,0,0,0,0,0,0,42.59106,28.36348023
ppg6_1,01-12-2019,2019,12,48,6.653286007,0.270173564,0,0,0,0,0,0,0,0,0,0,16.4184,6.923459571
ppg6_1,08-12-2019,2019,12,49,23.06153534,0.270173564,0,11.24914672,0,0,0,0,0,0,0,0,45.34902,34.58085563
ppg6_1,15-12-2019,2019,12,50,11.49306161,0.270173564,0,0,0,0,0,0,0,0,0,0,15.83284,11.76323517
ppg6_1,22-12-2019,2019,12,51,20.38916614,0.270173564,0,11.24914672,0,0,0,12.20885119,0,0,0,0,52.11008,44.11733762
ppg6_1,29-12-2019,2019,12,52,12.19008766,0.270173564,0,11.24914672,0,0,0,0,0,0,0,0,29.04182,23.70940795
ppg6_1,05-01-2020,2020,1,1,7.474434422,0.270173564,0,11.24914672,0,0,0,0,0,0,0,0,15.6869,18.99375471
ppg6_1,12-01-2020,2020,1,2,6.71530219,0.270173564,0,0,0,0,0,0,0,0,0,0,14.2867,6.985475754
ppg6_1,19-01-2020,2020,1,3,37.41533326,0.270173564,0,0,0,0,0,0,0,0,0,0,13.58212,37.68550682
ppg6_1,26-01-2020,2020,1,4,45.26004782,0.270173564,16.26590618,0,35.06555534,0,0,0,0,0,16.26590618,2.124462667,135.28568,115.2520517
ppg6_1,02-02-2020,2020,2,5,11.89892226,0.270173564,0,11.24914672,0,0,0,12.20885119,-2.338117835,0,0,0,32.46032,33.2889759
ppg6_1,09-02-2020,2020,2,6,21.5518339,0.270173564,0,11.24914672,0,0,0,12.20885119,0,0,0,0,43.68702,45.28000538
ppg6_1,16-02-2020,2020,2,7,6.829247435,0.270173564,0,0,0,0,0,0,0,0,0,0,13.98402,7.099420999
ppg6_1,23-02-2020,2020,2,8,15.26306033,0.270173564,0,0,0,0,0,0,0,0,0,0,13.4299,15.53323389
ppg6_1,01-03-2020,2020,3,9,16.70678808,0.270173564,16.26590618,0,0,0,0,12.20885119,0,0,16.26590618,0,50.72966,61.71762518
ppg6_1,08-03-2020,2020,3,10,7.507678142,0.270173564,0,0,0,0,0,0,0,0,0,0,15.07058,7.777851706
ppg6_1,15-03-2020,2020,3,11,85.41833189,0.270173564,16.26590618,0,35.06555534,0,0,0,0,0,16.26590618,2.124462667,173.59062,155.4103358
ppg6_1,22-03-2020,2020,3,12,18.43887983,0.270173564,0,11.24914672,0,0,0,0,-2.338117835,0,0,0,23.7992,27.62008228
ppg6_1,29-03-2020,2020,3,13,7.574833003,0.270173564,0,0,0,0,0,0,-2.338117835,0,0,0,16.60078,5.506888731
ppg6_1,05-04-2020,2020,4,14,13.61423635,0.270173564,0,11.24914672,35.06555534,0,0,0,0,0,0,2.124462667,37.77124,62.32357464
ppg6_1,12-04-2020,2020,4,15,18.62892138,0.270173564,0,0,0,0,0,0,0,0,0,0,13.13172,18.89909495
ppg6_1,19-04-2020,2020,4,16,6.202256733,0.270173564,0,0,0,0,0,0,0,0,0,0,11.64298,6.472430296
ppg6_1,26-04-2020,2020,4,17,23.00881113,0.270173564,16.26590618,0,0,0,0,0,0,0,16.26590618,0,39.34824,55.81079705
ppg6_1,03-05-2020,2020,5,18,16.11094736,0.270173564,16.26590618,0,0,0,-0.628711745,0,0,49.61106438,16.26590618,0,47.64676,97.89528591
ppg6_1,10-05-2020,2020,5,19,37.46560775,0.270173564,0,0,0,0,0,0,0,0,0,0,12.30102,37.73578131
ppg6_1,17-05-2020,2020,5,20,39.75907599,0.270173564,16.26590618,0,35.06555534,0,0,0,0,0,16.26590618,2.124462667,106.03764,109.7510799
ppg6_1,24-05-2020,2020,5,21,20.80102826,0.270173564,16.26590618,0,0,0,0,0,0,0,16.26590618,0,61.6969,53.60301417
ppg6_1,31-05-2020,2020,5,22,22.22993441,0.270173564,0,11.24914672,0,0,0,0,0,0,0,0,33.26362,33.74925469
ppg6_1,07-06-2020,2020,6,23,12.55484277,0.270173564,0,11.24914672,0,0,0,0,0,0,0,0,33.11312,24.07416306
ppg6_1,14-06-2020,2020,6,24,20.63246441,0.270173564,0,11.24914672,0,0,0,0,0,0,0,0,27.96022,32.15178469
ppg6_1,21-06-2020,2020,6,25,11.06906221,0.270173564,0,11.24914672,0,0,0,0,0,0,0,0,28.56298,22.58838249
ppg6_1,28-06-2020,2020,6,26,24.13351645,0.270173564,0,11.24914672,0,0,0,0,0,0,0,0,38.07738,35.65283674
ppg6_1,05-07-2020,2020,7,27,44.7265071,0.270173564,0,11.24914672,0,0,0,0,0,0,0,0,40.22672,56.24582739
ppg6_1,12-07-2020,2020,7,28,17.59483435,0.270173564,0,0,0,0,0,0,0,0,0,0,15.57426,17.86500791
ppg6_1,19-07-2020,2020,7,29,17.75750556,0.270173564,16.26590618,0,0,0,0,12.20885119,0,0,16.26590618,0,52.97974,62.76834266
ppg6_1,26-07-2020,2020,7,30,7.024738507,0.270173564,0,0,0,0,0,0,0,0,0,0,13.1424,7.294912071
ppg6_1,02-08-2020,2020,8,31,15.02108512,0.270173564,0,0,0,0,0,0,0,0,0,0,14.6799,15.29125868
ppg6_1,09-08-2020,2020,8,32,50.79247511,0.270173564,16.26590618,0,35.06555534,0,0,0,0,0,16.26590618,2.124462667,123.47248,120.784479
ppg6_1,16-08-2020,2020,8,33,12.37402931,0.270173564,0,0,0,0,0,0,0,0,0,0,15.30458,12.64420287
ppg6_1,23-08-2020,2020,8,34,44.56571451,0.270173564,16.26590618,0,0,36.38164452,0,0,0,0,16.26590618,0,116.13972,113.7493449
ppg6_1,30-08-2020,2020,8,35,10.43929566,0.270173564,0,11.24914672,0,0,0,0,0,0,0,0,14.78666,21.95861595
ppg6_1,06-09-2020,2020,9,36,32.12784183,0.270173564,16.26590618,0,35.06555534,0,0,0,0,0,16.26590618,2.124462667,50.99886,102.1198457
ppg6_1,13-09-2020,2020,9,37,24.74327819,0.270173564,0,0,0,0,0,0,-2.338117835,0,0,0,13.44904,22.67533392
ppg6_1,20-09-2020,2020,9,38,24.00377863,0.270173564,0,0,0,0,0,0,0,0,0,0,14.68706,24.2739522
ppg6_1,27-09-2020,2020,9,39,7.948921386,0.270173564,0,0,0,0,0,0,0,0,0,0,14.41228,8.219094949
