PPG,Date,Year,Month,Week,Seasonal_index,const,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer 0_Promo.Group 20_promo_ins,Retailer 0_Promo.Group 3_promo_ins,Vol.Sales,Vol.Sales_pred
ppg5_1,30-06-2019,2019,6,26,23.48616445,-2.031572836,0,0,0,0,0,0,0,0,20.51904,21.45459162
ppg5_1,07-07-2019,2019,7,27,22.3726556,-2.031572836,0,0,0,0,0,0,0,0,17.1188,20.34108277
ppg5_1,14-07-2019,2019,7,28,22.36000899,-2.031572836,0,0,0,0,0,0,0,0,19.03658,20.32843616
ppg5_1,21-07-2019,2019,7,29,22.66430557,-2.031572836,0,0,0,0,0,1.595534285,0,0,23.3182,22.22826702
ppg5_1,28-07-2019,2019,7,30,24.74302697,-2.031572836,0,0,0,0,0,1.595534285,0,0,26.78434,24.30698842
ppg5_1,04-08-2019,2019,8,31,25.11766448,-2.031572836,0,0,0,0,0,0,0,0,22.34786,23.08609164
ppg5_1,11-08-2019,2019,8,32,19.89847716,-2.031572836,0,0,0,0,0,0,0,0,17.01534,17.86690432
ppg5_1,18-08-2019,2019,8,33,23.92282984,-2.031572836,0,0,0,0,0,0,0,0,21.61638,21.891257
ppg5_1,25-08-2019,2019,8,34,23.90532544,-2.031572836,7.378339706,0,0,0,3.389104602,0,-1.474318329,2.704068806,37.5966,33.87094739
ppg5_1,01-09-2019,2019,9,35,23.17538656,-2.031572836,0,0,0,0,0,0,0,0,23.29202,21.14381372
ppg5_1,08-09-2019,2019,9,36,20.26987424,-2.031572836,0,0,0,0,0,0,0,0,20.75396,18.2383014
ppg5_1,15-09-2019,2019,9,37,24.70301675,-2.031572836,0,0,0,0,0,0,0,0,15.62394,22.67144392
ppg5_1,22-09-2019,2019,9,38,23.68603148,-2.031572836,0,0,0,0,0,0,0,0,22.67172,21.65445865
ppg5_1,29-09-2019,2019,9,39,26.00615795,-2.031572836,0,0,0,0,0,0,0,0,24.01756,23.97458511
ppg5_1,06-10-2019,2019,10,40,27.09019393,-2.031572836,7.378339706,0,5.049010736,0,0,0,0,0,39.94114,37.48597153
ppg5_1,13-10-2019,2019,10,41,16.93219113,-2.031572836,0,0,0,0,0,0,0,0,16.41096,14.90061829
ppg5_1,20-10-2019,2019,10,42,21.31623478,-2.031572836,0,0,0,0,0,0,0,0,25.47106,19.28466194
ppg5_1,27-10-2019,2019,10,43,27.99710966,-2.031572836,0,0,0,1.625382771,0,0,0,0,30.16926,27.5909196
ppg5_1,03-11-2019,2019,11,44,31.70615103,-2.031572836,0,0,0,1.625382771,0,0,-1.474318329,2.704068806,35.4918,32.52971144
ppg5_1,10-11-2019,2019,11,45,22.92576437,-2.031572836,0,0,0,0,0,0,0,0,21.75406,20.89419154
ppg5_1,17-11-2019,2019,11,46,24.51413022,-2.031572836,0,0,0,0,0,0,0,0,26.4569,22.48255738
ppg5_1,24-11-2019,2019,11,47,25.65241026,-2.031572836,0,0,0,0,0,0,0,0,28.55274,23.62083742
ppg5_1,01-12-2019,2019,12,48,42.56369523,-2.031572836,7.378339706,0,5.049010736,0,0,0,0,0,55.71438,52.95947284
ppg5_1,08-12-2019,2019,12,49,30.54647118,-2.031572836,0,0,0,0,0,0,0,0,32.63956,28.51489835
ppg5_1,15-12-2019,2019,12,50,35.11885902,-2.031572836,0,0,0,0,0,0,0,2.704068806,40.8451,35.79135499
ppg5_1,22-12-2019,2019,12,51,42.01593531,-2.031572836,0,0,0,0,0,0,0,0,46.44384,39.98436247
ppg5_1,29-12-2019,2019,12,52,21.02338459,-2.031572836,0,0,0,0,0,0,0,0,17.35076,18.99181176
ppg5_1,05-01-2020,2020,1,1,29.41042076,-2.031572836,0,0,0,0,0,0,0,0,24.69392,27.37884793
ppg5_1,12-01-2020,2020,1,2,27.91694761,-2.031572836,0,0,0,1.625382771,0,0,0,0,23.85224,27.51075754
ppg5_1,19-01-2020,2020,1,3,20.72343267,-2.031572836,0,0,0,0,0,0,0,0,20.45726,18.69185983
ppg5_1,26-01-2020,2020,1,4,20.13763641,-2.031572836,0,0,0,0,0,0,0,0,14.964,18.10606357
ppg5_1,02-02-2020,2020,2,5,21.85581103,-2.031572836,0,0,0,0,0,1.595534285,0,0,17.41374,21.41977248
ppg5_1,09-02-2020,2020,2,6,22.61414015,-2.031572836,0,0,0,0,0,0,0,0,20.05214,20.58256732
ppg5_1,16-02-2020,2020,2,7,23.75220808,-2.031572836,0,0,0,0,0,0,0,0,20.85042,21.72063525
ppg5_1,23-02-2020,2020,2,8,20.22440147,-2.031572836,0,0,0,0,0,0,0,0,18.94034,18.19282863
ppg5_1,01-03-2020,2020,3,9,20.12255058,-2.031572836,0,0,0,0,0,0,0,0,16.53604,18.09097774
ppg5_1,08-03-2020,2020,3,10,23.91064528,-2.031572836,0,0,0,0,0,0,0,0,20.99254,21.87907244
ppg5_1,15-03-2020,2020,3,11,17.40139556,-2.031572836,0,0,0,0,0,0,0,0,16.35872,15.36982273
ppg5_1,22-03-2020,2020,3,12,22.36266785,-2.031572836,0,0,0,0,0,1.595534285,0,0,21.47938,21.9266293
ppg5_1,29-03-2020,2020,3,13,26.26362818,-2.031572836,0,0,0,0,0,1.595534285,0,0,24.8025,25.82758963
ppg5_1,05-04-2020,2020,4,14,23.6832423,-2.031572836,0,0,0,0,0,0,0,0,17.97418,21.65166946
ppg5_1,12-04-2020,2020,4,15,22.25579341,-2.031572836,0,0,0,0,0,0,0,0,19.87622,20.22422058
ppg5_1,19-04-2020,2020,4,16,22.29887482,-2.031572836,0,0,0,1.625382771,0,0,0,0,20.66822,21.89268475
ppg5_1,26-04-2020,2020,4,17,19.94037578,-2.031572836,0,0,0,1.625382771,0,0,0,0,17.58792,19.53418572
ppg5_1,03-05-2020,2020,5,18,21.42026904,-2.031572836,0,0,0,0,0,0,0,2.704068806,17.03902,22.09276501
ppg5_1,10-05-2020,2020,5,19,26.23459802,-2.031572836,7.378339706,0,5.049010736,0,0,0,0,0,31.4203,36.63037563
ppg5_1,17-05-2020,2020,5,20,19.54765468,-2.031572836,0,0,0,0,0,0,0,0,13.30574,17.51608184
ppg5_1,24-05-2020,2020,5,21,22.54284195,-2.031572836,0,0,0,0,0,0,0,0,14.66394,20.51126911
ppg5_1,31-05-2020,2020,5,22,23.77439597,-2.031572836,0,0,0,0,0,0,0,0,19.50788,21.74282313
