PPG,Date,Year,Month,Week,Seasonal_index,const,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer 0_Promo.Group 22_promo_ins,Retailer 1_Promo.Group 3_display_bronze,Vol.Sales,Vol.Sales_pred
ppg6_0,23-06-2019,2019,6,25,22.44843905,5.368911407,0,0,0,0,0,0,0,0,38.56838,27.81735045
ppg6_0,30-06-2019,2019,6,26,9.934731922,5.368911407,0,0,0,0,0,0,0,0,17.86636,15.30364333
ppg6_0,07-07-2019,2019,7,27,37.44399924,5.368911407,14.78448795,0,0,10.63273625,0,0,0,0,60.9966,68.23013484
ppg6_0,14-07-2019,2019,7,28,27.0004476,5.368911407,14.78448795,0,0,0,0,-4.033443768,0,-0.42028751,41.17692,42.70011569
ppg6_0,21-07-2019,2019,7,29,82.29478152,5.368911407,14.78448795,0,0,10.63273625,0,0,0,0,132.9701,113.0809171
ppg6_0,28-07-2019,2019,7,30,9.573896445,5.368911407,0,0,0,0,0,0,0,0,14.50988,14.94280785
ppg6_0,04-08-2019,2019,8,31,36.91646278,5.368911407,14.78448795,0,0,0,0,-4.033443768,0,-0.42028751,54.75952,52.61613087
ppg6_0,11-08-2019,2019,8,32,10.49918528,5.368911407,0,0,0,0,0,0,0,0,15.64628,15.86809668
ppg6_0,18-08-2019,2019,8,33,16.37777307,5.368911407,0,0,0,0,0,0,0,-0.42028751,27.75122,21.32639697
ppg6_0,25-08-2019,2019,8,34,9.211981642,5.368911407,0,0,0,0,0,0,0,0,13.81456,14.58089305
ppg6_0,01-09-2019,2019,9,35,39.93065372,5.368911407,14.78448795,0,0,0,-1.359579326,0,0,0,60.77078,58.72447375
ppg6_0,08-09-2019,2019,9,36,12.9590375,5.368911407,0,0,0,0,0,0,0,0,13.40602,18.3279489
ppg6_0,15-09-2019,2019,9,37,75.47729807,5.368911407,14.78448795,0,0,0,-1.359579326,0,0,0,97.10962,94.27111811
ppg6_0,22-09-2019,2019,9,38,18.48342554,5.368911407,0,0,0,0,0,0,0,0,30.65558,23.85233695
ppg6_0,29-09-2019,2019,9,39,13.8273853,5.368911407,0,0,0,0,0,0,0,0,14.40976,19.19629671
ppg6_0,06-10-2019,2019,10,40,38.47231135,5.368911407,14.78448795,0,0,0,0,-4.033443768,0,0,53.3819,54.59226694
ppg6_0,13-10-2019,2019,10,41,9.698776365,5.368911407,0,0,0,0,0,0,0,0,14.2069,15.06768777
ppg6_0,20-10-2019,2019,10,42,34.00206848,5.368911407,0,0,0,0,0,0,0,0,44.0525,39.37097988
ppg6_0,27-10-2019,2019,10,43,31.00228636,5.368911407,0,8.302103672,0,0,-1.359579326,0,0,0,47.3537,43.31372211
ppg6_0,03-11-2019,2019,11,44,10.41798175,5.368911407,0,0,0,0,0,0,0,-0.42028751,15.2605,15.36660564
ppg6_0,10-11-2019,2019,11,45,24.10789025,5.368911407,14.78448795,0,0,0,-1.359579326,0,0,0,56.38278,42.90171028
ppg6_0,17-11-2019,2019,11,46,16.72362026,5.368911407,0,0,0,0,0,0,0,0,13.73154,22.09253167
ppg6_0,24-11-2019,2019,11,47,77.96944996,5.368911407,14.78448795,0,26.60608684,0,0,0,0,0,120.23538,124.7289362
ppg6_0,01-12-2019,2019,12,48,22.13402486,5.368911407,0,0,0,0,0,0,0,0,33.48852,27.50293626
ppg6_0,08-12-2019,2019,12,49,15.13801212,5.368911407,0,8.302103672,0,0,0,-4.033443768,0,0,32.41536,24.77558343
ppg6_0,15-12-2019,2019,12,50,30.93105587,5.368911407,0,8.302103672,0,0,0,-4.033443768,0,0,39.02332,40.56862718
ppg6_0,22-12-2019,2019,12,51,19.05742313,5.368911407,0,0,0,0,0,0,0,-0.42028751,18.9483,24.00604703
ppg6_0,29-12-2019,2019,12,52,12.37195331,5.368911407,0,0,0,0,0,0,0,0,10.70728,17.74086471
ppg6_0,05-01-2020,2020,1,1,44.02771625,5.368911407,0,8.302103672,0,0,0,-4.033443768,0,0,31.60484,53.66528756
