,PPG,Year,Month,Vol.Sales,Vol.Sales_pred,perc Seasonal_index,perc Intercept,perc Wtd.Selling.Dist,perc Weighted_Price,perc display_platinum,perc display_gold,perc display_silver,perc display_bronze,perc promo_catalogue,perc promo_ins,perc Retailer 0_Promo.Group 20_display_bronze,perc Retailer 0_Promo.Group 20_promo_ins,perc Retailer 0_Promo.Group 3_Weighted_Price,perc Retailer 0_Promo.Group 3_display_bronze,perc Retailer 0_Promo.Group 5_promo_catalogue,perc Retailer 0_Promo.Group 6_Weighted_Price,perc Retailer 0_Promo.Group 6_Wtd.Selling.Dist,perc Retailer 1_Promo.Group 19_Weighted_Price,perc Retailer 1_Promo.Group 19_display_silver,perc Retailer 1_Promo.Group 20_Weighted_Price,perc Retailer 1_Promo.Group 20_Wtd.Selling.Dist,perc Retailer 1_Promo.Group 6_Weighted_Price,perc Retailer 1_Promo.Group 6_Wtd.Selling.Dist
0,ppg22_0,2018,8,0.33956,0.2554733230306842,41.91431760944814,2370.9928096884782,296.37568045747514,0.0,0.0,0.0,0.0,0.0,0.0,6.90858310935175,0.0,7.821029433544559,-0.08198144281723406,-9.083160485814231,0.0,0.022119497681638414,-1700.777004524282,-6.371212032227177,0.0,0.23640095472087408,-1289.2242129431577,-0.026507013168730956,356.52971532967643
1,ppg22_0,2018,9,11.2346,10.614527228912047,5.462927138395289,179.15509196095536,125.53110748103671,0.0,0.0,0.0,0.0,0.0,0.0,1.0440418353174477,0.0,0.23638658736887738,-0.006548595364522991,-0.2745338485182454,0.0,0.0017228030247075999,-161.82801559758752,-0.4814165074108246,0.0,0.01571921367979723,-85.59265855175407,-0.002002902059613159,31.218865691050862
2,ppg22_0,2018,10,13.0416,11.214177071399554,6.533631266891438,123.46557453959936,103.85966873669015,0.0,0.0,0.0,0.0,0.0,0.0,0.7195063429675744,0.0,0.40726732217739997,-0.0047264477869371855,0.0,0.0,0.0012182887977487426,-115.09876794624367,-0.3317704511199638,0.0,0.009848154604959514,-54.812440918605034,-0.0013803093779244876,21.24011120333007
3,ppg22_0,2018,11,9.91224,10.964300519624704,6.703023432063833,162.44447641659596,136.57978904225203,0.0,0.0,0.0,0.0,0.0,0.0,0.94665927403351,-0.2983910320404379,0.5358443206488926,-0.006419219348550882,-0.3111585246688014,0.0,0.0016029106624456228,-150.94134008452338,-0.436512585987236,0.0,0.012957282420123,-71.30779262969993,-0.0018160822158402134,26.69282895903613
4,ppg22_0,2018,12,14.05248,12.551044628257298,5.722263555370068,143.22993493992158,117.9704542746427,0.0,0.0,0.0,0.0,0.0,0.0,0.8346848672303678,0.0,0.0,-0.00565993002618399,0.0,0.0,0.0014184516996878843,-133.5401332111879,-0.3848802413636348,0.0,0.012567111143872826,-69.03070996654456,-0.0016998088484644703,24.50727315034775
5,ppg22_0,2019,1,8.06676,9.629586130451855,9.452519720848713,199.60785208877408,162.01250854238026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0076412886286588416,0.0,0.0,0.002005429171617849,-188.4632867252791,-0.5363761306058591,0.027842059039489213,0.014594796259137496,-96.43449552672064,-0.0023603017269746467,33.70049082874327
6,ppg22_0,2019,2,8.46196,8.686685183685176,9.049426005500333,190.28554104671252,153.51561994106618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3495317306430792,0.31384085418205593,-0.007832705966303316,-0.7289748414228099,0.0,0.0019117693565604186,-179.4947505502716,-0.5113256875861054,0.0,0.014545590605923451,-100.92112812462884,-0.0022091579217001734,31.490578368250265
7,ppg22_0,2019,3,12.14824,11.917712181906076,8.121532302389783,165.6812670925623,133.50374598480303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0068199225339036764,0.0,0.0,0.0016170147693081469,-151.6564885396373,-0.4452103262824615,0.0,0.012334432143699007,-85.50321910020494,-0.0019947507983749087,28.395612633678763
8,ppg22_0,2019,4,10.35736,9.865459630036565,2.334054317199212,155.46322971448703,125.15782059091511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006399318414984127,0.0,0.0,0.0015619149884178978,-141.80760388453402,-0.36553381613754377,0.0,0.011883743143397544,-70.78821079492421,-0.0018717288142036195,25.25178595086735
9,ppg22_0,2019,5,10.39324,10.394966695818498,2.231571785474467,154.9265327189249,125.05509763815228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5691629411872544,0.0,-0.005930820558182048,-0.5935161652310694,0.0,0.0015565228768353275,-136.5500742164281,-0.41631074769043336,0.0,0.012357618326531476,-68.87823201067022,-0.0018652671497126976,24.804589528436686
