,PPG,Year,Month,Vol.Sales,Vol.Sales_pred,perc Seasonal_index,perc Intercept,perc Wtd.Selling.Dist,perc Weighted_Price,perc display_platinum,perc display_gold,perc display_silver,perc display_bronze,perc promo_catalogue,perc promo_ins,perc Retailer 0_Promo.Group 20_promo_ins,perc Retailer 0_Promo.Group 3_promo_ins
0,ppg5_1,2018,8,103.60794,99.66285546098554,18.843050134183688,64.0150457046061,4.320716178108699,-0.5177422238038,0.0,1.193964860852653,0.0,2.517341093806429,3.727639542666665,0.0,0.3651797208482716,1.7271001554777277
1,ppg5_1,2018,9,119.839925,118.97978104046616,20.676733825086494,69.18048194769071,3.9020357212621897,-0.5408687020486529,0.0,1.0322456365466686,0.0,0.0,3.2227411196914155,0.0,0.3157171419029549,1.4931692362351454
2,ppg5_1,2018,10,85.15614,95.8762052368663,23.0473485400263,77.88595178762314,4.105015127634718,-0.6036806432692373,0.0,0.0,0.0,3.0628035160662623,0.0,0.0,0.8886151628494311,4.202663232098757
3,ppg5_1,2018,11,110.03724,98.4781769916329,20.026460841593714,60.27474893463418,3.290030753738004,-0.40624281121653794,0.0,0.0,0.0,2.370256878549761,0.0,0.0,0.6876857072544618,3.252376909539482
4,ppg5_1,2018,12,169.63242,123.71492054484536,21.230354931976567,48.87381650320798,3.2091121881516846,-0.38210658486365934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ppg5_1,2019,1,97.1892,93.60142139729302,21.24375833126732,68.24283988817777,3.895169712950149,-0.48294388267332516,0.0,2.545637574243435,0.8639979551782535,0.0,0.0,0.0,0.0,0.0
6,ppg5_1,2019,2,85.53168000000001,89.96391408844727,21.744176178001748,77.5439815336269,3.9865214039278856,-0.6271618335958171,0.0,0.0,0.0,0.0,0.0,0.0,0.44235678063221096,2.09210539630143
7,ppg5_1,2019,3,101.41858,111.55348264314674,22.819414418723287,81.74620240270676,3.5169898950336154,-0.6611486433172634,0.0,0.0,0.0,2.571683857204773,0.0,0.0,0.0,0.0
8,ppg5_1,2019,4,86.41108,89.7448682875011,21.457604286309248,76.75482142405912,3.248087328038408,-0.620779247977582,0.0,0.0,0.0,3.018322708229441,0.0,0.0,0.0,0.0
9,ppg5_1,2019,5,89.227745,87.62042085918537,21.149549211914255,74.33189098816838,3.3684688158796114,-0.6512816056366949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,ppg5_1,2019,6,132.3994,120.9251684339071,19.740724037166913,62.617985943101765,2.7510728388230676,-0.5317652074168879,0.0,1.8686525719199634,0.0,1.969922258005934,2.9170302439303746,0.0,0.0,0.0
11,ppg5_1,2019,7,86.25792,90.95348453782056,22.461472495624275,76.89110767405573,3.805854992226059,-0.7384842892740191,0.0,0.0,0.0,3.023682057330282,0.0,0.0,0.0,0.0
12,ppg5_1,2019,8,98.57618,94.93985441778436,19.80488194733754,67.2826540291994,3.3269035312970887,-0.6462019399154562,0.0,0.0,0.42592069435745183,0.0,3.9179145923308782,0.0,0.3838200933213731,1.815258912271982
13,ppg5_1,2019,9,106.3592,111.85374430985256,23.29745081613371,77.94891056039447,4.865320225500628,-0.9456552405550721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,ppg5_1,2019,10,111.99242,96.22566635407534,17.524607816343956,59.22246357798221,4.106053835545802,-0.7983011299534184,1.3136233509354334,1.1045768960553761,0.0,0.0,3.448564233885073,0.0,0.0,0.0
15,ppg5_1,2019,11,112.2555,95.21763197233264,19.630721683811032,59.083670862096604,3.672082114599028,-0.5973226841817405,0.0,1.1019882292211074,0.0,0.0,0.0,0.0,0.3370482391229336,1.594053647996999
16,ppg5_1,2019,12,192.99364,130.72802510939772,18.66049308448776,42.957808185156296,2.84494020001286,-0.4169220700174163,0.7622834516192784,0.0,0.0,0.0,2.001169852427444,0.0,0.0,0.927187493239296
17,ppg5_1,2020,1,83.96742,91.87477213268502,24.588868839952514,78.98857693210158,5.165037088290246,-0.7985568280431072,0.0,1.4732409268419824,0.0,0.0,0.0,0.0,0.0,0.0
18,ppg5_1,2020,2,77.25664,89.16168843323024,24.073217767695677,85.84979898763505,4.666659127465529,-0.8679222468665913,0.0,0.0,0.0,1.6879877574706257,0.0,0.0,0.0,0.0
19,ppg5_1,2020,3,100.16918,112.37392793122068,23.104038655187566,82.76581447582089,4.60304824991187,-0.8925267775199699,0.0,0.0,0.0,2.6037602085454914,0.0,0.0,0.0,0.0
20,ppg5_1,2020,4,76.10654,90.541713227419,24.36288340782029,87.14713629682925,5.234100569566454,-1.0278777093688742,0.0,3.250817595053724,0.0,0.0,0.0,0.0,0.0,0.0
21,ppg5_1,2020,5,95.93688,117.98297002777365,24.881404014273752,86.41706680554034,5.305341355835968,-1.04838863700013,1.5334651078893584,0.0,0.0,0.0,4.025699544098528,0.0,0.0,1.8651981311329606
22,ppg5_1,2020,6,79.2539,95.19700617229958,26.67051502680895,83.68631719650497,5.346785480906033,-1.0575624129248427,0.0,0.0,0.0,0.0,0.0,0.0,0.9547925996541362,4.51564627816996
23,ppg5_1,2020,7,82.77091999999999,89.32644222138055,23.407736649656176,80.13040104495741,5.462075152727892,-1.080133885575004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,ppg5_1,2020,8,92.80488,111.38009336444358,26.28753557835564,89.33348944662293,5.478086048766712,-1.0837698929328397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
