,PPG,Year,Month,Vol.Sales,Vol.Sales_pred,perc Seasonal_index,perc Intercept,perc Wtd.Selling.Dist,perc Weighted_Price,perc display_platinum,perc display_gold,perc display_silver,perc display_bronze,perc promo_catalogue,perc promo_ins,perc Retailer 0_Promo.Group 22_Wtd.Selling.Dist,perc Retailer 0_Promo.Group 22_promo_ins,perc Retailer 0_Promo.Group 20_display_silver,perc Retailer 0_Promo.Group 19_display_bronze,perc Retailer 0_Promo.Group 22_display_bronze
0,ppg5_0,2018,8,96.3878,84.01265055196207,19.372958100741922,36.05633719064265,16.946196379279378,-0.4975664980541176,0.0,0.0,0.0,0.0,0.0,13.130095258595523,-0.8100430909261854,2.9631058590075394,0.0,0.0,0.0
1,ppg5_0,2018,9,108.09748,104.10367100953036,20.087444551504475,40.18815954201968,18.860947899626378,-0.5545843911109292,0.0,0.0,0.0,0.0,0.0,14.634719002774782,-10.121957418076637,13.21063427735998,0.0,0.0,0.0
2,ppg5_0,2018,10,77.59408,81.69293974350987,21.991994624385196,44.78938364710588,21.649488360352006,-0.6386825486065265,0.0,0.0,0.0,0.0,0.0,16.310277739828262,-13.54316973939556,14.723146658448524,0.0,0.0,0.0
3,ppg5_0,2018,11,76.465,78.72063202669169,20.412375836032155,45.45074240324627,19.83307362398984,-0.5017651485112478,0.0,0.0,0.0,0.0,0.0,16.55111483379917,-13.736201549840684,14.940548220328093,0.0,0.0,0.0
4,ppg5_0,2018,12,136.5352,105.99306903395951,18.269762561463327,31.817720062886952,15.286271478241236,-0.36882289040626687,0.0,0.0,0.0,0.0,0.0,11.586581663249234,-9.420038934562696,10.45910706238563,0.0,0.0,0.0
5,ppg5_0,2019,1,61.07808,55.94399313934196,24.256993363903074,56.90079023217864,27.744100014738322,-0.7066922550778711,0.0,0.0,0.0,0.0,0.0,0.0,-16.600967799039086,0.0,0.0,0.0,0.0
6,ppg5_0,2019,2,64.55892,54.2565076149062,23.679236064216873,53.83285559709216,22.80961822473875,-0.6685893458413898,0.0,0.0,0.0,0.0,0.0,0.0,-15.61127533135501,0.0,0.0,0.0,0.0
7,ppg5_0,2019,3,85.91476,73.13169313357896,25.269806118820608,50.56452200215984,25.416011076902876,-0.7629007107924056,0.0,0.0,0.0,0.0,0.0,0.0,-14.645700028674923,0.0,-0.7205169900920863,0.0,0.0
8,ppg5_0,2019,4,45.31644,52.324704107966205,36.17396227971627,76.69161606393233,27.25253191054882,-1.0935983667556124,0.0,0.0,0.0,0.0,0.0,0.0,-22.193325345067695,0.0,-1.3660173720549091,0.0,0.0
9,ppg5_0,2019,5,42.68052,56.82468694262954,44.42258238239775,81.42803831500238,32.319806685114706,-1.4046027350750614,0.0,0.0,0.0,0.0,0.0,0.0,-23.626193399672548,0.0,0.0,0.0,0.0
10,ppg5_0,2019,6,71.84896,73.61488367688602,30.148463506892647,60.463488578405055,24.08408038728705,-1.0568785105143637,0.0,0.0,0.0,0.8781461825702228,1.211879416707112,4.403616265866804,-17.575710671063284,0.0,-0.8615718902498235,0.0,0.7623144839867043
11,ppg5_0,2019,7,51.99324,54.614710495301466,27.86498506350717,66.84313225842871,31.214016529256227,-1.3836223738261175,0.0,0.0,0.0,0.0,0.0,0.0,-19.49656661049202,0.0,0.0,0.0,0.0
12,ppg5_0,2019,8,66.80968,62.35780641116836,27.949794263685924,52.01927352240313,27.393809506741857,-1.076775254000783,0.0,0.0,0.0,0.4721912299657822,1.3032883219289875,0.0,-15.208571843508539,0.0,0.0,0.4834744436499507,0.0
13,ppg5_0,2019,9,72.92106,77.23209394485026,29.777435156007936,59.574542283536225,35.002354674948464,-1.041340071397839,0.0,0.0,0.0,0.0,0.0,0.0,-17.401073120289404,0.0,0.0,0.0,0.0
14,ppg5_0,2019,10,67.30034,62.50618590656974,25.355720197611404,51.64002169772435,32.015398127444016,-0.9501554791776821,0.0,0.0,0.0,0.0,0.0,0.0,-15.184505900894289,0.0,0.0,0.0,0.0
15,ppg5_0,2019,11,57.93638,61.01437226994332,26.94045292961346,59.9863335932315,37.16501904858923,-1.1037242368529225,0.0,0.0,0.0,0.0,0.0,0.0,-17.675370616474044,0.0,0.0,0.0,0.0
16,ppg5_0,2019,12,83.14304,81.72012970339209,30.00209861561362,52.25017959807919,32.323293571351684,-0.9613821373611207,0.0,0.0,0.0,0.0,0.0,0.0,-15.32559002059242,0.0,0.0,0.0,0.0
17,ppg5_0,2020,1,43.13948,59.62202944595352,34.34372832588481,80.56172716648939,49.76658092175356,-1.4823031432349423,0.0,0.0,0.0,0.0,0.0,0.0,-23.5472065442138,0.0,-1.4349511000059336,0.0,0.0
18,ppg5_0,2020,2,42.92382,59.43048247821488,35.6143956136917,80.96648941926011,46.906050821282925,-1.3966411919168857,0.0,0.0,0.0,0.0,0.0,0.0,-23.634578283358845,0.0,0.0,0.0,0.0
19,ppg5_0,2020,3,66.92022,78.53966425369305,32.4423519221097,64.91668396084594,40.13220890789187,-1.19444068626644,0.0,0.0,0.0,0.0,0.0,0.0,-18.933674913294723,0.0,0.0,0.0,0.0
20,ppg5_0,2020,4,70.7248,65.22582564297507,23.178223073250482,49.139637268175036,28.515514802183578,-0.6329045930291022,0.0,0.0,0.0,0.0,0.0,0.0,-7.9756418582753685,0.0,0.0,0.0,0.0
21,ppg5_0,2020,5,108.67638,92.12904994345692,20.988931097405526,39.97408427047609,24.64548100540864,-0.4413041739257481,0.0,0.0,0.0,0.0,0.0,0.0,-0.39343552523079556,0.0,0.0,0.0,0.0
22,ppg5_0,2020,6,64.27034,71.25710119966121,27.712839431941767,54.07457028956476,29.8209472905994,-0.5969701121996951,0.0,0.0,0.0,0.0,0.0,0.0,-0.14049186549191758,0.0,0.0,0.0,0.0
23,ppg5_0,2020,7,50.1722,66.28407055655703,28.876366912420494,69.26925703605235,29.07888175601935,-0.8125104955726394,0.0,0.0,0.0,0.6287734038535349,0.0,6.306186472620563,0.0,0.0,-1.2338116383113353,0.0,0.0
24,ppg5_0,2020,8,84.96268,84.93400712797327,27.49915671078458,51.13114101780077,21.991352843375292,-0.6491466737667854,0.0,0.0,0.0,0.0,0.0,0.0,-0.006251505998522646,0.0,0.0,0.0,0.0
25,ppg5_0,2020,9,65.81757999999999,65.18277353021179,25.864167211736046,52.803385020601276,20.99539400194873,-0.6193700693032104,0.0,0.0,0.0,0.0,0.0,0.0,-0.00806995188322892,0.0,0.0,0.0,0.0
