,PPG,Year,Month,Vol.Sales,Vol.Sales_pred,perc Seasonal_index,perc Intercept,perc Wtd.Selling.Dist,perc Weighted_Price,perc display_platinum,perc display_gold,perc display_silver,perc display_bronze,perc promo_catalogue,perc promo_ins,perc Retailer 1_Promo.Group 19_display_silver,perc Retailer 1_Promo.Group 20_display_platinum
0,ppg3_1,2018,8,87.26711999999999,100.02740799112875,73.33252853398314,-7.639447855724517,21.07765763319408,-0.6014610977676601,10.792332334637278,1.737495261256302,0.0,0.0,12.538590387766568,1.8010411820933012,0.0,1.5833664138343801
1,ppg3_1,2018,9,104.239895,96.31071254481996,46.510148616124205,-7.9944513177902525,26.926341957786775,-0.768094612144418,0.0,1.4545890272000468,2.2552128450350817,0.0,20.994009481687822,3.0155762716890293,0.0,0.0
2,ppg3_1,2018,10,95.184625,117.11453434592153,49.53683036629054,-7.003994739268594,19.67507848527903,-0.5607775535877413,19.789241401679554,0.0,0.0,1.1098763439036734,34.48687239142051,1.6512296703661746,0.0,4.354983596564714
3,ppg3_1,2018,11,47.37362,66.92507393526041,54.950676289498254,-14.072655050622137,52.68264237501113,-1.502310108358944,19.880595169351032,0.0,0.0,0.0,23.09738356494757,3.3177045993672842,0.0,2.9167251065055724
4,ppg3_1,2018,12,79.88782499999999,97.1753540357828,47.880382881606224,-10.431386333888394,37.111632632194805,-1.0579111207774412,11.789227719326087,0.0,0.0,1.3223937889264379,27.393577732278267,5.902213896648631,0.0,1.7296230913791246
5,ppg3_1,2019,1,27.247845,35.2050331055628,45.86732514916498,-24.46698492153247,91.58738000910563,-2.61194484171337,0.0,0.0,8.62758688509525,0.0,0.0,5.768224127914627,4.431413335845285,0.0
6,ppg3_1,2019,2,38.63955,56.57185998581128,47.83092047303366,-17.253632942393324,58.11894139454494,-1.6577025709667916,0.0,0.0,0.0,2.7340681656707235,56.63661569557987,0.0,0.0,0.0
7,ppg3_1,2019,3,51.235515,59.64596229755002,44.376690839772,-16.264904645714353,60.856993091283776,-1.736341193104906,0.0,0.0,0.0,2.061912788245462,21.3564101385547,3.0676314459350698,0.0,2.6968759236645616
8,ppg3_1,2019,4,57.00415,63.343317141999336,58.32436345424852,-11.695159260496894,41.049480765273856,-1.1704718241274226,0.0,2.659915242372442,0.0,0.0,19.195210734658293,2.757197098152993,0.0,0.0
9,ppg3_1,2019,5,87.47048,84.34119508903011,62.004858289395024,-7.621686913793706,24.978030022680738,-0.7119388697891106,0.0,3.4669115217724893,0.0,0.0,12.509439436025408,1.7968539438983067,0.0,0.0
10,ppg3_1,2019,6,214.009665,147.37080739458727,35.396243558885736,-3.89393986458073,11.79678786231607,-0.2992990123880614,8.801618944888974,0.0,0.0,0.9872746970641928,15.338653121111209,0.7344139198698243,0.0,0.0
11,ppg3_1,2019,7,109.39287,110.8023327528658,63.29437904753057,-6.094296755896924,19.878016834642803,-0.3462066312371492,0.0,0.0,2.1489805521064413,0.9657225703178115,20.005082086246965,1.4367634468560697,0.0,0.0
12,ppg3_1,2019,8,109.962855,105.74804043676556,58.19709362291956,-6.062707382045091,18.754572701753165,-0.372149979303869,8.564853658325545,0.0,0.0,1.92143362576103,9.950693550109001,2.8586321619728396,1.0980659214972661,1.2565682005987795
13,ppg3_1,2019,9,109.9984,106.6689429433388,44.07530480606247,-7.575935340414655,21.395260661128344,-0.4529057489644283,17.124172004805004,0.0,0.0,0.0,19.89495614481795,0.0,0.0,2.5123243036272256
14,ppg3_1,2019,10,84.18278,92.9260786971961,56.01079724504201,-7.919346602229743,23.955654622245323,-0.4861169257233409,11.187748384249979,0.0,0.0,0.0,25.9959738084219,0.0,0.0,1.6413787575090124
15,ppg3_1,2019,11,51.802865,54.579588324011,50.25228734514396,-12.869415866463255,39.571705527864474,-0.8243158156857394,0.0,0.0,0.0,2.0393305194769096,21.122512664117547,6.0680688978371355,0.0,0.0
16,ppg3_1,2019,12,65.543525,60.43998533224615,58.35907740053274,-12.714311077243213,38.57740115843203,-0.8143809956310184,0.0,0.0,0.0,1.6118016782106577,0.0,7.193922372774944,0.0,0.0
17,ppg3_1,2020,1,22.320015,27.365214513254458,55.9939483118201,-29.86882458453787,85.07984731485898,-1.8334519135602887,0.0,0.0,0.0,0.0,0.0,7.041737067052954,0.0,6.190669085126265
18,ppg3_1,2020,2,34.763135,36.36694588400682,53.16451589201628,-19.177574541515146,56.73464714291222,-1.2283679512027108,0.0,0.0,0.0,6.077884724196607,0.0,9.042434001575403,0.0,0.0
19,ppg3_1,2020,3,38.83729,40.147330170881176,58.54328685578991,-21.457232622283055,59.978204812983535,-1.2958490136228764,0.0,0.0,0.0,0.0,0.0,4.04692698596318,0.0,3.557813298509101
20,ppg3_1,2020,4,75.817085,79.25232695501029,43.85199936136427,-8.79317125894848,26.874950308013183,-0.5749567431902411,24.844420249780676,0.0,0.0,0.0,14.43219126665278,2.073037719172109,0.0,1.8224893088418594
21,ppg3_1,2020,5,148.620495,120.1834980843936,43.81837178526371,-5.607172590490076,15.676687216201001,-0.3352088669660855,6.337051702907271,0.0,1.5817680473282514,0.0,14.72484225005537,2.115074061120277,1.6248965353808744,0.929722558386409
22,ppg3_1,2020,6,64.323395,83.71039647026404,100.84083463537614,-10.364387836793346,35.53719998553815,-0.760676335327828,0.0,0.0,0.0,0.0,0.0,4.886921063873508,0.0,0.0
23,ppg3_1,2020,7,167.79273,118.78514856882352,41.26492118506705,-3.973191286411837,14.179420645039537,-0.27039783532139067,5.612971199209116,0.0,0.0,0.0,13.042360917544777,0.9367013514988279,0.0,0.0
