,PPG,Year,Month,Vol.Sales,Vol.Sales_pred,perc Seasonal_index,perc Intercept,perc Wtd.Selling.Dist,perc Weighted_Price,perc display_platinum,perc display_gold,perc display_silver,perc display_bronze,perc promo_catalogue,perc promo_ins,perc Retailer 0_Promo.Group 22_Wtd.Selling.Dist,perc Retailer 0_Promo.Group 22_promo_ins,perc Retailer 1_Promo.Group 3_promo_ins
0,ppg19_0,2018,8,26.92248,26.46116441091761,49.917495365904195,203.86508979935144,-167.95947705481103,0.0,0.0,0.0,0.0,0.0,0.0,10.4310422036758,-1.1415513530914003,2.4451732181436965,0.7287319278695448
1,ppg19_0,2018,9,30.11216,29.169006827783104,47.00752739332447,227.83793170355605,-187.56642466026955,0.0,0.0,0.0,0.0,0.0,0.0,11.657646159708305,-14.30271524938286,10.93082114700661,1.3030796032851355
2,ppg19_0,2018,10,20.97628,21.28989151343546,48.08939354680684,261.6552507318382,-215.40636147107045,0.0,0.0,0.0,0.0,0.0,0.0,13.387956544612184,-19.719720925560097,12.553251017246014,0.9353074402815591
3,ppg19_0,2018,11,20.7818,20.705667308725214,45.21843937639778,264.1038698679249,-216.92248133163224,0.0,0.0,0.0,0.0,0.0,0.0,13.513243564446661,-19.89420151057718,12.670726705484473,0.944060223533537
4,ppg19_0,2018,12,42.91352,33.6625539408275,44.571869887020725,159.87251228812164,-131.42602456640225,0.0,0.0,0.0,0.0,0.0,0.0,8.180100499435191,-11.797324234458664,7.67009174055278,1.3715447313640965
5,ppg19_0,2019,1,12.37912,12.741569463506572,54.3770049122556,443.3718877287919,-364.1647889783535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.2410618635008,0.0,1.5848679674669333
6,ppg19_0,2019,2,11.39788,12.277554300890232,56.70006910582368,481.5416378152114,-395.7180893070639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.80574112386748,0.0,0.0
7,ppg19_0,2019,3,17.74188,19.217118993760216,66.32004085104111,386.69477268060393,-317.88927293786196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.916348071762126,0.0,1.1058169006570477
8,ppg19_0,2019,4,18.76992,18.493393411030816,67.25595085075321,292.41221075109763,-241.0957090727522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.09094646249565,0.0,1.0452506325775104
9,ppg19_0,2019,5,25.42904,23.244495719027668,68.45921334526244,215.8380262417001,-178.05056128160226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.608954618216092,0.0,0.7715301385120814
10,ppg19_0,2019,6,35.58412,32.140416005766255,69.92041836805569,192.80207726161424,-158.98273957180652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.968747815332886,0.0,0.5513490498972368
11,ppg19_0,2019,7,20.39804,20.75835083094905,73.59782177095191,269.0726071142738,-222.30458732764333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.56126365002483,0.0,0.9618213687898081
12,ppg19_0,2019,8,21.78852,19.73197305244317,61.679396794213126,251.90117561088329,-208.22366722045578,0.0,0.0,0.0,0.0,0.8798207619216996,0.8798207619217001,0.0,-18.356100210169412,0.0,1.8008814507299495
13,ppg19_0,2019,9,21.0834,21.067674424673218,67.13804159064331,325.4072992746214,-268.9297307609809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.690197577493972,0.0,0.0
14,ppg19_0,2019,10,14.97392,15.59306651495626,67.36623302835953,366.54087926349564,-302.9087707894461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.863508973877664,0.0,0.0
15,ppg19_0,2019,11,13.065,15.298467261580551,71.92656436528307,420.0959665381739,-347.0782904318992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.85253096897869,0.0,3.003332683265099
16,ppg19_0,2019,12,26.15548,26.59618354843809,73.12944858339674,262.30419986658825,-216.82289608651058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.176119828207604,0.0,2.25030518500474
