,PPG,Year,Month,Vol.Sales,Vol.Sales_pred,perc Seasonal_index,perc Intercept,perc Wtd.Selling.Dist,perc Weighted_Price,perc display_platinum,perc display_gold,perc display_silver,perc display_bronze,perc promo_catalogue,perc promo_ins,perc Retailer 0_Promo.Group 22_promo_ins,perc Retailer 1_Promo.Group 3_display_bronze
0,ppg6_0,2018,8,98.9383,119.0842701368034,73.00366314161624,60.179669117885396,-25.036505409905157,-0.022030594970626843,0.0,0.0,-1.686244980517084,0.0,12.772905247349547,0.0,1.150698616444215,0.0
1,ppg6_0,2018,9,266.42692,239.93427642511895,59.666654066794536,27.934837426929683,-13.239739437986856,-0.009276127235651601,4.706959834158429,0.0,-0.6261912713471051,0.0,9.486500322368654,0.0,2.1365739791486287,0.0
2,ppg6_0,2018,10,173.86798,181.45831367974031,64.39978761371324,34.244799744530766,-16.750514899718272,-0.011668447579075458,0.0,0.0,0.0,-1.9423028146930452,21.804984412319804,0.0,2.619186463737434,0.0013009790010205446
3,ppg6_0,2018,11,175.28986,192.27495544902297,72.93252165723646,33.967019866899776,-16.560347109889303,-0.011573797881461826,0.0,2.3454171893652065,0.0,0.0,14.418740835708851,0.0,2.597940689172613,0.0
4,ppg6_0,2018,12,158.25822,156.17790848539605,62.28542891226787,47.02815876709343,-23.00619113924457,-0.016082472316603584,0.0,0.0,-1.0541898661307667,0.0,7.985237867795074,1.864792489281164,3.596911582960515,0.0014293007398279852
5,ppg6_0,2019,1,179.06472,188.35109164601795,68.23273770133888,33.25096175888852,-16.472597558980066,-0.011535807426838967,7.003394142511943,0.0,-0.9316978339222457,0.0,14.114779630893723,0.0,0.0,0.0
6,ppg6_0,2019,2,168.70294,184.95764716178184,70.52076948207701,35.293244783321974,-17.468124885630168,-0.012244339825143771,7.4335444964891595,0.0,-0.9889229657520694,-1.0008843560728522,14.98171319638939,0.8746698191003847,0.0,0.0013408100115496506
7,ppg6_0,2019,3,180.5006,202.25367336299044,72.41489577906025,41.23306347102226,-19.803498911926614,-0.013896334557745905,0.0,0.0,-1.8485723787720756,-0.9354657739059984,21.003745105010907,0.0,0.0,0.0012531736234110025
8,ppg6_0,2019,4,194.1307,176.3988998054473,62.02550896038449,30.67044087867648,-14.679139217571421,-0.010640543339414322,6.459878891790639,0.0,0.0,-0.8697858374254925,6.5096841006283075,0.7601032191791565,0.0,0.0
9,ppg6_0,2019,5,126.11796,129.56728164460472,59.979202077906145,47.210358913877776,-21.832937861886872,-0.016378762603366244,0.0,0.0,-2.6456852260517603,0.0,20.040437241989068,0.0,0.0,0.0
10,ppg6_0,2019,6,212.85864,192.03498558787456,59.264632888865364,34.964954658911665,-15.831073855144048,-0.011957153545775543,5.891519419547832,0.0,0.0,0.0,5.936942617099516,0.0,0.0,0.00212534093922483
11,ppg6_0,2019,7,249.6535,231.9823039826817,61.94591415031265,23.849351829980673,-10.669230518979038,-0.008274092399509079,0.0,3.293587718701484,0.0,-0.6763459493638064,15.185801896234304,0.0,0.0,0.0009060501492262676
12,ppg6_0,2019,8,111.97158,119.76306681272176,64.50617491513624,53.17486952569644,-20.487302952751044,-0.017503675540534926,0.0,0.0,0.0,-1.5079909872620982,11.286163249941135,0.0,0.0,0.004040285774834293
13,ppg6_0,2019,9,216.35176,225.5473582922365,73.47665149440678,34.40042593763785,-13.755916181180709,-0.010786598641330119,0.0,0.0,-1.542249637866532,0.0,11.682174725399449,0.0,0.0,0.0
14,ppg6_0,2019,10,158.995,158.64592407784988,70.42398179078174,37.44818489314809,-14.844662919498933,-0.012063959625500675,0.0,0.0,-1.0493047690549604,-1.061996499698085,7.94823441764737,0.9280755370389199,0.0,0.0
15,ppg6_0,2019,11,205.6102,200.7548197896048,62.17751605097388,28.958068019417716,-11.06939916923144,-0.009017900305049361,6.099214976584532,0.0,-0.8114101914977634,0.0,12.29247898434848,0.0,0.0,0.0011001331204865323
16,ppg6_0,2019,12,134.58278,143.36715750420203,73.24251372718001,55.30122573153564,-21.684261113400765,-0.01761433607640197,0.0,0.0,0.0,-2.509268027744664,0.0,2.1928417589754505,0.0,0.0016807394744696163
17,ppg6_0,2020,1,199.5581,181.49535696559627,61.225658448961426,29.836294077193966,-12.50798066159934,-0.008771839785178603,6.284188971425069,0.0,0.0,-1.692260384013448,6.332639623417159,1.4788612440337232,0.0,0.0
18,ppg6_0,2020,2,200.2223,188.11415229682703,59.41926120461443,29.73731775674378,-13.144106135573413,-0.009100903334062441,6.2633423508697135,0.0,-0.8332449070652642,-0.8433233134845471,12.623264553786903,0.7369776993446938,0.0,0.0022594745033880847
19,ppg6_0,2020,3,225.0406,205.10389176583715,58.08255104660155,33.07222206285266,-14.52287796694423,-0.010103770990967275,0.0,0.0,-1.482703225603677,-1.5006370714395272,16.846687192006826,0.6557011046517964,0.0,0.0
20,ppg6_0,2020,4,178.22518000000002,178.44990502689353,67.56091071046028,33.40759233395685,-14.839555967352801,-0.010403537173037278,7.03638403495253,0.0,0.0,-0.9474089658346649,7.090634057622182,0.8279378369066765,0.0,0.0
21,ppg6_0,2020,5,118.66178,149.4652232725856,70.3247325985859,62.721060617476,-25.537779903716807,-0.019741941257737497,0.0,0.0,-1.4059641761306247,-1.4229698346805268,21.299689440590626,0.0,0.0,0.0
22,ppg6_0,2020,6,165.78462000000002,164.58182103526113,71.38530592973106,35.91451460989614,-14.629814357327731,-0.011912904116232735,0.0,0.0,-1.0063310562577725,0.0,7.622718749386062,0.0,0.0,0.0
