,PPG,Year,Month,Vol.Sales,Vol.Sales_pred,perc Seasonal_index,perc Intercept,perc Wtd.Selling.Dist,perc Weighted_Price,perc display_platinum,perc display_gold,perc display_silver,perc display_bronze,perc promo_catalogue,perc promo_ins,perc Retailer 1_Promo.Group 6_promo_catalogue,perc Retailer 1_Promo.Group 20_promo_ins,perc Retailer 1_Promo.Group 5_Wtd.Selling.Dist,perc Retailer 1_Promo.Group 5_promo_catalogue,perc Retailer 1_Promo.Group 6_display_silver
0,ppg22_1,2018,9,9.13796,8.895908038543865,22.083637542400595,-44.89317253533887,75.97256393451026,0.0,0.0,0.4291561638544676,0.0,0.0,0.0,0.0,-14.045030471310294,-4.227516448124006,55.63950409971091,6.59430985431104,-0.20231426521638307
1,ppg22_1,2018,10,13.26,12.661993023209757,17.27141755004405,-30.93755768484353,86.0650578486711,0.0,0.0,0.0,0.0,3.372962179666024,0.0,0.0,-14.518430616019751,-2.913339080113065,37.15003326571551,0.0,0.0
2,ppg22_1,2018,11,13.60424,13.791935994446195,15.975293780393207,-30.15471756606949,83.97141800720681,0.0,0.0,0.0,0.0,1.6438065817117118,0.0,0.0,-4.717019350056107,-2.8396203097195607,37.500526324897656,0.0,0.0
3,ppg22_1,2018,12,18.41944,17.61792148898964,17.60675469681545,-27.839609598678432,77.4934974309459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.967797427371004,-6.291864932207369,41.64753840103638,0.0,0.0
4,ppg22_1,2019,1,13.57252,13.86583289810442,16.322177086259416,-30.22519140889276,84.12549735729776,0.0,0.0,0.2889376371562223,-0.08177478697685618,0.0,0.0,0.0,-4.728043379034055,-2.8462567159451035,39.30573334727735,0.0,0.0
5,ppg22_1,2019,2,12.39472,12.70118309022113,15.141526763646388,-33.09732006056008,92.16564179831114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.354645094493026,0.0,38.766481365731806,0.0,-0.14915541964455026
6,ppg22_1,2019,3,15.01968,15.96410738596064,15.85287545903665,-34.14120797688643,94.97727873308378,0.0,0.0,0.0,0.0,2.9777917041089745,0.0,0.0,-4.272492045290399,-2.5720172601746003,33.46570419135251,0.0,0.0
7,ppg22_1,2019,4,12.34272,12.624157896851216,15.623518947934409,-33.23675939347447,92.55393654805125,0.0,0.0,0.0,0.0,3.623632270874773,0.0,0.0,-5.199134657742159,-3.1298511351063008,32.04485090073093,0.0,0.0
8,ppg22_1,2019,5,10.78948,12.31285360199363,16.587912393603347,-38.02148156361801,105.82484006568168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.947595558155472,-3.5804205765522754,39.25580938294416,0.0,0.0
9,ppg22_1,2019,6,17.66232,16.78928262133396,14.440949180484925,-29.03299332286367,80.84776827947596,0.0,0.0,0.44406531634072643,0.0,2.5322538886381563,2.8058718872257136,0.0,-7.266481789799674,-2.187191501586385,29.06112075832663,3.4117001433730163,0.0
10,ppg22_1,2019,7,12.91628,13.445570162254256,16.237536592744448,-31.760848704195414,88.44398880408005,0.0,0.0,0.0,0.0,3.462721348745264,0.0,0.0,-4.9682620168351335,-2.9908670454882706,35.816716497293804,0.0,-0.14313251671353516
11,ppg22_1,2019,8,14.18924,13.59327379525588,13.898712565113255,-28.911486090941107,80.50940879922838,0.0,0.0,0.0,-0.039110267066422164,0.0,3.4926611397921574,0.0,-4.522544077259057,-5.4450944803667065,32.57054756312765,4.246777112537395,0.0
12,ppg22_1,2019,9,15.64056,17.33806155903909,16.392696483575257,-32.785911669804754,91.29846723122151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.205775665680424,-2.4699164353641585,46.62364198129752,0.0,0.0
13,ppg22_1,2019,10,15.9016,16.19274891688787,14.402261200985064,-25.798159612933613,71.83977233173789,0.0,1.5539215309097305,0.24661743843736292,0.0,0.0,3.1165547587151274,0.0,-8.071069995825237,0.0,40.75157943282595,3.7894639329564384,0.0
14,ppg22_1,2019,11,14.00256,13.889213018840994,15.520856947513634,-29.296929625798796,81.58274799110757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.582837946975931,-5.51768765172929,41.48437700986039,0.0,0.0
15,ppg22_1,2019,12,22.89872,20.315511833489584,14.162650215064879,-22.39382894005785,62.34728362453046,0.0,1.0790925700613034,0.0,0.0,0.0,2.1642348197272367,0.0,0.0,-5.06109636725973,33.789124148743696,2.6315243680127143,0.0
16,ppg22_1,2020,1,15.37952,14.65949532208086,14.404420615649748,-26.673915369336964,74.27847707278012,0.0,0.0,0.2549892232693589,0.0,0.0,0.0,0.0,-4.172527056943735,-2.5118388741845807,39.73868339961205,0.0,0.0
17,ppg22_1,2020,2,12.13784,13.723976574503274,15.461975492171847,-33.79777743824479,94.06904320635888,0.0,0.0,0.0,0.0,1.8423985858427643,0.0,0.0,0.0,-6.36536256900721,41.857423191028325,0.0,0.0
18,ppg22_1,2020,3,16.10076,16.398637571358766,14.788439581397622,-31.848808293911684,88.54674197764488,0.0,0.0,0.0,0.0,2.777848902932003,0.0,0.0,-7.971234068802627,-4.7986400893248815,40.355735907586386,0.0,0.0
19,ppg22_1,2020,4,12.8622,13.461519694044124,14.99251448345143,-31.89438936581807,85.30060071756638,0.0,0.0,0.6097886612019049,0.0,0.0,0.0,0.0,-4.989151414439777,-3.003442350632026,43.64362191335089,0.0,0.0
