,PPG,Year,Month,Vol.Sales,Vol.Sales_pred,perc Seasonal_index,perc Intercept,perc Wtd.Selling.Dist,perc Weighted_Price,perc display_platinum,perc display_gold,perc display_silver,perc display_bronze,perc promo_catalogue,perc promo_ins,perc Retailer 0_Promo.Group 22_Wtd.Selling.Dist,perc Retailer 0_Promo.Group 20_display_silver,perc Retailer 1_Promo.Group 3_display_bronze,perc Retailer 1_Promo.Group 6_promo_catalogue
0,ppg19_1,2018,8,34.46924,42.45493943873024,53.27349188374679,113.63732256674759,-44.19543747740231,0.05482259521256401,0.0,0.542391192997982,0.0,1.2546283973153067,5.419867016257811,0.0,-1.941007903400443,0.0,0.0,-4.878467268940124
1,ppg19_1,2018,9,37.25852,40.836009174319976,57.911698613443185,131.41263208088506,-51.11112134627004,0.06339802251286149,0.0,0.5017862278301382,0.0,0.0,5.014120178457824,0.0,-25.164209816248643,0.0,0.0,-9.026502347663927
2,ppg19_1,2018,10,17.00712,23.313911229332003,79.79509659905641,230.3148413435454,-89.59579178340688,0.11111188677475786,0.0,0.0,0.0,0.0,0.0,0.0,-52.94768244092955,0.0,-0.9319831526481579,-29.662351848856538
3,ppg19_1,2018,11,24.14152,26.45183479072848,52.782300613726285,162.25126439887126,-63.086330118059465,0.07827565090370117,0.0,0.0,0.0,1.7913572690483721,0.0,0.0,-37.28151551695089,0.0,0.0,-6.965471069147331
4,ppg19_1,2018,12,46.16872,42.75358111334079,59.26360021610056,106.05102720279656,-41.26367850324004,0.05116270257776044,0.0,0.0,0.0,0.0,0.0,0.0,-23.871423418526756,0.0,-0.34331359663134564,-7.284458357313856
5,ppg19_1,2019,1,21.51604,24.776217470289843,48.306806245172,182.04986347444222,-70.92689122191881,0.08782718343174302,0.0,2.6067732080811,1.2251225787621731,0.0,0.0,0.0,-40.38176176520791,0.0,0.0,-7.815427891249584
6,ppg19_1,2019,2,16.60152,20.412682813438053,52.12703381747892,235.94177789206276,-91.99251344045446,0.11382651659635502,0.0,0.0,0.0,0.0,0.0,0.0,-52.02063013041383,0.0,-0.9547528970278347,-20.25803168929612
7,ppg19_1,2019,3,24.83468,33.4430064736212,61.888506841411825,197.15334285113792,-76.77264950277063,0.09511362698274752,0.0,0.0,0.0,0.8706793753307203,0.0,0.0,-43.41583611833657,2.2526576547779604,-0.6382344896356844,-6.771058017467577
8,ppg19_1,2019,4,46.70846,41.29978821003316,53.009060164468316,83.86044293711757,-28.557362972869317,0.03540004407829181,0.0,0.0,0.0,0.9258726864014926,0.0,0.0,-18.450640108337172,1.1977280348348267,0.0,-3.6001413689349144
9,ppg19_1,2019,5,48.40004,41.46615271460466,57.50719012280793,80.92952287871329,-31.474832279344707,0.03904321549744008,0.0,0.0,0.0,0.0,0.0,0.0,-17.852808965336997,0.0,0.0,-3.4743165320781073
10,ppg19_1,2019,6,66.15232,53.28967860473287,53.249336548818995,74.01464046367985,-28.775381646762327,0.03570723581207583,0.0,0.2826176346548958,0.0,0.0,2.8240687091771592,0.0,-16.357507299567768,0.845685109848923,-0.479207662408984,-5.083935351783329
11,ppg19_1,2019,7,46.21966,38.80755321537396,49.870255532449825,84.74731628295488,-28.851082095409357,0.0357744202971015,0.0,0.0,0.0,0.9356643328375125,0.0,0.0,-18.7934751825237,0.0,-0.3429352209658301,-3.63821497443386
12,ppg19_1,2019,8,38.3344,33.95679854541848,47.90206126557139,102.17956051250674,-39.74932129772253,0.049294972447846315,0.0,0.0,0.6876274680065442,0.5640637043735739,4.873395617290851,0.0,-22.712658798851418,0.0,-0.8269517360420687,-4.386583828760634
13,ppg19_1,2019,9,31.17608,37.25663808533848,69.21024647816355,157.05118092583476,-61.16892900567704,0.07576694984603259,0.0,0.0,0.0,0.0,0.0,0.0,-34.876774988111364,0.0,0.0,-10.787569131541982
14,ppg19_1,2019,10,29.86672,28.357261589052012,45.438025443428145,131.14905635806804,-51.17285309058018,0.06327086442048942,3.7936165463841216,0.0,0.0,0.0,6.255079129930384,0.0,-29.31967919780629,0.0,0.0,-11.260497244105927
15,ppg19_1,2019,11,18.58948,26.03250925178217,68.54656321275718,210.71015136037366,-82.21667711294202,0.10165390273448854,0.0,0.0,0.0,0.0,0.0,0.0,-47.20428947655937,0.0,-0.852651570407862,-9.045818340547541
16,ppg19_1,2019,12,46.47448,49.16669006648531,58.87369938445974,105.3533074633282,-41.10764861859383,0.05082609831795643,2.4379591375357306,0.0,0.0,0.0,4.019812528326824,0.0,-23.494022790386744,0.0,-0.34105490400463956,0.0
17,ppg19_1,2020,1,18.76264,24.65921944171684,55.39578521164241,208.7655119168005,-81.45790117262246,0.10071574105801316,0.0,0.9964382520441557,0.0,0.0,0.0,0.0,-46.3926493927661,2.9816716627276922,0.0,-8.96233467812854
18,ppg19_1,2020,2,17.12152,23.76516164422624,50.54387662202612,228.7759582391422,-89.26574713328567,0.11036947606314859,0.0,0.0,0.0,1.2629161236232722,0.0,0.0,-50.77298849183283,0.0,-1.851511935279758,0.0
19,ppg19_1,2020,3,35.720879999999994,31.463307863484992,43.02753076307957,137.06941656079857,-53.48290953559561,0.0661270520142813,0.0,0.0,0.0,1.2106669079226677,0.0,0.0,-30.394776091164445,0.0,0.0,-9.415056914904769
20,ppg19_1,2020,4,49.88932,42.52750959756384,49.62929072454108,78.5136406852336,-30.627437572122712,0.03787770993480609,0.0,0.7494915627366242,0.0,0.0,0.0,0.0,-9.688546080513689,0.0,0.0,-3.370602347862061
