,PPG,Year,Month,Vol.Sales,Vol.Sales_pred,perc Seasonal_index,perc Intercept,perc Wtd.Selling.Dist,perc Weighted_Price,perc display_platinum,perc display_gold,perc display_silver,perc display_bronze,perc promo_catalogue,perc promo_ins,perc Retailer 0_Promo.Group 20_display_platinum,perc Retailer 1_Promo.Group 22_display_bronze
0,ppg3_0,2018,8,84.564665,84.7062785812287,67.98346165062335,-55.950585007962786,75.71480733702758,-0.08873394553249728,0.0,0.0,0.0,-0.3835362083148068,11.914036189620493,0.9780118685639753,0.0,0.0
1,ppg3_0,2018,9,145.779535,126.65299595136848,56.845066603567176,-40.570187696033564,57.95612104458689,-0.06801831320863666,3.123385914428111,2.337438908274058,0.0,-0.22248397878009313,6.911165405851606,0.5673309770890448,0.0,0.0
2,ppg3_0,2018,10,47.913645,79.26130195730433,118.16075832872701,-98.74937458321935,132.08488656925826,-0.17338965290024833,0.0,0.0,0.0,0.0,10.51377409476083,3.452262754425659,0.0,0.13640539498916185
3,ppg3_0,2018,11,49.837375,57.72256405303197,76.5736177526056,-94.93763421031696,121.51620226936424,-0.17207410251749816,0.0,0.0,0.0,-0.6507889103611868,10.10794086940909,3.319004904697994,0.0,0.06557006334699089
4,ppg3_0,2018,12,71.15872,91.7974757614446,86.45955448983138,-83.11424231900875,104.57129326212291,-0.15064424948469068,0.0,0.0,0.0,0.0,21.23787104039674,0.0,0.0,0.0
5,ppg3_0,2019,1,68.72206,67.52869937026949,64.51533546791234,-68.84896171262031,83.45637697306162,-0.12088884232713222,6.62561259413469,0.0,0.0,0.0,7.330298881997524,0.0,5.305723643416305,0.0
6,ppg3_0,2019,2,67.85069,69.84385890684146,61.53554869232046,-69.73315198050891,91.13299677631717,-0.1316573686611396,0.0,5.022067677411974,0.0,-0.9560289209000483,14.848875953555279,1.2189300658716458,0.0,0.0
7,ppg3_0,2019,3,70.21215,75.01390422131125,66.20252668681037,-84.23475277698368,111.14066218384839,-0.15903663588215675,0.0,0.0,-0.5530227154997978,0.0,14.349460587279179,0.0,0.0,0.09308473920248107
8,ppg3_0,2019,4,71.19717,72.9884051713562,73.01258722169493,-66.45548520752152,89.18966851212338,-0.12546907843728478,0.0,0.0,-0.2726857953348365,0.0,7.075467179194998,0.0,0.0,0.09179690248356051
9,ppg3_0,2019,5,51.51521,65.88642412444575,83.5616393816242,-91.84554382584086,118.04393231734774,-0.1612675222664475,0.0,0.0,0.0,-1.2591858199359702,19.557456509895495,0.0,0.0,0.0
10,ppg3_0,2019,6,107.954645,111.10236781589902,79.21348817175573,-54.78507290900261,69.66433944027605,-0.08991961757523644,0.0,0.0,-0.17983901412523345,-0.30043738249069185,9.332682990835027,0.0,0.0,0.06054097692225731
11,ppg3_0,2019,7,155.40155,135.38805163624582,58.41098657438434,-30.44655910930358,45.20560364794872,-0.042921101297946386,2.929994882489138,2.1927114442494293,0.0,0.0,6.483246011208599,0.0,2.3463103074986957,0.04205672125918616
12,ppg3_0,2019,8,77.266105,77.4220041823127,74.40518271272134,-61.235679962803815,86.46011394538877,-0.07847738044571445,0.0,0.0,0.0,-0.41976505702612876,0.0,1.070394916776724,0.0,0.0
13,ppg3_0,2019,9,117.23705,123.46356867021731,70.6845436362656,-50.44738926124885,73.84128942193446,-0.05818635582649811,3.883804191856413,0.0,0.0,0.0,4.29687747675813,0.0,3.1101111684938667,0.0
14,ppg3_0,2019,10,116.08873,99.32277896935028,48.76883938254316,-40.757121537572125,54.786017120141885,-0.04505080561194459,7.844443577440805,0.0,0.0,0.0,8.67876217763028,0.0,6.281751184051611,0.0
15,ppg3_0,2019,11,58.429115,67.13619491591948,65.31380978546848,-80.9774797676192,115.2127038852602,-0.0957349653511976,7.7927886847315735,0.0,0.0,0.0,0.0,1.4154800398934093,6.240386467710043,0.0
16,ppg3_0,2019,12,104.578735,104.53519386410592,58.82984938827816,-56.553591867318865,81.11865272035578,-0.06783846233790178,0.0,6.516635664776397,0.0,-0.31013581271098617,9.633951674526696,0.790841905203162,0.0,0.0
17,ppg3_0,2020,1,70.89541,88.52852170811133,62.53757126090391,-66.73834706298187,103.65691688387841,-0.08702615929863823,6.422499654503443,0.0,-0.27384645814220643,0.0,14.211166550459806,0.0,5.143072852900828,0.0
18,ppg3_0,2020,2,63.32388,69.85261367554294,65.93451693583117,-74.71813915622977,119.14214783671322,-0.10006502106215664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051605173842754745
19,ppg3_0,2020,3,76.342225,79.7221225228836,60.88664214480691,-77.47092905912153,108.66956926006952,-0.0911425969245189,0.0,0.0,0.0,-0.8496899578578396,13.19723755985804,0.0,0.0,0.08561028541669412
20,ppg3_0,2020,4,93.41507,81.35323316540055,55.647226775753,-50.6496700987581,77.10950604034883,-0.06458618839610461,0.0,0.0,0.0,-0.3471989152447442,5.392633539605192,0.0,0.0,0.0
21,ppg3_0,2020,5,155.656025,130.97503875165762,51.1192882794156,-37.99597925740744,59.896190681792035,-0.049473348220264966,0.0,4.378253358828864,0.0,-0.20836720564791403,6.472646845331773,0.5313334066647057,0.0,0.0
22,ppg3_0,2020,6,93.60624,82.57939549897569,52.33768796908528,-50.546229372661436,80.3855065782809,-0.06623568526831651,0.0,0.0,0.0,-1.039469515221801,5.381620280726657,1.7670883058893638,0.0,0.0
23,ppg3_0,2020,7,129.008505,133.5854642640167,70.36092582181706,-36.67543064507564,59.61099060458296,-0.04911695849771672,0.0,2.641304595686151,-0.15048974427724404,0.0,7.809612855936386,0.0,0.0,0.0
