,PPG,Year,Month,Vol.Sales,Vol.Sales_pred,perc Seasonal_index,perc Intercept,perc Wtd.Selling.Dist,perc Weighted_Price,perc display_platinum,perc display_gold,perc display_silver,perc display_bronze,perc promo_catalogue,perc promo_ins
0,ppg20_0,2018,8,29.49028,37.69839760053367,74.44751102649487,25.996455841396642,13.609233359118427,-0.534739249123891,0.0,0.0,0.0,0.0,13.440737842452219,0.8740994750108253
1,ppg20_0,2018,9,48.6511,49.12347777043942,61.866246064233835,19.69746731755352,11.075224294576776,-0.3450488147040926,0.0,0.0,0.0,0.0,8.147218097443055,0.5298428661617567
2,ppg20_0,2018,10,36.05326,40.52783322239089,72.15009181025547,21.264173108629358,12.450716674731042,-0.38095921902372515,0.0,0.0,0.0,0.0,5.497021938938556,1.4299643508477315
3,ppg20_0,2018,11,29.56334,32.431195573447006,60.0904524820938,25.93221069643763,15.883496311469846,-0.4904001857336505,0.0,0.0,0.0,-0.162683040807539,6.703760846719482,1.7438786189870457
4,ppg20_0,2018,12,27.79296,43.73370134674547,82.52998927855698,34.480078847773974,19.547754679929348,-0.5948504886741474,0.0,0.0,0.0,0.0,21.392348406602526,0.0
5,ppg20_0,2019,1,54.8777,43.51926418033064,48.57036217777028,13.97002355729964,8.615289514162669,-0.21320196294788868,4.748396718158055,0.0,0.0,0.0,3.6114042897252605,0.0
6,ppg20_0,2019,2,38.09254,33.77467268430008,49.30533347509309,20.12579790611029,12.492098624565031,-0.30714762948507374,0.0,1.2955250676271115,0.0,-0.1262571109100929,5.202739465266845,0.6767056821603978
7,ppg20_0,2019,3,32.6715,37.81130068026538,61.98095194559119,29.33148010385284,18.313138512598055,-0.4515316400611022,0.0,0.0,0.4917097224425083,0.0,6.06600741289062,0.0
8,ppg20_0,2019,4,32.7393,35.81379654223835,65.3945535380348,23.416589901751795,14.392933379169934,-0.35736968603682273,0.0,0.0,0.4906914380203734,0.0,6.053445284115908,0.0
9,ppg20_0,2019,5,22.71344,30.688002036377924,65.75009467999645,33.75282483720751,19.05578275504301,-0.4767213238510235,0.0,0.0,0.0,-0.4234897089676553,17.45095073139568,0.0
10,ppg20_0,2019,6,48.03612,47.70584652477634,59.731425844636355,19.949643147969244,11.431471148455524,-0.2859269602303294,0.0,0.0,0.3344336344563302,-0.10012161780816498,8.251522445620335,0.0
11,ppg20_0,2019,7,50.9421,45.02810976712317,50.70788940853873,15.04929639277577,8.939959488194573,-0.17118496804304495,5.115240451023069,0.9687437396492968,0.0,0.0,7.780816306758297,0.0
12,ppg20_0,2019,8,39.62926,33.612144344383324,55.40042749913626,19.345371621131015,9.76163230743495,-0.22005260155111653,0.0,0.0,0.0,-0.12136118735568491,0.0,0.6504647895500002
13,ppg20_0,2019,9,54.2641,48.74307937818027,55.46689107339192,17.65998979459768,8.445317661948064,-0.2008814704506663,4.802089974404114,0.0,0.0,0.0,3.6522408220214824,0.0
14,ppg20_0,2019,10,49.24458,46.31440374948041,52.8229912623686,15.56806377007221,7.203611287547103,-0.17708592012655203,10.583137903909924,0.0,0.0,0.0,8.049030418789476,0.0
15,ppg20_0,2019,11,27.5484,31.86929078152849,64.48557729240112,27.828939676003777,13.305207812009453,-0.32974244725289564,9.45902813158159,0.0,0.0,0.0,0.0,0.9357145339084028
16,ppg20_0,2019,12,48.345,42.1480960145722,47.44549986181328,19.822183311883922,9.921881736392386,-0.2480239408573836,0.0,2.0415695711899247,0.0,0.0,8.198802820984834,0.0
17,ppg20_0,2020,1,35.96692,44.34074306915515,74.10781252559362,21.31521858892623,9.389327617301133,-0.2424595089194627,7.245020996517419,0.0,0.44665748962603435,0.0,11.020435510755767,0.0
18,ppg20_0,2020,2,25.84868,29.462107735040192,72.66001156009987,29.658874718957506,12.05949039577985,-0.39921899622388063,0.0,0.0,0.0,0.0,0.0,0.0
19,ppg20_0,2020,3,35.22816,37.06662309489828,57.48272607738759,27.202767678272956,9.881190490019307,-0.32644872941758835,0.0,0.0,0.0,-0.273045997726089,11.251542015833692,0.0
20,ppg20_0,2020,4,38.82516,34.0186783145088,55.143930035260205,19.746029682052118,7.960110017332999,-0.2105719371281793,0.0,0.0,0.0,-0.12387467424801728,5.104565214676667,0.0
21,ppg20_0,2020,5,46.41956,43.95271623352201,57.087015724606495,20.644388964760292,7.6849208952659245,-0.2289581352271532,0.0,1.0631259852439026,0.0,-0.10360835060968157,8.538881505566012,0.0
22,ppg20_0,2020,6,29.15858,27.97374944266829,58.7382039352793,26.29218438519374,9.770193064461454,-0.3021875732249176,0.0,0.0,0.0,-0.32988259700075584,0.0,1.7680859812735903
23,ppg20_0,2020,7,36.82096,41.41976650504331,70.1547806748852,20.82082492608619,9.262775816137756,-0.2901238630570295,0.0,1.3402649050863544,0.43629753805388044,0.0,10.7648231436799,0.0
24,ppg20_0,2020,8,41.81364,41.00899650908784,59.12634029751543,22.918441260149276,10.4393712458654,-0.32847706568620505,0.0,1.1802330641290366,0.0,0.0,4.73973471791157,0.0
25,ppg20_0,2020,9,37.860020000000006,38.43871049652464,72.1883232405124,20.24940192240845,9.386372814624622,-0.29559773764955377,0.0,0.0,0.0,0.0,0.0,0.0
