,PPG,Year,Month,Vol.Sales,Vol.Sales_pred,perc Seasonal_index,perc Intercept,perc Wtd.Selling.Dist,perc Weighted_Price,perc display_platinum,perc display_gold,perc display_silver,perc display_bronze,perc promo_catalogue,perc promo_ins,perc Retailer 1_Promo.Group 6_promo_catalogue,perc Retailer 0_Promo.Group 6_promo_catalogue,perc Retailer 1_Promo.Group 3_display_silver
0,ppg20_1,2018,8,37.0123,49.99002456455425,61.1761946877249,11.277336485017326,23.309597722169197,-1.2563037621505801,9.88875889222662,3.3665126045295914,0.0,0.0,9.906037291369048,5.155575295604447,9.90603729136905,2.3335285778665904,0.0
1,ppg20_1,2018,9,49.95400000000001,63.17131912558399,53.40552539414484,10.444613073637916,18.973411565900694,-1.0239132183494914,0.0,2.4943422843542176,-0.6075402429892218,0.0,14.679313930389505,7.639816611822896,14.679313930389505,3.4579517068731866,2.31614547706612
2,ppg20_1,2018,10,76.316,76.9358139542547,37.48066553063744,5.469366334509235,9.232429195655605,-0.48743321700137215,14.387771007918104,0.0,0.0,0.007962880135671943,14.412910426621101,2.5003891649654135,14.412910426621103,3.395196018498281,0.0
3,ppg20_1,2018,11,39.99342,41.33926142657569,39.86144043385478,10.436720870193318,17.419746245297908,-0.9301268405821939,9.15164821480032,0.0,0.0,0.0,9.167638677545922,4.77127736296372,9.167638677545924,4.319173493168206,0.0
4,ppg20_1,2018,12,46.5807,57.18700293823442,38.641457308761886,11.200995293769921,20.526309445811215,-1.0980633805295004,7.857454068890321,0.0,0.0,0.013046071880283894,15.742366432421095,12.289619918560724,15.742366432421099,1.8541855271082572,0.0
5,ppg20_1,2019,1,51.84866,43.7121958683769,36.3368672312133,8.050355808316104,14.788208970722467,-0.6576648385182371,0.0,2.403193727140308,0.0,0.0,7.071450333322764,3.6803207549336956,7.071450333322764,3.331590817682524,2.231508609120486
6,ppg20_1,2019,2,30.71504,40.25965562996805,38.83774254471105,13.589438958386735,27.404604957529948,-1.1606365154491693,0.0,0.0,-0.98808483720951,0.019784937946814983,23.873986427453044,0.0,23.873986427453048,5.62390671036545,0.0
7,ppg20_1,2019,3,44.64962,59.72920018271029,65.4189646113536,11.685434310090626,22.929766304987716,-0.9719854044324713,8.19728613024611,0.0,0.0,0.013610309795110015,8.21160905824817,4.273713852738288,8.211609058248172,5.803135152050898,0.0
8,ppg20_1,2019,4,29.77852,37.85347797738397,51.911878653133,14.016820217539582,24.267691443167717,-1.1971379705063199,0.0,4.184303802627888,0.0,0.0,12.312405856279582,6.407964516487069,12.312405856279582,2.9003879233276737,0.0
9,ppg20_1,2019,5,33.17512,46.07750677695557,69.34428637941618,12.581722724270683,21.268752194969544,-1.1212906958189366,0.0,3.7558982295355863,0.0,0.0,11.051813046624659,5.751891764475923,11.05181304662466,5.206869472217228,0.0
10,ppg20_1,2019,6,40.5383,52.4707512838585,53.05886189450636,12.870549615561297,21.592287209093406,-1.1470311220708787,0.0,0.0,0.0,0.044971927320628144,18.088830761987488,4.707146069605793,18.08883076198749,2.130559490224593,0.0
11,ppg20_1,2019,7,43.68276,42.17375380016821,44.50084067912952,9.555260729505342,14.19027361326641,-0.7552620049257567,0.0,0.0,-0.6947607087620743,0.013911555964731624,8.393362141937429,4.368306844931514,8.39336214193743,5.931579857768026,2.6486589025364005
12,ppg20_1,2019,8,45.62272,47.736523123753656,49.63035239109989,9.148953880531604,12.056075428788844,-0.5824001942872306,8.02244387767234,0.0,0.0,0.026640023235525633,8.036461307860176,8.365117183434064,8.036461307860177,1.8931194760542904,0.0
13,ppg20_1,2019,9,84.99654,66.83254731026271,31.38739077542582,6.138487537028079,11.379742397278946,-0.4200683061084798,8.612249645615206,0.0,0.0,0.0,8.62729762974678,2.2450290272227615,8.62729762974678,2.032300603826264,0.0
14,ppg20_1,2019,10,49.66982,57.63552649811231,57.58777605065062,8.40349655352902,11.952320548432061,-0.5405185466528972,7.368774655248586,0.0,0.0,0.0,14.76329988871869,0.0,14.76329988871869,1.738867984272373,0.0
15,ppg20_1,2019,11,29.90724,38.99772255345788,53.30466231842645,13.956492179967354,21.095220791951583,-1.036509147079344,0.0,0.0,0.0,0.020319332724582407,12.259413574751084,12.760769600504792,12.259413574751086,5.775809455006319,0.0
16,ppg20_1,2019,12,32.51886,36.10494410754193,55.35083734369055,16.044541582346632,23.18088419660402,-1.1711555311309734,0.0,0.0,0.0,0.01868746814722103,0.0,17.60391042430459,0.0,0.0,0.0
17,ppg20_1,2020,1,32.37804,42.05163610299928,58.18813845854536,12.891458568350858,17.173533693379742,-0.8890255373056729,11.304134244900537,0.0,0.0,0.0,11.323885696581346,5.893491376053044,11.323885696581346,2.6675258842898337,0.0
18,ppg20_1,2020,2,23.2518,26.89354670070852,51.30367609262515,17.951305326228802,23.670410487318915,-1.1578142924896473,0.0,0.0,0.0,0.052270805738389284,0.0,16.413327098418232,0.0,7.429038593362372,0.0
19,ppg20_1,2020,3,96.7023,67.51526770706403,30.20540267077811,5.39542701135866,8.924555380361323,-0.2970927146769497,3.7848707915608975,0.0,0.0,0.0125683703579737,7.582968017086227,3.9465390071073907,7.582968017086227,2.6794376074583006,0.0
20,ppg20_1,2020,4,43.17698,40.97971167631261,35.802849497808644,9.667192128407471,18.118605128574792,-0.5576971721718424,8.476871489084214,0.0,0.0,0.0,8.49168293010161,4.419477682633211,8.49168293010161,2.000354350456461,0.0
