,PPG,Year,Month,Vol.Sales,Vol.Sales_pred,perc Seasonal_index,perc Intercept,perc Wtd.Selling.Dist,perc Weighted_Price,perc display_platinum,perc display_gold,perc display_silver,perc display_bronze,perc promo_catalogue,perc promo_ins,perc Retailer 1_Promo.Group 3_display_silver,perc Retailer 1_Promo.Group 22_display_bronze,perc Retailer 1_Promo.Group 20_display_platinum,perc Retailer 1_Promo.Group 20_promo_catalogue
0,ppg6_1,2018,8,247.66652,223.17358381167483,47.97732350745342,-43.067007478477414,53.856610365290145,-0.04327889034753466,4.327073949944297,4.361077851867501,0.0,0.0,7.7198313584844565,2.9319819171683834,0.0,0.0,4.327073949944295,7.7198313584844565
1,ppg6_1,2018,9,339.2254,265.443372104229,28.32498362601673,-39.30371910906612,53.52943187671371,-0.03475743673091414,0.0,3.1839979406645242,1.8050648193670027,0.0,11.272409244960537,4.281246381479818,3.9187850159742554,0.0,0.0,11.272409244960537
2,ppg6_1,2018,10,335.8763,326.9758613111503,33.85996317118094,-31.756500440812513,42.69869140826724,-0.028083208914755936,6.381345435598512,0.0,0.0,1.521047125005143,17.077213553406875,2.1619678379451654,0.0,-1.2147922535191336,9.572018153397762,17.077213553406875
3,ppg6_1,2018,11,135.32496,156.26972534008485,45.18602865408774,-78.81957525801948,101.22662769449373,-0.06970247249594781,7.919243774137145,0.0,0.0,0.0,14.128537466722458,5.366000168247023,0.0,-1.507556061278971,7.919243774137142,14.128537466722458
4,ppg6_1,2018,12,190.33916,233.8160033279641,37.525167348054424,-70.04769715417783,93.67551352770757,-0.0657572571697251,5.630325083736622,0.0,0.0,2.684070269472477,20.08986240711284,7.630103633198989,0.0,0.0,5.6303250837366186,20.08986240711284
5,ppg6_1,2019,1,204.28158,197.3446398650952,45.89953968141091,-52.21349800118287,68.89892055575125,-0.04883781537764212,0.0,5.287275411816863,0.0,0.0,9.359354708058936,3.5546707545928604,6.507446312868116,0.0,0.0,9.359354708058936
6,ppg6_1,2019,2,115.95958,172.6758406372257,46.36532701625444,-91.98253278434154,118.97377320187594,-0.0844714353070306,0.0,0.0,5.280493732175462,4.405704819492834,32.97603815989533,0.0,0.0,0.0,0.0,32.97603815989533
7,ppg6_1,2019,3,251.9596,244.40719203681036,52.11321240041019,-52.91649866193071,70.8826523125368,-0.0503952817137432,4.253345960881658,0.0,0.0,2.0276412586476757,7.5882949788089755,2.882024571113868,0.0,-1.6193863118558238,4.253345960881656,7.5882949788089755
8,ppg6_1,2019,4,143.0478,145.46178505074366,41.58538200549875,-74.56427759817682,94.65994586934151,-0.0710116479805047,0.0,7.550573829315092,0.0,3.5714193470459863,13.365768418268004,5.076301474947687,0.0,-2.8523327683520376,0.0,13.365768418268004
9,ppg6_1,2019,5,221.00294,204.29281131542248,49.991622690815575,-48.262959167006905,60.39364104057668,-0.04596346101995585,0.0,9.774467027643157,0.0,0.0,8.651214176348594,3.2857199009570723,0.0,0.0,0.0,8.651214176348594
10,ppg6_1,2019,6,198.4717,221.15726493569497,44.19719775482518,-67.17743555509726,86.61796236633064,-0.06610931192321852,0.0,0.0,0.0,7.722264894275077,19.26666388752369,3.6587269526487742,0.0,-2.0558091021574794,0.0,19.26666388752369
11,ppg6_1,2019,7,228.9015,185.0858183327196,36.83473262839558,-46.59757960960709,61.858593299179454,-0.047151018097783284,0.0,0.0,2.6750538348403095,2.2318931089239906,8.352692173457656,3.1723416322218148,5.80752600816453,-1.7825131219352803,0.0,8.352692173457656
12,ppg6_1,2019,8,268.15576,238.38032027900783,44.31147312295355,-39.776344423884375,52.9222231790071,-0.040248767242999896,3.996450969262634,0.0,0.0,3.810350226841034,7.129974636915194,5.41591020180228,0.0,0.0,3.9964509692626318,7.129974636915194
13,ppg6_1,2019,9,231.01086,260.63468401056826,41.593515995434046,-57.715121428752724,77.34281230341506,-0.059545712588384585,9.278103609201386,0.0,0.0,0.0,16.552847494206272,0.0,0.0,0.0,9.278103609201384,16.552847494206272
14,ppg6_1,2019,10,226.02644,238.13098899185923,50.316056599716916,-47.19030158156929,58.95983859693483,-0.04868706961665387,4.7413539184413915,0.0,0.0,0.0,16.917877108029643,0.0,0.0,0.0,4.74135391844139,16.917877108029643
15,ppg6_1,2019,11,158.43583999999998,146.19501848199877,38.594787140165245,-67.32224141335999,84.54612374315788,-0.07103612900923978,0.0,0.0,0.0,3.2245461662737727,12.067621616060595,9.16653401311246,0.0,0.0,0.0,12.067621616060595
16,ppg6_1,2019,12,158.75216,137.6175714508526,44.991569449436824,-83.98512395838014,108.8317742125656,-0.09169033212381236,0.0,0.0,0.0,3.218121129642361,0.0,13.722403993646859,0.0,0.0,0.0,0.0
17,ppg6_1,2020,1,178.84140000000002,193.5650010168532,52.428746852749505,-59.64086542047018,78.08424879490498,-0.06572793699228992,5.992300143956366,0.0,0.0,0.0,10.690722436430924,4.060322487567317,0.0,0.0,5.9923001439563635,10.690722436430924
18,ppg6_1,2020,2,103.56126,119.4717246009406,51.91616872339636,-102.99465136875001,144.64351628443777,-0.12171760967680907,0.0,0.0,0.0,9.866308704091951,0.0,14.023656300203799,0.0,-1.9699447813819018,0.0,0.0
19,ppg6_1,2020,3,279.79084,280.1969619319219,46.929428251197905,-47.65281035026235,62.96493783994411,-0.05381250428590961,3.830258871110141,0.0,0.0,1.8259485566874345,13.66695040868899,2.595345001744952,0.0,-1.4583033789836315,3.8302588711101397,13.66695040868899
