Features,Coeff
const,0.2701735636872318
Retailer 1_Promo.Group 3_display_silver,49.61106437796705
display_platinum,35.065555335994524
Seasonal_index,21.749371719179326
Retailer 1_Promo.Group 22_display_bronze,-2.3381178352578305
Retailer 1_Promo.Group 20_promo_catalogue,16.26590617514073
display_silver,-0.6287117445575561
promo_catalogue,16.26590617514074
Retailer 1_Promo.Group 20_display_platinum,2.1244626671590225
display_bronze,12.208851190469561
display_gold,36.38164452007206
promo_ins,11.249146724229458
