,PPG,Year,Month,Vol.Sales,Vol.Sales_pred,perc Seasonal_index,perc const,perc promo_catalogue,perc promo_ins,perc display_platinum,perc display_gold,perc display_silver,perc display_bronze,perc Retailer 1_Promo.Group 22_display_bronze,perc Retailer 0_Promo.Group 20_display_platinum
0,ppg3_1,2018,8,87.26724999999999,137.88906314,117.65605433882702,9.752066925450272,-0.898886445946217,-0.4102678702491485,17.112475550679093,14.796358989196982,0.0,0.0,0.0,0.0
1,ppg3_1,2018,9,104.239895,104.3721103,74.62184105135562,10.205258533692882,-1.5050542443466581,-0.6869337080587044,0.0,12.387172483241661,5.104553412107715,0.0,0.0,0.0
2,ppg3_1,2018,10,95.184625,110.85968497,79.47786461311372,8.940898410851544,-2.472353540290777,-0.3761421427042445,31.378149191636783,0.0,0.0,3.7419910925740374,-4.222348867792461,0.0
3,ppg3_1,2018,11,47.37375,62.058479719000005,88.16382218633737,17.96429588960131,-1.6558399577825271,-0.7557550077838465,31.522914736536585,0.0,0.0,0.0,-4.241829004459221,0.0
4,ppg3_1,2018,12,79.887955,87.860446646,76.82017181814203,13.316088489184633,-1.9638341775052321,-1.3444936273559636,18.693164470163243,0.0,0.0,4.458494636644535,0.0,0.0
5,ppg3_1,2019,1,27.247845,35.413664801,73.59046551754827,31.233151186818624,0.0,-1.3139735931410355,0.0,0.0,19.528080539947286,0.0,0.0,6.9309575527899545
6,ppg3_1,2019,2,38.63968,40.155685699,76.74078007633605,22.024925216771983,-4.060248335389941,0.0,0.0,0.0,0.0,9.217985731248293,0.0,0.0
7,ppg3_1,2019,3,51.235645,45.51741817,71.198785745744,20.762792739312644,-1.5310307540775567,-0.6987898522600818,0.0,0.0,0.0,6.951801209880348,-7.844200919106221,0.0
8,ppg3_1,2019,4,57.00441,69.60401122100001,93.57655822593374,14.92930217855075,-1.3760926251144427,-0.6280733157311864,0.0,22.65153799504284,0.0,0.0,-7.0503789724338874,0.0
9,ppg3_1,2019,5,87.47048,120.2099072,99.48185761642101,9.729408851992124,-0.8967979620095832,-0.4093146487820806,0.0,29.52396188977127,0.0,0.0,0.0,0.0
10,ppg3_1,2019,6,214.009665,162.435410161,56.790445535719144,4.970780539280784,-1.099623442707599,-0.1672959433864821,13.955992894059246,0.0,0.0,3.3286348903915157,-1.877965154517671,0.0
11,ppg3_1,2019,7,109.393,124.42513435,101.55072010092054,7.7796208386277,-1.4341566315943433,-0.3272873840190872,0.0,0.0,4.8640965299425005,3.25596719077089,-3.6739342882999826,1.7263778952949456
12,ppg3_1,2019,8,109.962855,131.74225844,93.37262394651358,7.739304898913366,-0.7133622367298484,-0.6511825979781991,13.580573931078819,0.0,0.0,6.478187909908304,0.0,0.0
13,ppg3_1,2019,9,109.9984,118.6105228,70.71532745839939,9.671005014618395,-1.4262634401954937,0.0,27.152370979941526,0.0,0.0,0.0,0.0,1.716876400929468
14,ppg3_1,2019,10,84.18278,101.30286101,89.86482436194196,10.109384156712336,-1.8636435670097853,0.0,17.73947928543106,0.0,0.0,0.0,0.0,4.486752685050316
15,ppg3_1,2019,11,51.802865,54.226713639,80.6258663743791,16.428358979759132,-1.5142665989612736,-1.3822767833400722,0.0,0.0,0.0,6.8756818546619,0.0,3.645621860875842
16,ppg3_1,2019,12,65.543525,74.495726787,93.63253546860653,16.23036109211398,0.0,-1.638740766536435,0.0,0.0,0.0,5.434251802905016,0.0,0.0
17,ppg3_1,2020,1,22.320015,30.092683687,89.8378248356912,38.128830218080054,0.0,-1.6040736890185783,0.0,0.0,0.0,0.0,0.0,8.461179667665993
18,ppg3_1,2020,2,34.763135,42.560780412,85.29838247039572,24.48099293691435,0.0,-2.0598227864086485,0.0,0.0,0.0,20.491823818536506,-5.7805875908487545,0.0
19,ppg3_1,2020,3,38.83729,42.74005146,93.92817343589111,27.391073836511246,0.0,-0.9218704188680517,0.0,0.0,0.0,0.0,-10.348371207156832,0.0
20,ppg3_1,2020,4,75.817085,90.577836211,70.35718257303087,11.224858650263329,-1.0346394641788192,-0.47222797869372046,39.393724567490295,0.0,0.0,0.0,0.0,0.0
21,ppg3_1,2020,5,148.620495,133.0923892,70.30308735009932,7.157795282541617,-1.055619525422789,-0.4818036543344846,10.048134222672317,0.0,3.5802472041288786,0.0,0.0,0.0
22,ppg3_1,2020,6,64.323395,111.863805839,161.79106247890056,13.230583715302963,0.0,-1.1132170122550278,0.0,0.0,0.0,0.0,0.0,0.0
23,ppg3_1,2020,7,167.79273,132.60643023,66.20631253809387,5.071948363913025,-0.9350029432145243,-0.2133760431694508,8.900020173698826,0.0,0.0,0.0,0.0,0.0
24,ppg3_1,2020,8,192.7394698,151.83437143,58.3689412997441,5.519342141512937,-1.2209748467410175,-0.18575826133148365,7.748068849362374,6.6993935406166605,0.0,1.847986918660705,0.0,0.0
25,ppg3_1,2020,9,56.404545,88.25291485,120.48841782164894,15.088076012314259,-1.3907274351738854,-0.6347529051072037,26.4758572558293,0.0,0.0,0.0,-3.5626800428937067,0.0
