,PPG,Year,Month,Vol.Sales,Vol.Sales_pred,perc Seasonal_index,perc const,perc promo_catalogue,perc promo_ins,perc display_platinum,perc display_gold,perc display_silver,perc display_bronze,perc Retailer 0_Promo.Group 22_promo_ins,perc Retailer 1_Promo.Group 3_display_bronze
0,ppg6_0,2018,8,98.9383,108.6187978,73.78881865971016,21.70609928409928,14.943139259518306,0.0,0.0,0.0,-1.3741688769667562,0.0,0.7204902135977675,0.0
1,ppg6_0,2018,9,266.42692,245.90204439,60.308395311554854,10.07576750690208,11.098343928609017,0.0,9.986260712693747,0.0,-0.510301033394073,0.0,1.3377791722398023,0.0
2,ppg6_0,2018,10,173.86798,173.36874007,65.09274597599858,12.35169674600234,25.50985169897298,0.0,0.0,0.0,0.0,-4.639662539358886,1.639958706600261,-0.24172795358869412
3,ppg6_0,2018,11,175.28986,193.74766303,73.71729444019181,12.251504809234257,16.86861744313105,0.0,0.0,6.065802237505353,0.0,0.0,1.626656029048115,0.0
4,ppg6_0,2018,12,158.25822,159.65005861,62.95563623172307,16.962504086675562,9.342003183152194,10.49184512753903,0.0,0.0,-0.8590892315103759,0.0,2.2521445299966096,-0.26557072991216507
5,ppg6_0,2019,1,179.06472,199.78563163,68.96640643673416,11.993231066398785,16.513010435556485,0.0,14.858363411843495,0.0,-0.7592669991051281,0.0,0.0,0.0
6,ppg6_0,2019,2,168.70294,200.38930947,71.2790233993551,12.72985854781191,17.52724398282567,4.921137516631304,15.770968093383553,0.0,-0.805901382631506,-2.390855647210416,0.0,-0.24912874073208202
7,ppg6_0,2019,3,180.5006,196.13984181,73.19350232630806,14.872281330366771,24.572474468228915,0.0,0.0,0.0,-1.5064540793770216,-2.2345874573270117,0.0,-0.23284549192634263
8,ppg6_0,2019,4,194.1307,188.84023115,62.692480256857884,11.062467516987267,7.6157392674110795,4.276553719736239,13.705244374022243,0.0,0.0,-2.077694959117749,0.0,0.0
9,ppg6_0,2019,5,126.11796,124.78344898,60.62418555850412,17.028221537995066,23.445491744395486,0.0,0.0,0.0,-2.1560439544058596,0.0,0.0,0.0
10,ppg6_0,2019,6,212.85864,194.9090204,59.905702512709844,12.611448158740469,6.945683741096909,0.0,12.499415969208485,0.0,0.0,0.0,0.0,-0.3948982385680938
11,ppg6_0,2019,7,249.6535,238.95397548,62.61203019585145,8.602180873891212,17.766009228791102,0.0,0.0,8.51799494098821,0.0,-1.6156167520182971,0.0,-0.16834833479202174
12,ppg6_0,2019,8,111.97158,104.39151757,65.19993981687139,19.179550407344433,13.203786130373441,0.0,0.0,0.0,0.0,-3.602203137617599,0.0,-0.7507039018293749
13,ppg6_0,2019,9,216.35176,214.37217442,74.2669253672815,12.407829284587285,13.667083595714683,0.0,0.0,0.0,-1.2568229867878125,0.0,0.0,0.0
14,ppg6_0,2019,10,158.995,152.3446567,71.18176203968677,13.50712011572691,9.2987125066826,5.221613051982766,0.0,0.0,-0.8551082273027453,-2.536836861536526,0.0,0.0
15,ppg6_0,2019,11,205.6102,205.08978379,62.84656219389895,10.444834754306937,14.381084158276195,0.0,12.940061747909393,0.0,-0.6612411864781027,0.0,0.0,-0.20440985418038599
16,ppg6_0,2019,12,134.58278,134.59405861,74.03062211227915,19.946502097073637,0.0,12.337542250204669,0.0,0.0,0.0,-5.9939968070209275,0.0,-0.3122892170900318
17,ppg6_0,2020,1,199.5581,194.8980428,61.88398395254314,10.761600570460432,7.408613306099829,8.3204877897715,13.332501582245973,0.0,0.0,-4.042375396438431,0.0,0.0
18,ppg6_0,2020,2,200.2223,199.96902197000003,60.0581494059353,10.725900975066214,14.768073236597523,4.14644306453377,13.288273504000303,0.0,-0.6790349156912092,-2.0144827863829353,0.0,-0.41982087909288823
19,ppg6_0,2020,3,225.0406,200.82878922,58.70705590902263,11.928761758989266,19.709094203445954,3.6891581661264676,0.0,0.0,-1.2082969259769125,-3.58463652158766,0.0,0.0
20,ppg6_0,2020,4,178.22518000000002,188.84023115,68.28740516351279,12.049725873751395,8.295397962285687,4.658210288804308,14.928354590524187,0.0,0.0,-2.2631166752082947,0.0,0.0
21,ppg6_0,2020,5,118.66178,135.36644994,71.08096649317076,22.62274932585707,24.918702466792595,0.0,0.0,0.0,-1.1457600973118724,-3.399109441978706,0.0,0.0
22,ppg6_0,2020,6,165.8097,154.52706391,72.14687057632938,12.95198388755302,8.916539834521142,0.0,0.0,0.0,-0.8199636848748897,0.0,0.0,0.0
23,ppg6_0,2020,7,228.57022,230.05581186,68.38735370032019,9.395644641721042,19.404743036953807,0.0,0.0,4.651846706014458,-1.1896382004619848,0.0,0.0,0.0
24,ppg6_0,2020,8,170.69286,178.20245884,66.16331608246531,15.726818939585407,17.3229131552427,0.0,0.0,6.229162865980452,-0.796506266284366,0.0,0.0,-0.24622442321254678
25,ppg6_0,2020,9,188.10644,167.64001625999998,64.19086258290785,11.416751934702502,7.859639441371599,0.0,0.0,5.652510488210824,0.0,0.0,0.0,0.0
