,PPG,Year,Month,Vol.Sales,Vol.Sales_pred,perc Seasonal_index,perc const,perc promo_catalogue,perc promo_ins,perc display_platinum,perc display_gold,perc display_silver,perc display_bronze
0,ppg20_0,2018,8,29.49028,34.189257724,96.41369076861936,14.40429535426588,3.428800757402101,1.6872012880176115,0.0,0.0,0.0,0.0
1,ppg20_0,2018,9,48.6511,45.797776011,80.1199127933387,10.91410839631581,2.0783968790017084,1.0227114782605122,0.0,0.0,0.0,0.0
2,ppg20_0,2018,10,36.05326,39.43602553,93.43803100468584,11.78219953479935,1.4023183257214467,2.760140880464069,0.0,0.0,0.0,0.0
3,ppg20_0,2018,11,29.56334,29.36636542,77.82018596342633,14.368697961732336,1.710163574210492,3.3660634014965836,0.0,0.0,0.0,2.068609264041208
4,ppg20_0,2018,12,27.79296,36.531839781,106.88052507181673,19.10495963726066,5.457297157265725,0.0,0.0,0.0,0.0,0.0
5,ppg20_0,2019,1,54.8777,45.585748226,62.9010662290876,7.740606898612734,0.9212876487170565,0.0,11.504930600225592,0.0,0.0,0.0
6,ppg20_0,2019,2,38.09254,32.536942503,63.85265353006127,11.151440759791813,1.3272453661530579,1.306188518801844,0.0,6.172563024151185,0.0,1.6054324285017487
7,ppg20_0,2019,3,32.6715,33.523131302,80.26844901213596,16.25218857413954,1.547469421361125,0.0,0.0,0.0,4.538541912676186,0.0
8,ppg20_0,2019,4,32.7393,33.962920408,84.6892333831206,12.974825460532143,1.5442647582568962,0.0,0.0,0.0,4.5291430207731995,0.0
9,ppg20_0,2019,5,22.71344,25.822550724,85.14967688734072,18.70199772469516,4.451826513289049,0.0,0.0,0.0,0.0,5.3849173881191055
10,ppg20_0,2019,6,48.03612,45.573793381,77.35520047830676,11.053835717789033,2.1050054500654927,0.0,0.0,0.0,3.0868640535497036,1.2731044680544557
11,ppg20_0,2019,7,50.9421,47.377262834,65.66927064647903,8.338617826905448,1.984925913929736,0.0,12.393759385655478,4.615604851390107,0.0,0.0
12,ppg20_0,2019,8,39.62926,33.789644773000006,71.74665226148558,10.719016787091155,0.0,1.2555379131480124,0.0,0.0,0.0,1.5431779195473243
13,ppg20_0,2019,9,54.2641,51.108275457,71.8324249236604,9.785168813266969,0.9317052563296914,0.0,11.635024445259388,0.0,0.0,0.0
14,ppg20_0,2019,10,49.24458,51.573768832,68.40845481269207,8.626060029347393,2.053348701522076,0.0,25.641974406117384,0.0,0.0,0.0
15,ppg20_0,2019,11,27.5484,34.065314877000006,83.51209567524792,15.419650622177695,0.0,1.8061316954886675,22.918359323953478,0.0,0.0,0.0
16,ppg20_0,2019,12,48.345,40.72883039,61.44433050160306,10.983211893680837,2.0915564050056883,0.0,0.0,9.727111548246976,0.0,0.0
17,ppg20_0,2020,1,35.96692,47.574139421,95.97335112931549,11.810483166198274,2.811369291560134,0.0,17.554022696411035,0.0,4.122704198747071,0.0
18,ppg20_0,2020,2,25.84846,28.57096462,94.09882672700812,16.43373350675437,0.0,0.0,0.0,0.0,0.0,0.0
19,ppg20_0,2020,3,35.22816,33.769003031,74.44302035360347,15.072696927685126,2.8703257394084734,0.0,0.0,0.0,0.0,3.471938301631422
20,ppg20_0,2020,4,38.82516,33.091660678000004,71.41416077873214,10.941016165805886,1.3022006142408689,0.0,0.0,0.0,0.0,1.5751383638856868
21,ppg20_0,2020,5,46.41956,43.602071263,73.93055535209727,11.438785266383396,2.1783122114901565,0.0,0.0,5.065291525813688,0.0,1.317440298874009
22,ppg20_0,2020,6,29.15858,28.646706977,76.06892790389654,14.568154663224341,0.0,3.4127888532294786,0.0,0.0,0.0,4.1946486420120594
23,ppg20_0,2020,7,36.82096,42.546431244,90.85397426357163,11.536546119384179,2.746161273361694,0.0,0.0,6.385727148341597,4.02708055683502,0.0
24,ppg20_0,2020,8,41.81408,40.184192173,76.57107575008227,12.698674202565263,1.2091177708561327,0.0,0.0,5.623192089841508,0.0,0.0
25,ppg20_0,2020,9,37.86002,39.642262424,93.48752427494756,11.219928124707806,0.0,0.0,0.0,0.0,0.0,0.0
