,PPG,Year,Month,Vol.Sales,Vol.Sales_pred,perc Seasonal_index,perc const,perc promo_catalogue,perc promo_ins,perc display_platinum,perc display_gold,perc display_silver,perc display_bronze,perc Retailer 0_Promo.Group 20_promo_ins,perc Retailer 0_Promo.Group 3_promo_ins
0,ppg5_1,2018,8,103.60794,98.14254709,89.6111793362555,-7.8433094452027525,7.121403732185004,0.0,0.0,1.568782055699592,0.0,3.0799459674615672,-1.4229781317918297,2.609904999558914
1,ppg5_1,2018,9,119.839925,117.91607575,98.33155935302864,-8.476193705895595,6.156829375519052,0.0,0.0,1.3562948833621182,0.0,0.0,-1.2302396959944693,2.256400616071814
2,ppg5_1,2018,10,85.15614,90.86000767,109.60540191229899,-9.54281317119353,0.0,0.0,0.0,0.0,0.0,3.747314720934979,-3.4626236675358935,6.350848702160526
3,ppg5_1,2018,11,110.03724,102.32273406,95.23908076938318,-7.385037414606183,0.0,0.0,0.0,0.0,0.0,2.8999896489588437,-2.679671589363746,4.9148248465701245
4,ppg5_1,2018,12,169.63242,161.11048117,100.96439426496421,-5.9881620388366805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ppg5_1,2019,1,97.1892,100.09112086,101.02813630526848,-8.361311075716232,0.0,0.0,0.0,3.344780636120063,6.974241174945364,0.0,0.0,0.0
6,ppg5_1,2019,2,85.53168000000001,81.55001985999999,103.40795449124815,-9.500913981813522,0.0,0.0,0.0,0.0,0.0,0.0,-1.7237102428012636,3.161482161931111
7,ppg5_1,2019,3,101.41858,103.09409184,108.52142423015584,-10.01578229551232,0.0,0.0,0.0,0.0,0.0,3.146433888149489,0.0,0.0
8,ppg5_1,2019,4,86.41108,83.24306354,102.04511540649648,-9.40422379167116,0.0,0.0,0.0,0.0,0.0,3.6928928211521024,0.0,0.0
9,ppg5_1,2019,5,89.227745,81.61907234,100.58010957242057,-9.107359312958094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,ppg5_1,2019,6,132.3994,127.95914848,93.88021308253663,-7.6721376229801646,5.572789382731341,0.0,0.0,2.455272109994456,0.0,2.4101835582336473,0.0,0.0
11,ppg5_1,2019,7,86.25792,87.20477437,106.81917339300553,-9.420921979106382,0.0,0.0,0.0,0.0,0.0,3.699449940364897,0.0,0.0
12,ppg5_1,2019,8,98.57618,96.71520035,94.18532643484461,-8.243666313707836,7.484911371083766,0.0,0.0,0.0,3.438056335719238,0.0,-1.4956131684145197,2.7431259823620677
13,ppg5_1,2019,9,106.3592,107.6826028,110.79480381574889,-9.550527063009124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,ppg5_1,2019,10,111.99242,99.26217136,83.34111317533812,-7.256108354476133,6.588249192222118,0.0,4.508350418715838,1.4513328410976385,0.0,0.0,0.0,0.0
15,ppg5_1,2019,11,112.2555,99.52729778,93.35707905626006,-7.23910306755571,0.0,0.0,0.0,1.447931523177038,0.0,0.0,-1.313359549420741,2.408851954692643
16,ppg5_1,2019,12,192.99364,176.24190041,88.74299968123303,-5.263315506148286,3.823099924950895,0.0,2.616153949943635,0.0,0.0,0.0,0.0,1.4011180917671693
17,ppg5_1,2020,1,83.96742,91.68752887,116.93635156349926,-9.677910008429459,0.0,0.0,0.0,1.9357302760999444,0.0,0.0,0.0,0.0
18,ppg5_1,2020,2,77.25664,81.91580368,114.48408930287415,-10.518566875287354,0.0,0.0,0.0,0.0,0.0,2.0652390331756596,0.0,0.0
19,ppg5_1,2020,3,100.16918,103.09409184,109.87500092343774,-10.140708129985692,0.0,0.0,0.0,0.0,0.0,3.185679038203168,0.0,0.0
20,ppg5_1,2020,4,76.10654,83.30276051,115.8616412071814,-10.677520412831802,0.0,0.0,0.0,4.271335343848243,0.0,0.0,0.0,0.0
21,ppg5_1,2020,5,95.93688,118.49331472,118.32755000996488,-10.588070176974695,7.690827245997577,0.0,5.2628465049103115,0.0,0.0,0.0,0.0,2.8185915635363585
22,ppg5_1,2020,6,79.2539,94.85565248,126.83595743553315,-10.25349079856007,0.0,0.0,0.0,0.0,0.0,0.0,-3.7204940804174935,6.823812597234963
23,ppg5_1,2020,7,82.77091999999999,84.01370581,111.31928596420097,-9.81780961719406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,ppg5_1,2020,8,92.80488,105.86181928,125.01463660100633,-10.945398754893063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,ppg5_1,2020,9,96.12708,95.51266307,98.47909706609208,-8.453696236273899,7.67560993842734,0.0,0.0,0.0,0.0,1.6598176965325482,0.0,0.0
