,PPG,Year,Month,Vol.Sales,Vol.Sales_pred,perc Seasonal_index,perc const,perc promo_catalogue,perc promo_ins,perc display_platinum,perc display_gold,perc display_silver,perc display_bronze,perc Retailer 1_Promo.Group 6_promo_catalogue,perc Retailer 0_Promo.Group 3_Wtd.Selling.Dist,perc Retailer 1_Promo.Group 19_display_bronze,perc Retailer 1_Promo.Group 20_promo_ins
0,ppg22_1,2018,8,0.0,7.828488021,inf,inf,,,,,,,-inf,inf,-inf,-inf
1,ppg22_1,2018,9,9.13796,13.732276255,115.39888801220404,9.955253141839098,0.0,0.0,0.0,1.1699957649190849,0.0,0.0,-17.956409198551974,53.01226173018924,0.0,-11.302725663058274
2,ppg22_1,2018,10,13.26,13.461143053,82.02845650829563,5.488428657616893,0.0,0.0,0.0,0.0,0.0,10.35400722473605,-18.56164581447964,26.102234019607845,0.0,-3.8945646681749624
3,ppg22_1,2018,11,13.60424,12.783959686,76.62086982440768,5.3495501402503916,0.0,0.0,0.0,0.0,0.0,5.046005355683228,-6.030654744403215,23.587216617760344,-6.80656318912339,-3.796017087319835
4,ppg22_1,2018,12,18.41944,17.028813655,83.4275240398188,4.938842060344939,0.0,0.0,0.0,0.0,0.0,0.0,-8.908248513527012,21.40310012682253,0.0,-8.410993086651928
5,ppg22_1,2019,1,13.57252,13.215756204,68.0981164883161,5.362052441256303,0.0,0.0,0.0,0.7877221400300017,9.857731254033887,0.0,-6.044748838093441,23.115440728766654,0.0,-3.8048886647431717
6,ppg22_1,2019,2,12.39472,10.06554699,63.17229912414318,5.871577897685467,0.0,0.0,0.0,0.0,0.0,0.0,-13.238294128467606,25.40276218422038,0.0,0.0
7,ppg22_1,2019,3,15.01968,14.389855947,66.14013276581126,6.056767188115859,0.0,0.0,0.0,0.0,0.0,9.14094946097387,-5.462331720782333,26.452000715061843,-3.082559655065887,-3.438284137877771
8,ppg22_1,2019,4,12.34272,11.114996712,65.18322939352103,5.896314912758291,0.0,0.0,0.0,0.0,0.0,11.123491078141608,-6.647033595512172,26.18330022879884,-7.502245793471779,-4.183998948367944
9,ppg22_1,2019,5,10.78948,10.185360705,69.2067966482166,6.745141007722337,0.0,0.0,0.0,0.0,0.0,0.0,-7.603932209893341,30.839165576098203,0.0,-4.786322186055306
10,ppg22_1,2019,6,17.66232,17.158166841,60.249403877859756,5.150552418934772,9.947250253647312,0.0,0.0,1.2106421466715585,0.0,7.773278697249284,-9.290113020260078,25.02843355799238,0.0,-2.923847348479701
11,ppg22_1,2019,7,12.91628,13.373989403,67.74498600990377,5.63448330324211,0.0,0.0,0.0,0.0,0.0,10.629541617245833,-6.35186559133125,37.053823066703416,-7.1691012582570215,-3.998204397860684
12,ppg22_1,2019,8,14.18924,11.35024786,38.65808433009803,5.128996619974009,12.382024484750415,0.0,0.0,0.0,4.714637803011296,0.0,-5.782020354860443,35.43220992103876,-3.262969658699127,-7.2790265722477026
13,ppg22_1,2019,9,15.64056,16.504820904,67.42152600034781,5.816332982962246,0.0,0.0,0.0,0.0,0.0,0.0,-10.490989389126732,46.08069271176991,0.0,-3.3017953001682803
14,ppg22_1,2019,10,15.9016,17.248875243,68.40175411908236,4.5766818433365195,11.04866913392363,0.0,-0.6569122478241183,0.6723458331237109,0.0,0.0,-10.318769746440609,34.74880768601902,0.0,0.0
15,ppg22_1,2019,11,14.00256,14.769898202,74.4412951703117,5.1973756227432695,0.0,0.0,0.0,0.0,0.0,0.0,-5.859105370732208,39.07648912056081,0.0,-7.376069447301063
16,ppg22_1,2019,12,22.89872,23.17232256,67.10804243206607,3.972741926186267,7.672547509205755,0.0,-0.4561807734231433,0.0,0.0,0.0,0.0,29.66338287904302,0.0,-6.765696183018088
17,ppg22_1,2020,1,15.37952,14.155726014,60.09700224714426,4.7320439129439675,0.0,0.0,0.0,0.695169582665779,0.0,0.0,-5.334527638053723,35.21085294599571,0.0,-3.3578374032479554
18,ppg22_1,2020,2,12.13784,13.159340771,64.50925036085498,5.995841434719851,0.0,0.0,0.0,0.0,0.0,5.6556247157649135,0.0,44.578804828536214,-3.8144397685255362,-8.509245055133368
19,ppg22_1,2020,3,16.10076,15.388858666,61.699176268697876,5.650087635614716,0.0,0.0,0.0,0.0,0.0,8.527183549099545,-10.191130667123787,42.05915244994646,-5.75116449161406,-6.414843460805576
20,ppg22_1,2020,4,12.8622,13.076101681,62.55060169333395,5.658173873831848,0.0,0.0,0.0,1.6624488034706348,0.0,0.0,-6.378572444838364,42.18538882928271,0.0,-4.015015121829857
21,ppg22_1,2020,5,15.41228,15.806386304,60.61921626780723,5.902481981900146,11.399450120293688,0.0,-0.6777683639279847,0.0,0.0,0.0,-15.969566053822016,44.63397893757445,0.0,-3.3507000586545272
22,ppg22_1,2020,6,12.87104,12.944503752,68.10399663896624,5.654287765402018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86151361506141,0.0,-16.049030225995722
23,ppg22_1,2020,7,14.49344,13.655598176,60.37305207735362,5.021345105095823,0.0,0.0,0.0,0.0,0.0,0.0,-5.660662651516824,38.048554918639056,0.0,-3.563124247935617
24,ppg22_1,2020,8,15.23912,12.526535397,45.958729729800666,5.969551063315992,0.0,0.0,0.0,0.0,0.0,0.0,-10.767350673792187,44.427704086587674,0.0,-3.38877359716309
25,ppg22_1,2020,9,17.6982,15.848870999,51.00341626832107,4.112088460973432,9.927083946390027,0.0,0.0,0.0,0.0,3.8787598682351874,-4.635639471810692,27.881073956673564,-2.6160321162604103,0.0
