,PPG,Year,Month,Vol.Sales,Vol.Sales_pred,perc Seasonal_index,perc const,perc promo_catalogue,perc promo_ins,perc display_platinum,perc display_gold,perc display_silver,perc display_bronze,perc Retailer 1_Promo.Group 22_display_bronze,perc Retailer 1_Promo.Group 3_display_silver,perc Retailer 1_Promo.Group 20_promo_catalogue,perc Retailer 1_Promo.Group 20_display_platinum
0,ppg6_1,2018,8,247.66652,241.18661985,49.56394754123408,0.4363505636530929,6.567664527284513,4.54205385532126,14.15837527817648,14.689770954911468,0.0,0.0,0.0,0.0,6.567664527284513,0.857791625206346
1,ppg6_1,2018,9,339.2254,273.539898849,29.26169906380831,0.39822130654131443,9.590028447162272,6.6322549667566175,0.0,10.724917568083052,-0.1853374614636758,0.0,0.0,14.62480827791787,9.590028447162272,0.0
2,ppg6_1,2018,10,335.8763,311.45098822,34.97972199288845,0.3217536503766416,14.52847924667504,3.349193354815448,20.88004145573832,0.0,0.0,3.6349248785936967,-1.3922493697828633,0.0,14.52847924667504,1.8975402554452336
3,ppg6_1,2018,11,135.32496,142.883710009,46.68034375624423,0.7985919641136416,12.019886190987975,8.312691701516114,25.912112104078954,0.0,0.0,0.0,-1.7277801781725999,0.0,12.019886190987975,1.56989713279797
4,ppg6_1,2018,12,190.33916,212.09879191,38.76613554299599,0.7097161824187939,17.09149728306041,11.820107559579437,18.422670006529398,0.0,0.0,6.4142613585139285,0.0,0.0,17.09149728306041,1.1161458666729434
5,ppg6_1,2019,1,204.28158,227.71947995,47.41745080099733,0.5290218804847701,7.962492839540404,5.506686760499894,0.0,17.80955704376283,0.0,0.0,0.0,24.28562789655338,7.962492839540404,0.0
6,ppg6_1,2019,2,115.95958,133.267522319,47.89864185865454,0.9319577183704874,28.05444134930465,0.0,0.0,0.0,-0.5421818059361719,10.528540367255557,0.0,0.0,28.05444134930465,0.0
7,ppg6_1,2019,3,251.9596,225.500971347,53.83661148255515,0.5361446120727291,6.455759645593977,4.464662874524329,13.917134072287782,0.0,0.0,4.845559045974038,-1.8559466160447944,0.0,6.455759645593977,0.8431759166945811
8,ppg6_1,2019,4,143.0478,150.230138966,42.960622668087176,0.7554777186367074,11.370958644592928,7.863907533006451,0.0,25.43320800459707,0.0,8.534805281870817,-3.2690021587189735,0.0,11.370958644592928,0.0
9,ppg6_1,2019,5,221.00294,231.76160174,51.64486018149804,0.4889954206039069,7.360040631133686,5.090043924302546,0.0,32.924127181294516,0.0,0.0,0.0,0.0,7.360040631133686,0.0
10,ppg6_1,2019,6,198.4717,200.233777375,45.6588119364121,0.6806349822166081,16.391159223204117,5.667884499402183,0.0,0.0,0.0,18.454295282400462,-2.3561221423507734,0.0,16.391159223204117,0.0
11,ppg6_1,2019,7,228.9015,188.480206955,38.05286794407201,0.47212196337726053,7.1060723411598445,4.914404982055601,0.0,0.0,-0.27466475536420687,5.333670242440526,-2.0429030259740544,21.67354271597172,7.1060723411598445,0.0
12,ppg6_1,2019,8,268.15576,240.47182446,45.77686641897978,0.4030098984261983,6.065842546138111,8.390009388573269,13.076562420288868,0.0,0.0,9.105790746393067,0.0,0.0,6.065842546138111,0.79224949969376
13,ppg6_1,2019,9,231.01086,240.057644229,42.96902565359914,0.5847637725776181,14.082373599232522,0.0,30.35836093593176,0.0,0.0,0.0,0.0,0.0,14.082373599232522,1.8392751466316346
14,ppg6_1,2019,10,226.02644,220.8229329,51.98002321321346,0.4781273624448537,14.392923394271929,0.0,15.513917460275886,0.0,0.0,0.0,0.0,0.0,14.392923394271929,0.9399177667002143
15,ppg6_1,2019,11,158.43583999999998,131.489807759,39.87112796953013,0.68210214052578,10.2665572259408,14.200255093796962,0.0,0.0,0.0,7.705864525349821,0.0,0.0,10.2665572259408,0.0
16,ppg6_1,2019,12,158.75216,121.094295941,46.479453732787,0.8509287810635143,0.0,21.257940780144345,0.0,0.0,0.0,7.690510283450632,0.0,0.0,0.0,0.0
17,ppg6_1,2020,1,178.84140000000002,178.916788984,54.16258075143674,0.604275215917567,9.095157038582789,6.290012670444316,19.607068240351506,0.0,0.0,0.0,0.0,0.0,9.095157038582789,1.1879031739854418
18,ppg6_1,2020,2,103.56126,101.201636169,53.63305151463008,1.0435313900197813,0.0,21.72462312644709,0.0,0.0,0.0,23.578027517239555,-2.257714742945383,0.0,0.0,0.0
19,ppg6_1,2020,3,279.79084,258.032783697,48.48139808472644,0.48281345450766006,11.62718992515981,4.020555755149097,12.532774604057803,0.0,0.0,4.363563578421652,-1.6713326533491946,0.0,11.62718992515981,0.7593038667741946
20,ppg6_1,2020,4,101.89418,143.505896936,60.311811325239574,1.0606044977249924,15.963528221140797,11.040028704289098,34.41369795605598,0.0,0.0,0.0,0.0,0.0,15.963528221140797,2.084969590019764
21,ppg6_1,2020,5,260.94594,332.73441598,52.258561206202316,0.5176811028368558,18.70031721512893,4.3109108039772535,13.437862010805764,0.0,-0.2409356301922153,0.0,0.0,19.012008533261717,18.70031721512893,0.8141390002082423
22,ppg6_1,2020,6,127.7137,114.46716698,53.54937319958627,0.8461850655019781,0.0,35.23238844383962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,ppg6_1,2020,7,121.92312,144.17409003100002,71.44140136587713,0.8863735245620354,13.341117074431825,9.226426226625435,0.0,0.0,0.0,10.013565261453284,0.0,0.0,13.341117074431825,0.0
24,ppg6_1,2020,8,284.38334000000003,284.4279014,46.83558457046041,0.4750165111641208,11.439422703172415,3.955627892970101,12.330383115972968,12.793170134368632,0.0,0.0,0.0,0.0,11.439422703172415,0.7470418861386183
