,PPG,Year,Month,Vol.Sales,Vol.Sales_pred,perc Seasonal_index,perc const,perc promo_catalogue,perc promo_ins,perc display_platinum,perc display_gold,perc display_silver,perc display_bronze,perc Retailer 1_Promo.Group 6_promo_catalogue,perc Retailer 0_Promo.Group 3_Wtd.Selling.Dist,perc Retailer 0_Promo.Group 6_promo_catalogue
0,ppg20_1,2018,8,37.0123,46.801441806,75.58664409399037,-60.791861300162374,10.58454480537551,9.342015219264947,12.488182201592442,10.855740237704762,0.0,0.0,10.58454480537551,54.97240946658272,2.826128197923393
1,ppg20_1,2018,9,49.954,60.168791451,65.98554325179164,-56.302963926812666,15.684763890779516,13.843514829643272,0.0,8.043318140689433,2.4459675421387677,0.0,15.684763890779516,50.87557474676703,4.1879130680225805
2,ppg20_1,2018,10,76.316,75.19853407000001,46.30947936474657,-29.48328801299858,15.400113254101369,4.530759865558991,18.16983382645841,0.0,0.0,0.3032465249751035,15.400113254101369,23.793570386288586,4.111909876041722
3,ppg20_1,2018,11,39.99342,32.038457809,49.251061239573914,-56.260420039096424,9.795570063775491,8.645658958398657,11.55730982996703,0.0,0.0,0.0,9.795570063775491,42.09363666823192,5.230935723926586
4,ppg20_1,2018,12,46.5807,46.739485184,47.74370317749626,-60.380334773844105,16.82062947529771,22.26906014078792,9.922915415612046,0.0,0.0,0.4968272653695629,16.82062947529771,44.40185421429906,2.2455975264433556
5,ppg20_1,2019,1,51.84866,34.639991422,44.896251951352255,-43.39642737150777,7.5558046765335884,6.668821718825519,0.0,7.749398237100051,0.0,0.0,7.5558046765335884,31.7452786436525,4.034877842551765
6,ppg20_1,2019,2,30.71504,27.97271085,47.986224673645225,-73.25553240366935,25.509219437773805,0.0,0.0,0.0,3.9780466702957247,0.7534602526970501,25.509219437773805,53.77997420807527,6.81109350337815
7,ppg20_1,2019,3,44.64962,48.092300313,80.82882597433081,-62.99176252787818,8.774057824008356,7.744062993145295,10.352077937057471,0.0,0.0,0.518314865837604,8.774057824008356,46.68264453762429,7.0281564344780545
8,ppg20_1,2019,4,29.77852,29.910997252,64.14005833063564,-75.5593833407436,13.15573600366976,11.61137188483511,0.0,13.492810065778956,0.0,0.0,13.15573600366976,56.935896710111855,3.5126495440337533
9,ppg20_1,2019,5,33.17512,40.782922689,85.67878276250394,-67.82331482146861,11.808799717981428,10.42255370590973,0.0,12.111362804414874,0.0,0.0,11.808799717981428,52.61924864476754,6.306021180933182
10,ppg20_1,2019,6,40.5383,42.510372756,65.55722091207573,-69.38027149633803,19.32781333701709,8.529451651894629,0.0,0.0,0.0,1.7126442253375203,19.32781333701709,57.20972997634336,2.5803130545681494
11,ppg20_1,2019,7,43.68276,42.510663894,54.98330230736336,-51.508801366946585,8.968259965716452,7.915467564320569,0.0,0.0,2.797118648180655,0.5297870784721478,8.968259965716452,57.47968981584497,7.18371536276554
12,ppg20_1,2019,8,45.62272,52.733624435,61.32110376584299,-49.31855461489363,8.58691344356496,15.157775332115229,10.13127551579564,0.0,0.0,1.0145191606287394,8.58691344356496,57.81362651547299,2.292750294151686
13,ppg20_1,2019,9,84.99654,73.11284347200001,38.78089422934157,-33.09026767442534,9.218218711020471,4.06804170969783,10.876121453885066,0.0,0.0,0.0,9.218218711020471,44.48607221776322,2.461312065173477
14,ppg20_1,2019,10,49.66982,63.16868937700001,71.1529501657143,-45.3000757401577,15.774502412128733,0.0,9.30577856130745,0.0,0.0,0.0,15.774502412128733,58.36361149688081,2.105936858639713
15,ppg20_1,2019,11,29.90724,42.977014683,65.86092122175098,-75.23417767737844,13.099114050644593,23.122793671365194,0.0,0.0,0.0,0.7738113513650875,13.099114050644593,95.98440018202949,6.995062379544217
16,ppg20_1,2019,12,32.51886,40.354027632,68.38908604422174,-86.4900633048022,0.0,31.89867079288757,0.0,0.0,0.0,0.7116658394543967,0.0,109.5848666865936,0.0
17,ppg20_1,2020,1,32.37804,46.148816807,71.89473182132087,-69.49298376306903,12.099507805290251,10.679135299727841,14.275612300806351,0.0,0.0,0.0,12.099507805290251,87.74508181779996,3.2306311530901812
18,ppg20_1,2020,2,23.2518,30.09607663,63.388589713484556,-96.76870642272856,0.0,29.74130776111957,0.0,0.0,0.0,1.9906038930319374,0.0,122.08639281259946,8.997282335131045
19,ppg20_1,2020,3,96.7023,74.30015799099999,37.32048115505009,-29.084709050353514,8.10235842787607,7.1512150155684004,4.779786479742468,0.0,0.0,0.4786351886149554,8.10235842787607,36.7387267934682,3.2450573988416
20,ppg20_1,2020,4,43.17698,42.026854146,44.23644288692724,-52.1121812595508,9.073315171649337,8.008190241651917,10.705156916949727,0.0,0.0,0.0,9.073315171649337,65.92939099029158,2.422622070834968
21,ppg20_1,2020,5,90.8259,77.238463869,37.84694669031631,-30.966478284277944,12.939866746159412,3.8069479069296315,5.089036784661644,0.0,1.3452755502560392,0.0,12.939866746159412,39.73532745065009,2.3033408906490327
22,ppg20_1,2020,6,49.1689,41.943760607,41.947230723079024,-45.76158116207603,0.0,28.129119821675896,0.0,0.0,0.0,0.0,0.0,58.863307745343086,2.1273915971274526
23,ppg20_1,2020,7,46.17954,45.111104334,52.01053104253528,-48.72388525307961,8.48337483872728,7.487503554604485,0.0,0.0,0.0,0.5011431859217307,8.48337483872728,62.64898701459563,6.795314853720933
24,ppg20_1,2020,8,85.3479,68.729552937,36.87891369090511,-32.95404175146665,9.180269173582477,4.051294406775094,5.415673333497368,4.707742245561988,0.0,0.0,9.180269173582477,41.61739874677643,2.4511793424325616
