,PPG,Year,Month,Vol.Sales,Vol.Sales_pred,perc Seasonal_index,perc const,perc promo_catalogue,perc promo_ins,perc display_platinum,perc display_gold,perc display_silver,perc display_bronze,perc Retailer 0_Promo.Group 3_Wtd.Selling.Dist,perc Retailer 0_Promo.Group 5_promo_catalogue,perc Wtd.Selling.Dist
0,ppg22_0,2018,8,0.33956,-1.396345574,183.41601984921667,-2615.100373424432,0.0,71.71044763811992,0.0,0.0,0.0,0.0,1679.5711373542233,0.0,269.18072446695726
1,ppg22_0,2018,9,11.2346,11.442161844,12.389675876310683,-98.80007775087675,0.0,10.837056771046587,0.0,0.0,0.0,0.0,63.40829348619443,0.0,114.01257485802789
2,ppg22_0,2018,10,13.0416,12.095692769,20.010165148448042,-68.08853843086737,0.0,7.468408661513924,0.0,0.0,0.0,0.0,39.02729226475279,0.0,94.3296724865047
3,ppg22_0,2018,11,9.91224,11.141521547,20.506997923779082,-89.58454222254505,0.0,9.826234877283035,0.0,0.0,0.0,0.0,47.605514686892164,0.0,124.04744714615464
4,ppg22_0,2018,12,14.05248,13.449211426,17.630397111399553,-78.98814682532905,0.0,8.663950989433895,0.0,0.0,0.0,0.0,41.25515496197113,0.0,107.14567502675685
5,ppg22_0,2019,1,8.06676,10.60103602,37.15626847705894,-110.07932339625822,0.0,0.0,0.0,0.0,0.0,0.0,57.19283511595733,0.0,147.1465011975068
6,ppg22_0,2019,2,8.46196,10.548411559,35.44852049643345,-104.93827467867965,0.0,0.0,0.0,0.0,0.0,0.0,54.7173162482451,0.0,139.4292734425594
7,ppg22_0,2019,3,12.14824,13.30168239,31.517403434571595,-91.36956081704017,0.0,0.0,0.0,0.0,0.0,0.0,48.09322889570835,0.0,121.25365685893594
8,ppg22_0,2019,4,10.35736,8.370971395,6.99815792827516,-85.7345388013934,0.0,0.0,0.0,0.0,0.0,0.0,45.88431833980861,0.0,113.67354016853717
9,ppg22_0,2019,5,10.39324,8.50011034,6.563980135164779,-85.43856225777525,0.0,0.0,0.0,0.0,0.0,0.0,47.079329631568214,0.0,113.58024290789012
10,ppg22_0,2019,6,16.38,14.972888055,6.52065086080586,-67.7643072954823,4.406191275946276,0.0,0.0,0.0,0.0,4.406191275946276,39.686757203907206,13.903556550671551,90.25053310744812
11,ppg22_0,2019,7,12.30788,10.825403918,6.503182115847733,-72.14755772724465,0.0,0.0,0.0,0.0,0.0,0.0,57.182786491255996,0.0,96.41665464726663
12,ppg22_0,2019,8,13.87724,13.308453134,4.48797770305911,-63.988479178856885,0.0,0.0,0.0,0.0,0.0,0.0,53.2760930559679,16.41106274014141,85.71464257301884
13,ppg22_0,2019,9,16.004559999999998,15.745301769,8.697087117671463,-69.35394371978987,0.0,0.0,0.0,0.0,0.0,0.0,66.22251220277222,0.0,92.81444211524718
14,ppg22_0,2019,10,21.44844,13.818697698,12.16706528773188,-41.400842336319094,0.0,0.0,0.0,0.0,0.0,0.0,37.88463567979769,0.0,55.776660092761986
15,ppg22_0,2019,11,17.05912,13.187352953,11.915637213408429,-52.05329951369121,0.0,0.0,0.0,0.0,0.0,0.0,47.1676727169983,0.0,70.27381857915297
16,ppg22_0,2019,12,17.9686,16.283159661,13.787985864229825,-61.77327969346527,0.0,0.0,0.0,0.0,0.0,0.0,55.58987999621563,0.0,83.01549366116447
17,ppg22_0,2020,1,10.7848,13.972569526,27.79195722683777,-82.33657395593798,0.0,0.0,0.0,0.0,0.0,0.0,73.83891803278688,0.0,110.26368333209702
18,ppg22_0,2020,2,10.68288,13.952951485,28.07894149330517,-83.12210591151448,0.0,0.0,0.0,0.0,0.0,0.0,74.48341359258926,0.0,111.17014317300205
19,ppg22_0,2020,3,13.25376,17.52009171,28.888480031326964,-83.74826113495341,0.0,0.0,0.0,0.0,0.0,0.0,75.13562172545753,0.0,111.91375471564295
20,ppg22_0,2020,4,0.2236,6.427518039,324.16118515205727,-3971.3035903398927,0.0,0.0,0.0,0.0,0.0,0.0,3568.4828076923077,0.0,2953.2204378354204
21,ppg22_0,2020,5,0.0338,0.299004035,2314.2489171597636,-32839.62584319527,0.0,0.0,0.0,0.0,0.0,0.0,29929.11586390532,0.0,1480.8883905325445
22,ppg22_0,2020,6,0.00624,0.3562737139999999,15514.049455128204,-142305.0453205128,0.0,0.0,0.0,0.0,0.0,0.0,130009.36804487178,0.0,2491.142467948718
23,ppg22_0,2020,7,0.0,0.033059566,inf,-inf,,,,,,,inf,,inf
24,ppg22_0,2020,8,0.0026,-0.283871904,32469.893653846157,-426915.1359615385,0.0,0.0,0.0,0.0,0.0,0.0,382929.21796153847,0.0,597.8742307692307
25,ppg22_0,2020,9,0.00052,-0.431227075,225100.14,-1707660.543846154,0.0,0.0,0.0,0.0,0.0,0.0,1395447.0011538463,0.0,4185.119615384615
