,PPG,Year,Month,Vol.Sales,Vol.Sales_pred,perc Seasonal_index,perc const,perc promo_catalogue,perc promo_ins,perc display_platinum,perc display_gold,perc display_silver,perc display_bronze,perc Retailer 1_Promo.Group 3_promo_ins,perc Retailer 0_Promo.Group 22_Wtd.Selling.Dist,perc Retailer 0_Promo.Group 22_promo_ins
0,ppg19_0,2018,8,26.92248,27.535144817,77.95957516543795,3.5063857712959576,0.0,18.94478007969548,0.0,0.0,0.0,0.0,-0.41362449893174774,-0.5374696536128915,2.8160157682353186
1,ppg19_0,2018,9,30.11216,31.202538536,73.41487865699439,3.9187076250923214,0.0,21.172528921870764,0.0,0.0,0.0,0.0,-0.7396212892067523,-6.734060090674333,12.588623366772758
2,ppg19_0,2018,10,20.97628,22.772202647,75.10450321029278,4.50034995718974,0.0,24.315105576393908,0.0,0.0,0.0,0.0,-0.5308756986462805,-9.284515786402547,14.457115980526575
3,ppg19_0,2018,11,20.7818,21.695316486,70.62073722680422,4.542465080021942,0.0,24.542650915705085,0.0,0.0,0.0,0.0,-0.5358437334590843,-9.366665423591797,14.592408395807869
4,ppg19_0,2018,12,42.91352,38.501037508,69.61094532678746,2.7497336736767344,0.0,14.856636754570587,0.0,0.0,0.0,0.0,-0.7784817442148768,-5.554462134544079,8.833361630553728
5,ppg19_0,2019,1,12.37912,9.4663953,84.92429698556924,7.625792528063384,0.0,0.0,0.0,0.0,0.0,0.0,-0.8995629172348276,-15.179862284233451,0.0
6,ppg19_0,2019,2,11.39788,9.169287371,88.5523856278536,8.282294672342577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.387374564392676,0.0
7,ppg19_0,2019,3,17.74188,17.113141063,103.57655510577233,6.650972219404032,0.0,0.0,0.0,0.0,0.0,0.0,-0.6276559924878311,-13.143683702065397,0.0
8,ppg19_0,2019,4,18.76992,18.684363894,105.03822992319627,5.029355522026732,0.0,0.0,0.0,0.0,0.0,0.0,-0.5932788898407666,-9.930121540209015,0.0
9,ppg19_0,2019,5,25.42904,26.151930874,106.91744748916987,3.712314770828942,0.0,0.0,0.0,0.0,0.0,0.0,-0.43791654344796344,-7.349068789069505,0.0
10,ppg19_0,2019,6,35.58412,37.586031161,109.19951153211038,3.3161070443782226,0.0,0.0,0.0,0.0,0.0,0.0,-0.31294288856939556,-6.576820241725804,0.0
11,ppg19_0,2019,7,20.39804,22.400077941,114.94276457934194,4.6279250751542795,0.0,0.0,0.0,0.0,0.0,0.0,-0.5459248682716574,-9.209910319815041,0.0
12,ppg19_0,2019,8,21.78852,21.230992774,96.32894309480406,4.332584351759551,3.222161183962931,0.0,0.0,0.0,0.0,3.222161183962931,-1.0221710607237207,-8.642490582196496,0.0
13,ppg19_0,2019,9,21.0834,20.93518955,104.85408295151635,5.59685586764943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.153911062731817,0.0
14,ppg19_0,2019,10,14.97392,14.804238204,105.21046516877344,6.304334522957249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.647981897859745,0.0
15,ppg19_0,2019,11,13.065,13.499714322,112.33264729429774,7.2254573899732115,0.0,0.0,0.0,0.0,0.0,0.0,-1.7046762035973977,-14.52610877152698,0.0
16,ppg19_0,2019,12,26.15548,28.356973299,114.21127406187918,4.511511583805765,0.0,0.0,0.0,0.0,0.0,0.0,-1.2772616637125374,-9.028575407524542,0.0
17,ppg19_0,2020,1,8.1614,9.462950059,128.81222134682776,11.566716592741441,0.0,0.0,0.0,0.0,0.0,0.0,-1.3644469453770185,-23.06685876197711,0.0
18,ppg19_0,2020,2,8.359,8.934266989000001,120.74524047134825,11.293288766598875,0.0,0.0,0.0,0.0,0.0,0.0,-2.664385046058141,-22.492136894365352,0.0
19,ppg19_0,2020,3,18.45532,17.096899208,99.57252496841019,6.3938610113506575,0.0,0.0,0.0,0.0,0.0,0.0,-0.6033922630439353,-12.723585632760637,0.0
20,ppg19_0,2020,4,20.085,19.502854933,98.16077533482698,4.700054807069953,0.0,0.0,0.0,0.0,0.0,0.0,-0.5544335225292507,-5.204803724172267,0.0
21,ppg19_0,2020,5,33.23268,32.993774482,96.63898152962685,3.550744357662397,0.0,0.0,0.0,0.0,0.0,0.0,-0.6701714878246352,-0.2384416875196343,0.0
22,ppg19_0,2020,6,36.05524,34.626723423,94.10571729657049,2.6182213958359455,0.0,0.0,0.0,0.0,0.0,0.0,-0.6177075676101449,-0.06825324418863944,0.0
23,ppg19_0,2020,7,25.9532,24.278226954,90.33980817779697,3.63733954965091,0.0,0.0,0.0,0.0,0.0,0.0,-0.4290722261609359,-0.0018964019851116626,0.0
24,ppg19_0,2020,8,26.41028,28.245134388,102.91047932093109,4.467985610148776,0.0,0.0,0.0,0.0,0.0,0.0,-0.42164631726736707,-0.009317905754880297,0.0
25,ppg19_0,2020,9,15.80644,16.745713813000002,100.69636818284194,5.972287295558013,0.0,0.0,0.0,0.0,0.0,0.0,-0.7045101427013294,-0.021796444993306525,0.0
